threads,batch_size,n_batches
1,2,131072
4,2,131072
16,2,131072
32,2,131072
1,8,32768
4,8,32768
16,8,32768
32,8,32768
1,32,8192
4,32,8192
16,32,8192
32,32,8192
1,128,2048
4,128,2048
16,128,2048
32,128,2048
1,512,512
4,512,512
16,512,512
32,512,512
1,2048,128
4,2048,128
16,2048,128
32,2048,128
1,8192,32
4,8192,32
16,8192,32
32,8192,32
1,32768,10
4,32768,10
16,32768,10
32,32768,10
1,131072,10
4,131072,10
16,131072,10
32,131072,10
1,524288,10
4,524288,10
16,524288,10
32,524288,10
1,2097152,10
4,2097152,10
16,2097152,10
32,2097152,10
1,4194304,10
4,4194304,10
16,4194304,10
32,4194304,10
