dataset,threads,seqlen,batch_size,throughput (MiB/s)
1kgp,1,2048,1,35.910336214879
1kgp,1,2048,1,37.21055079884304
1kgp,1,2048,1,38.06358772045492
1kgp,1,2048,1,38.30356614326333
1kgp,1,2048,1,38.212498936340985
1kgp,1,2048,128,1234.9483623529566
1kgp,1,2048,128,1380.6578077620977
1kgp,1,2048,128,1583.8352982598976
1kgp,1,2048,128,1385.750056470632
1kgp,1,2048,128,1485.6242391124686
1kgp,1,2048,2,47.7991548960662
1kgp,1,2048,2,47.137450857234235
1kgp,1,2048,2,49.39898721749572
1kgp,1,2048,2,49.33894371589754
1kgp,1,2048,2,50.003530036269126
1kgp,1,2048,4,93.61507747916396
1kgp,1,2048,4,95.69381985817009
1kgp,1,2048,4,98.52798952869496
1kgp,1,2048,4,99.80978499998596
1kgp,1,2048,4,104.5125479038748
1kgp,1,2048,8,173.7121496794862
1kgp,1,2048,8,175.60693726080444
1kgp,1,2048,8,181.41094506251602
1kgp,1,2048,8,179.64538134908335
1kgp,1,2048,8,183.0148141695953
1kgp,1,2048,16,348.1468675703677
1kgp,1,2048,16,350.6195402203366
1kgp,1,2048,16,363.31771786008426
1kgp,1,2048,16,365.54638212823016
1kgp,1,2048,16,369.6093551269992
1kgp,1,2048,32,560.9898023853011
1kgp,1,2048,32,568.3790019744539
1kgp,1,2048,32,587.5796054259548
1kgp,1,2048,32,585.2565884276148
1kgp,1,2048,32,586.0697055738042
1kgp,1,2048,64,894.7906098195898
1kgp,1,2048,64,903.9532047387509
1kgp,1,2048,64,921.1636834616893
1kgp,1,2048,64,994.8995303100769
1kgp,1,2048,64,1108.1515886214734
1kgp,1,2048,256,1845.3282559687127
1kgp,1,2048,256,1887.4188938505176
1kgp,1,2048,256,1961.3770597908526
1kgp,1,2048,256,1979.1956064593858
1kgp,1,2048,256,1986.501058713685
1kgp,1,2048,512,1589.1958969699886
1kgp,1,2048,512,1589.2793772337325
1kgp,1,2048,512,1602.0231333215609
1kgp,1,2048,512,1602.4188864045773
1kgp,1,2048,512,1603.6454481816847
1kgp,1,2048,1024,1707.395912868227
1kgp,1,2048,1024,1707.075493960344
1kgp,1,2048,1024,1838.2204787760656
1kgp,1,2048,1024,2326.892212599719
1kgp,1,2048,1024,2305.366418168711
1kgp,1,2048,2048,1709.9142089139777
1kgp,1,2048,2048,1704.8335953041467
1kgp,1,2048,2048,1713.9762763021893
1kgp,1,2048,2048,1712.0492774377333
1kgp,1,2048,2048,1705.7850029575122
1kgp,1,2048,4096,1726.0099126717712
1kgp,1,2048,4096,1729.4894650449671
1kgp,1,2048,4096,2014.0540745885255
1kgp,1,2048,4096,2786.5472477981953
1kgp,1,2048,4096,2956.191713102365
1kgp,1,2048,8192,269.6912731140669
1kgp,1,2048,8192,2532.0692645811814
1kgp,1,2048,8192,2564.0126904759627
1kgp,1,2048,8192,2511.925981971512
1kgp,1,2048,8192,2496.7953469817558
1kgp,1,16384,1,176.57601032604308
1kgp,1,16384,1,177.69494233027632
1kgp,1,16384,1,182.4283119353706
1kgp,1,16384,1,183.40541571499298
1kgp,1,16384,1,183.49607038878574
1kgp,1,16384,2,351.83889764967955
1kgp,1,16384,2,355.7053997057311
1kgp,1,16384,2,365.52599781898584
1kgp,1,16384,2,366.0780040716244
1kgp,1,16384,2,370.5238173550243
1kgp,1,16384,4,579.2834060963071
1kgp,1,16384,4,583.0716533079802
1kgp,1,16384,4,591.8629331251474
1kgp,1,16384,4,578.4531758879706
1kgp,1,16384,4,593.4031586701312
1kgp,1,16384,8,941.1137830522116
1kgp,1,16384,8,944.6033339220724
1kgp,1,16384,8,962.6020202749277
1kgp,1,16384,8,963.6563789592959
1kgp,1,16384,8,1059.3543511889366
1kgp,1,16384,16,1286.5778133626443
1kgp,1,16384,16,1298.1928070640913
1kgp,1,16384,16,1318.0598880791872
1kgp,1,16384,16,1308.4991676772968
1kgp,1,16384,16,1315.9402024179128
1kgp,1,16384,32,1695.6970056783944
1kgp,1,16384,32,1690.7172026755227
1kgp,1,16384,32,1709.4369221076124
1kgp,1,16384,32,1940.6612534887843
1kgp,1,16384,32,2151.718479567132
1kgp,1,16384,64,1837.4555374300012
1kgp,1,16384,64,1938.2909215713576
1kgp,1,16384,64,1891.0778221425714
1kgp,1,16384,64,1871.9578670409865
1kgp,1,16384,64,1927.4122043593056
1kgp,1,16384,128,1876.574150652686
1kgp,1,16384,128,1774.1057068805353
