dataset,threads,seqlen,batch_size,throughput (MiB/s)
pybigwig,1,16384,32,113.38779499496225
pybigwig,1,16384,32,114.31860778871398
pybigwig,1,16384,32,113.84805680231614
pybigwig,1,16384,32,114.65386897288117
pybigwig,1,16384,32,114.62487045994132
pybigwig,1,2048,32,65.1391935266042
pybigwig,1,2048,32,65.00811870837742
pybigwig,1,2048,32,65.55945492261621
pybigwig,1,2048,32,65.68620845913749
pybigwig,1,2048,32,65.88705392509894
pybigwig,1,131072,32,141.53660124133043
pybigwig,1,131072,32,141.25855449984164
pybigwig,1,131072,32,213.34706765746262
pybigwig,1,131072,32,248.9947033546295
pybigwig,1,131072,32,249.6692630430743
pybigwig,2,16384,32,16.986223432024772
pybigwig,2,16384,32,17.423482232648702
pybigwig,2,16384,32,17.671829477171634
pybigwig,2,16384,32,17.756406019458275
pybigwig,2,16384,32,16.80090546538824
pybigwig,4,16384,32,14.119800103876084
pybigwig,4,16384,32,14.80476402406331
pybigwig,4,16384,32,15.63012628995747
pybigwig,4,16384,32,15.62742533656406
pybigwig,4,16384,32,14.328341224439962
pybigwig,2,2048,32,14.041562317238963
pybigwig,2,2048,32,13.819959175288412
pybigwig,2,2048,32,14.862252372811696
pybigwig,2,2048,32,14.30203407330326
pybigwig,2,2048,32,14.602900594956578
pybigwig,4,131072,32,33.55329911741828
pybigwig,4,131072,32,34.82505121422582
pybigwig,4,131072,32,35.577711606796164
pybigwig,4,131072,32,34.08607285445609
pybigwig,4,131072,32,33.71496144614907
pybigwig,4,2048,32,13.387603117221415
pybigwig,4,2048,32,12.666920565766498
pybigwig,4,2048,32,14.079181474541121
pybigwig,4,2048,32,13.112510075381612
pybigwig,4,2048,32,14.577786361219609
pybigwig,8,16384,32,13.204002959860432
pybigwig,8,16384,32,13.216848549931317
pybigwig,8,16384,32,13.643031918349884
pybigwig,8,16384,32,13.39920653808553
pybigwig,8,16384,32,12.834528113857564
pybigwig,2,131072,32,30.678697769132174
pybigwig,2,131072,32,33.52549731534994
pybigwig,2,131072,32,32.04530065634097
pybigwig,2,131072,32,31.27382965743661
pybigwig,2,131072,32,37.62333328388244
pybigwig,8,2048,32,12.678001743727595
pybigwig,8,2048,32,12.94247592186055
pybigwig,8,2048,32,12.6778930335638
pybigwig,8,2048,32,12.514619472529256
pybigwig,8,2048,32,13.479919754207382
pybigwig,8,131072,32,29.643892386373484
pybigwig,8,131072,32,30.357768244583944
pybigwig,8,131072,32,30.980266323261613
pybigwig,8,131072,32,29.528400014217844
pybigwig,8,131072,32,30.5204378147008
pybigwig,1,1048576,32,193.4504640418558
pybigwig,1,1048576,32,279.5593644213837
pybigwig,1,1048576,32,280.36652349913663
pybigwig,1,1048576,32,280.4018725102163
pybigwig,1,1048576,32,213.96522431368086
pybigwig,8,1048576,32,123.89166695010947
pybigwig,8,1048576,32,127.23999666299459
pybigwig,8,1048576,32,138.60942314232867
pybigwig,8,1048576,32,131.8282495468627
pybigwig,8,1048576,32,134.80678459031174
pybigwig,4,1048576,32,116.37971943171823
pybigwig,4,1048576,32,121.90733179224685
pybigwig,4,1048576,32,124.75675688871542
pybigwig,4,1048576,32,114.26071955159021
pybigwig,4,1048576,32,115.30648324138556
pybigwig,16,16384,32,12.759588474329338
pybigwig,16,16384,32,11.528669489541155
pybigwig,16,16384,32,11.828239785355471
pybigwig,16,16384,32,11.832581171685195
pybigwig,16,16384,32,11.651715426094723
pybigwig,16,2048,32,9.480425054953985
pybigwig,16,2048,32,9.325592109334801
pybigwig,16,2048,32,8.729430028923646
pybigwig,16,2048,32,9.9345214020554
pybigwig,16,2048,32,11.412860301295854
pybigwig,16,131072,32,25.40521085318851
pybigwig,16,131072,32,25.51904319160173
pybigwig,16,131072,32,26.80435740540562
pybigwig,16,131072,32,27.300072519420823
pybigwig,16,131072,32,29.098109990873525
pybigwig,2,1048576,32,101.73892073322048
pybigwig,2,1048576,32,108.59785432623546
pybigwig,2,1048576,32,103.94177494240908
pybigwig,2,1048576,32,93.86442746004688
pybigwig,2,1048576,32,120.14620996118784
pybigwig,32,2048,32,10.28579205616582
pybigwig,32,2048,32,11.394048044111214
pybigwig,32,2048,32,11.10864723459063
pybigwig,32,2048,32,11.011343748777932
pybigwig,32,2048,32,12.502010002631096
pybigwig,32,16384,32,10.406942860402182
pybigwig,32,16384,32,10.491443515723404
pybigwig,32,16384,32,11.332327190367462
pybigwig,32,16384,32,11.497834310199586
pybigwig,32,16384,32,11.59210510775469
pybigwig,16,1048576,32,105.31405253013226
pybigwig,16,1048576,32,89.34969329408648
pybigwig,16,1048576,32,104.67883665180327
pybigwig,16,1048576,32,88.40270596986693
pybigwig,16,1048576,32,91.2459949452599
pybigwig,32,131072,32,20.90850645523817
pybigwig,32,131072,32,21.861833454782076
pybigwig,32,131072,32,22.768205854075614
pybigwig,32,131072,32,24.967601019610996
pybigwig,32,131072,32,25.793573472205853
pybigwig,32,1048576,32,93.7159139712556
pybigwig,32,1048576,32,96.86936521936327
pybigwig,32,1048576,32,112.36658300238135
pybigwig,32,1048576,32,116.78114126598898
pybigwig,32,1048576,32,116.43229904267275
pybigwig,64,2048,32,8.21511925730601
pybigwig,64,2048,32,8.187088041237113
pybigwig,64,2048,32,8.249400286540876
pybigwig,64,2048,32,7.840820301921835
pybigwig,64,2048,32,7.122189206458649
pybigwig,64,16384,32,8.373891011256543
pybigwig,64,16384,32,8.18603997019261
pybigwig,64,16384,32,8.21674390295059
pybigwig,64,16384,32,8.17786095048325
pybigwig,64,16384,32,7.120296855816542
pybigwig,64,131072,32,19.021867672813233
pybigwig,64,131072,32,19.31228329198584
pybigwig,64,131072,32,18.85453352269659
pybigwig,64,131072,32,19.73886574911912
pybigwig,64,131072,32,17.127694940120502
pybigwig,64,1048576,32,85.74275175139518
pybigwig,64,1048576,32,90.82353978011292
pybigwig,64,1048576,32,87.60229255311005
pybigwig,64,1048576,32,88.45755108217699
pybigwig,64,1048576,32,85.82184226324854
