dataset,threads,seqlen,batch_size,throughput (MiB/s)
tcga-atac,4,2048,32,1780.787267508429
tcga-atac,4,2048,32,1795.206967714498
tcga-atac,4,2048,32,1856.4268914695408
tcga-atac,4,2048,32,1857.6381249711426
tcga-atac,4,2048,32,1861.1033221020923
tcga-atac,4,2048,32,1761.586413248026
tcga-atac,4,2048,32,1760.8735949097481
tcga-atac,4,2048,32,1829.5151950747124
tcga-atac,4,2048,32,1808.2760816276268
tcga-atac,4,2048,32,1814.462217051072
tcga-atac,4,2048,32,1687.338077169404
tcga-atac,4,2048,32,1499.4467023975678
tcga-atac,4,2048,32,1423.5582471465166
tcga-atac,4,2048,32,1750.1450524744669
tcga-atac,4,2048,32,1596.7425044953013
tcga-atac,4,2048,32,1555.7702719214171
tcga-atac,4,2048,32,1365.169950109222
tcga-atac,4,2048,32,1440.7615628278857
tcga-atac,4,2048,32,1451.1720402008923
tcga-atac,4,2048,32,1321.1080896532394
tcga-atac,1,2048,512,8669.610821509046
tcga-atac,1,2048,512,9621.34848660589
tcga-atac,1,2048,512,9920.70716413201
tcga-atac,1,2048,512,9931.423525665849
tcga-atac,1,2048,512,9986.763729438679
tcga-atac,1,131072,4,7573.659536889566
tcga-atac,1,131072,4,7732.586047166884
tcga-atac,1,131072,4,9350.158864288225
tcga-atac,1,131072,4,9166.88688661018
tcga-atac,1,131072,4,9330.296735947524
tcga-atac,1,131072,2,3920.5429827072526
tcga-atac,1,131072,2,6442.851432651749
tcga-atac,1,131072,2,6591.226077892506
tcga-atac,1,131072,2,6226.021433634967
tcga-atac,1,131072,2,5609.902552283254
tcga-atac,1,16384,32,5481.668973194299
tcga-atac,1,16384,32,5954.873937632207
tcga-atac,1,16384,32,5892.774440410746
tcga-atac,1,16384,32,5850.743102371426
tcga-atac,1,16384,32,5720.929499925833
tcga-atac,1,2048,256,4893.728078270621
tcga-atac,1,2048,256,5376.059450657955
tcga-atac,1,2048,256,5317.8915122959825
tcga-atac,1,2048,256,5363.624636931392
tcga-atac,1,2048,256,5343.926660113722
tcga-atac,1,16384,64,5351.913441058253
tcga-atac,1,16384,64,5641.902461492139
tcga-atac,1,16384,64,5652.275153566502
tcga-atac,1,16384,64,5624.026350548203
tcga-atac,1,16384,64,6152.86174128382
tcga-atac,1,16384,256,4896.1271243631745
tcga-atac,1,16384,256,4451.716845663571
tcga-atac,1,16384,256,4206.235090837
tcga-atac,1,16384,256,4196.171847437361
tcga-atac,1,16384,256,3958.501802139741
tcga-atac,1,16384,16,4180.917970003993
tcga-atac,1,16384,16,4537.128098626358
tcga-atac,1,16384,16,4566.454484768859
tcga-atac,1,16384,16,4480.756600030676
tcga-atac,1,16384,16,4596.844613633109
tcga-atac,1,2048,128,3753.5695626123106
tcga-atac,1,2048,128,4025.710952719255
tcga-atac,1,2048,128,4006.367042016535
tcga-atac,1,2048,128,4093.3771993386304
tcga-atac,1,2048,128,4785.84849523252
tcga-atac,1,16384,128,3865.3786209709237
tcga-atac,1,16384,128,4022.4705809591355
tcga-atac,1,16384,128,3844.0175758022287
tcga-atac,1,16384,128,5108.901663441719
tcga-atac,1,16384,128,6350.078369366557
tcga-atac,1,16384,8,2769.5282539517452
tcga-atac,1,16384,8,2931.319392490094
tcga-atac,1,16384,8,2924.023599963751
tcga-atac,1,16384,8,3442.165103198016
tcga-atac,1,16384,8,3483.6430999668246
tcga-atac,1,2048,64,2759.976033459994
tcga-atac,1,2048,64,2939.6531949765454
tcga-atac,1,2048,64,2937.7763500208052
tcga-atac,1,2048,64,2927.2766261853394
tcga-atac,1,2048,64,2950.068034103676
tcga-atac,1,2048,2048,2373.341951418478
tcga-atac,1,2048,2048,2418.245662078534
tcga-atac,1,2048,2048,2452.5752831039667
tcga-atac,1,2048,2048,2441.0778770670863
tcga-atac,1,2048,2048,2402.2073038300236
tcga-atac,1,2048,1024,2228.6018860203926
tcga-atac,1,2048,1024,2246.992094465467
tcga-atac,1,2048,1024,2313.32167094067
tcga-atac,1,2048,1024,2278.0319223463325
tcga-atac,1,2048,1024,2327.5671797446175
tcga-atac,1,16384,4,1733.660245864339
tcga-atac,1,16384,4,1822.596076068564
tcga-atac,1,16384,4,1816.3985548558828
tcga-atac,1,16384,4,1835.0591779898036
tcga-atac,1,16384,4,1834.38011519817
tcga-atac,1,2048,32,1626.9983957299585
tcga-atac,1,2048,32,1682.074451455143
tcga-atac,1,2048,32,1728.7285528890775
tcga-atac,1,2048,32,2074.4507398613523
tcga-atac,1,2048,32,2071.695493557413
tcga-atac,1,2048,4096,1660.1510182053753
tcga-atac,1,2048,4096,1673.2928009936395
tcga-atac,1,2048,4096,1626.9096392010981
tcga-atac,1,2048,4096,1917.9411926776688
tcga-atac,1,2048,4096,2038.082275421411
tcga-atac,1,2048,8192,1811.67987512904
tcga-atac,1,2048,8192,1804.8688905001088
tcga-atac,1,2048,8192,1776.901987592373
tcga-atac,1,2048,8192,2163.4695200581837
tcga-atac,1,2048,8192,2259.4047145875916
tcga-atac,1,131072,8,10398.862946497578
tcga-atac,1,131072,8,11442.64332168711
tcga-atac,1,131072,8,11535.517554023605
tcga-atac,1,131072,8,11566.852738058646
tcga-atac,1,131072,8,11543.186604598539
tcga-atac,1,2048,16384,1942.4615817642414
tcga-atac,1,2048,16384,1936.902991134791
tcga-atac,1,2048,16384,1883.3564934360638
tcga-atac,1,2048,16384,2392.491335276811
tcga-atac,1,2048,16384,2778.7919994498684
tcga-atac,1,131072,16,10308.615860107027
tcga-atac,1,131072,16,11700.979504506484
tcga-atac,1,131072,16,9946.756086856181
tcga-atac,1,131072,16,8534.898002360133
tcga-atac,1,131072,16,10250.774961588551
tcga-atac,1,2048,32768,2009.8794732903439
tcga-atac,1,2048,32768,1971.983295598886
tcga-atac,1,2048,32768,2475.900438482622
tcga-atac,1,2048,32768,3473.5001078299506
tcga-atac,1,2048,32768,4117.489326427123
tcga-atac,1,16384,2048,4021.732899362888
tcga-atac,1,16384,2048,1307.0740605722979
tcga-atac,1,16384,2048,1029.2535841853503
tcga-atac,1,16384,2048,992.834867602078
tcga-atac,1,16384,2048,1042.3511439522374
tcga-atac,1,16384,2,921.2825039832677
tcga-atac,1,16384,2,940.7606150663449
tcga-atac,1,16384,2,1006.0844661940413
tcga-atac,1,16384,2,1150.5817948724923
tcga-atac,1,16384,2,970.9577812182955
tcga-atac,1,2048,16,982.8202884236332
tcga-atac,1,2048,16,1013.2346926809798
tcga-atac,1,2048,16,1002.7809450681532
tcga-atac,1,2048,16,1014.6349464093506
tcga-atac,1,2048,16,1005.7580201962179
tcga-atac,1,131072,32,4895.254298496486
tcga-atac,1,131072,32,5312.515083800572
tcga-atac,1,131072,32,5202.058988543969
tcga-atac,1,131072,32,6536.618316461313
tcga-atac,1,131072,32,5840.639849729868
tcga-atac,1,16384,512,772.4677288243685
tcga-atac,1,16384,512,855.1547363972765
tcga-atac,1,16384,512,868.6190578970429
tcga-atac,1,16384,512,965.4030467954234
tcga-atac,1,16384,512,895.2208779181082
tcga-atac,1,2048,65536,1948.0920496037338
tcga-atac,1,2048,65536,3003.4385748532613
tcga-atac,1,2048,65536,3885.2641734309195
tcga-atac,1,2048,65536,3811.7985006843164
tcga-atac,1,2048,65536,3669.778429779569
tcga-atac,1,16384,1024,803.3651134800954
tcga-atac,1,16384,1024,851.5610579041265
tcga-atac,1,16384,1024,886.5321080472717
tcga-atac,1,16384,1024,1038.2393726275998
tcga-atac,1,16384,1024,745.5964735416081
tcga-atac,1,131072,128,3992.5047000978566
tcga-atac,1,131072,128,4062.584330159792
tcga-atac,1,131072,128,3486.7383942721867
tcga-atac,1,131072,128,3542.3850923835885
tcga-atac,1,131072,128,3104.3806278358065
tcga-atac,1,131072,64,3581.6762766313973
tcga-atac,1,131072,64,3651.5487696028144
tcga-atac,1,131072,64,3173.7257902840747
tcga-atac,1,131072,64,3210.3365231015514
tcga-atac,1,131072,64,2774.815671287551
tcga-atac,1,16384,4096,2525.588372362064
tcga-atac,1,16384,4096,1030.5434392999055
tcga-atac,1,16384,4096,1013.8745328605203
tcga-atac,1,16384,4096,1193.5038591905513
tcga-atac,1,16384,4096,818.7478212628574
tcga-atac,1,1048576,8,3509.62359503385
tcga-atac,1,1048576,8,3509.9297905139633
tcga-atac,1,1048576,8,3473.4730612030285
tcga-atac,1,1048576,8,3078.4315799043607
tcga-atac,1,1048576,8,2607.5810955097168
tcga-atac,1,1048576,2,5038.094904428705
tcga-atac,1,1048576,2,4786.731387855467
tcga-atac,1,1048576,2,3687.3965754921587
tcga-atac,1,1048576,2,4867.569823559034
tcga-atac,1,1048576,2,3750.773867039352
tcga-atac,1,1048576,4,4657.2249743676375
tcga-atac,1,1048576,4,4250.656214067571
tcga-atac,1,1048576,4,3902.6578658539206
tcga-atac,1,1048576,4,3762.754734072466
tcga-atac,1,1048576,4,4706.363247759
tcga-atac,1,2048,8,505.5308049736137
tcga-atac,1,2048,8,509.8043396718237
tcga-atac,1,2048,8,575.4139613202698
tcga-atac,1,2048,8,473.45229618294536
tcga-atac,1,2048,8,466.6974920500175
tcga-atac,1,2048,4,417.62303850014627
tcga-atac,1,2048,4,419.8552500642994
tcga-atac,1,2048,4,418.8167458517025
tcga-atac,1,2048,4,419.09368948178525
tcga-atac,1,2048,4,419.7768572238435
tcga-atac,1,1048576,16,1867.8422423331465
tcga-atac,1,1048576,16,1396.4752179626144
tcga-atac,1,1048576,16,1494.6135631738225
tcga-atac,1,1048576,16,925.003729642478
tcga-atac,1,1048576,16,927.85450964432
tcga-atac,1,1048576,32,2203.8352593179925
tcga-atac,1,1048576,32,1360.3017658752801
tcga-atac,1,1048576,32,1732.4357751918587
tcga-atac,1,1048576,32,908.1814506236582
tcga-atac,1,1048576,32,1166.706007456221
tcga-atac,2,2048,2048,7870.213159631012
tcga-atac,2,2048,2048,9407.900655810161
tcga-atac,2,2048,2048,9481.112543250329
tcga-atac,2,2048,2048,9727.2530771634
tcga-atac,2,2048,2048,9712.887800676124
tcga-atac,1,131072,256,675.8258247010866
tcga-atac,1,131072,256,649.5656372463548
tcga-atac,1,131072,256,543.9670997374817
tcga-atac,1,131072,256,479.55093938669677
tcga-atac,1,131072,256,654.3804362632586
tcga-atac,1,1048576,64,1604.5093578957756
tcga-atac,1,1048576,64,939.0889355766078
tcga-atac,1,1048576,64,805.2335986307841
tcga-atac,1,1048576,64,1077.1639975832845
tcga-atac,1,1048576,64,1405.3575186937735
tcga-atac,1,2048,131072,2565.522612907873
tcga-atac,1,2048,131072,3875.4208830027474
tcga-atac,1,2048,131072,3930.900737622916
tcga-atac,1,2048,131072,1071.6867639501777
tcga-atac,1,2048,131072,1248.0804422447986
tcga-atac,1,2048,2,213.14704725566494
tcga-atac,1,2048,2,213.60834279022058
tcga-atac,1,2048,2,211.2798781169
tcga-atac,1,2048,2,211.11075798426668
tcga-atac,1,2048,2,214.59321899506423
tcga-atac,1,131072,512,708.6820868984734
tcga-atac,1,131072,512,604.1800289925275
tcga-atac,1,131072,512,511.69334231106336
tcga-atac,1,131072,512,661.0602606252328
tcga-atac,1,131072,512,573.7928980965278
tcga-atac,2,2048,32768,1720.1139726359972
tcga-atac,2,2048,32768,1927.5194110056077
tcga-atac,2,2048,32768,2060.9205429464237
tcga-atac,2,2048,32768,2334.160467361246
tcga-atac,2,2048,32768,2016.5039290610582
tcga-atac,2,2048,4096,743.4391547945523
tcga-atac,2,2048,4096,687.896158966768
tcga-atac,2,2048,4096,764.4352774041887
tcga-atac,2,2048,4096,643.0963202642891
tcga-atac,2,2048,4096,679.6706161103853
tcga-atac,2,16384,64,3515.239932245498
tcga-atac,2,16384,64,3704.019408856444
tcga-atac,2,16384,64,3593.402037765207
tcga-atac,2,16384,64,3607.225793544497
tcga-atac,2,16384,64,3545.67603390723
tcga-atac,2,16384,256,7318.305877137174
tcga-atac,2,16384,256,7740.59049848939
tcga-atac,2,16384,256,7652.802980155802
tcga-atac,2,16384,256,7779.580348515216
tcga-atac,2,16384,256,6734.6625044626235
tcga-atac,2,2048,512,8906.708787563251
tcga-atac,2,2048,512,9931.724051026915
tcga-atac,2,2048,512,10664.026048734646
tcga-atac,2,2048,512,10608.765461524781
tcga-atac,2,2048,512,10605.59386712435
tcga-atac,1,16384,8192,891.9230944222064
tcga-atac,1,16384,8192,747.9659878549129
tcga-atac,1,16384,8192,484.93990658105463
tcga-atac,1,16384,8192,536.4535445938009
tcga-atac,1,16384,8192,498.9927164870666
tcga-atac,2,16384,128,8830.89870247078
tcga-atac,2,16384,128,18127.540311542598
tcga-atac,2,16384,128,18311.230719874817
tcga-atac,2,16384,128,18234.40666089612
tcga-atac,2,16384,128,18554.615744316827
tcga-atac,2,2048,1024,9944.689729106442
tcga-atac,2,2048,1024,10814.516554921942
tcga-atac,2,2048,1024,10853.026608388454
tcga-atac,2,2048,1024,11118.741393789523
tcga-atac,2,2048,1024,11266.352705165107
tcga-atac,2,16384,1024,2454.385940736689
tcga-atac,2,16384,1024,1492.7503033747014
tcga-atac,2,16384,1024,2916.3441787114057
tcga-atac,2,16384,1024,2032.2004453046557
tcga-atac,2,16384,1024,1652.2998650596223
tcga-atac,2,2048,16384,1729.9331243105853
tcga-atac,2,2048,16384,1076.0699186079255
tcga-atac,2,2048,16384,1173.43430749825
tcga-atac,2,2048,16384,1322.198534914054
tcga-atac,2,2048,16384,1377.0346487328247
tcga-atac,2,16384,4096,1637.4177796237707
tcga-atac,2,16384,4096,1190.9686938947568
tcga-atac,2,16384,4096,919.5444004966434
tcga-atac,2,16384,4096,2104.032516367803
tcga-atac,2,16384,4096,1748.224365457791
tcga-atac,2,16384,512,690.0324977588278
tcga-atac,2,16384,512,581.9130347777192
tcga-atac,2,16384,512,624.0010595840233
