query_length,replicate,n_pairs,n_calls,n_variants,svar_search_time,svar_time,bcf_time,plink_time,bcf_subset_time,presubset_bcf_time
2048,0,50,245,2557,14975067669,879847,4477704123,25276085997,5015541404,41822202
2048,1,74,415,4014,21448650130,1499663,6875900129,39919234546,7368210275,79625717
2048,2,55,274,2964,16900846968,881156,5068028208,30040218081,5290115525,44544349
2048,3,100,383,5002,24888147794,767946,9342936202,48826956980,9667435781,113539271
2048,4,14,50,628,7433688713,1356727,1542300533,7545194235,1361800473,11834582
4096,0,66,652,6970,20900181028,958144,6323752749,36906134116,6428934838,67600609
4096,1,78,704,7829,20922305510,1481592,7392445278,40909308238,7583813209,65934741
4096,2,25,269,2781,9780905598,921233,2334183083,12327120080,2426840462,21437053
4096,3,82,757,7958,23484077610,945210,7518667746,45495637246,8051327879,73377400
4096,4,92,834,9286,25837901908,1190401,8437892882,53087093652,8971365138,79494530
8192,0,50,1019,10341,17704288880,1573131,5830043506,30344599577,4870445774,45409453
8192,1,88,1404,17914,22455486402,805175,9595706564,48216315187,8591624861,74537386
8192,2,24,396,4725,8412825032,1208411,2713735289,13833897364,2293949576,18857477
8192,3,34,788,7123,11676743874,913328,3356365121,16983585986,3265470959,30623926
8192,4,31,584,6254,9147706239,761912,3088047188,15048241369,3011141760,25290560
16384,0,66,2235,26985,16640166134,801020,7161766706,36244666070,6491804315,56166163
16384,1,58,2467,23347,16392369405,1419883,6440058214,29793885927,5958257382,50469811
16384,2,5,112,2086,2559152278,901628,524291580,2995522139,472156627,4261156
16384,3,84,2785,33713,21788986718,1425185,8642255993,47308911455,8248031698,69197937
16384,4,80,3023,32652,20518381250,805778,8388832190,43498131748,7682936286,68407281
32768,0,57,3982,50092,15285792464,1323506,6889365978,33564589369,5380534535,49777235
32768,1,26,1745,21848,6544621103,915967,3075352581,13178940124,2529834312,22225732
32768,2,33,3430,29526,10726568898,789834,3868807166,20520523982,3197600676,28117205
32768,3,40,3228,34570,13865640839,1179834,4840399855,23346526667,3995947540,35397147
32768,4,59,3758,45215,15218108697,1019010,7432028824,33036526922,5665093546,49915873
65536,0,18,2602,30797,7713521441,898905,2641358434,10567103538,1807005440,15164311
65536,1,60,8229,96219,13649690171,1469252,8426994878,31394793974,5931968575,49644335
65536,2,23,3846,38274,8102902491,955391,3228637275,13150984911,2236347944,19997023
65536,3,39,6026,65308,10466871702,938234,5649513421,23903076025,3760125572,35768582
65536,4,38,6177,61933,12044687096,1197026,7943941454,25287500002,3713976073,49272720
131072,0,83,25299,260727,20930579523,1117000,15724770397,48550637409,7814748697,66082455
131072,1,95,27929,310211,22617224360,1537486,18773333648,53610694938,9225580304,78978917
131072,2,56,17680,185252,13120785419,1011952,11103076746,35039110527,5549243014,47571951
131072,3,64,17085,202064,16205323464,1455788,13744510884,37344876482,6246829612,71796241
131072,4,46,13154,150779,12867365188,838167,10716802276,27990455613,4474414550,38894775
262144,0,1,543,6191,672833822,1147041,286008464,703649210,74677924,828909
262144,1,64,40397,430434,16544641183,1342558,23741094171,39989292825,6242278487,54995655
262144,2,64,36597,424046,17279000326,1324243,19824090393,39638933746,6216506305,55443815
262144,3,44,25054,287833,12413179926,802621,13740619772,25160791937,4152082780,51662568
262144,4,47,23745,318891,13605928142,1312378,15039797814,27060613839,4618535638,38891960
524288,0,32,37642,399850,9917719872,1012796,16532753084,16928038257,3081601835,26499812
524288,1,2,2575,26608,1058558681,1385858,1042623618,1029905848,219397091,2425605
524288,2,32,38182,435759,11101611996,869424,17588439276,19517596032,3012020928,27158748
