query_length,replicate,n_pairs,n_calls,n_variants,svar_search_time,svar_time,bcf_time,plink_time,bcf_subset_time,presubset_bcf_time
2048,0,50,245,2557,3811135408,197154,4047540556,29207550190,5448939596,45351639
2048,1,74,415,4014,4467482247,235775,5956395296,43718273203,7902744414,66889648
2048,2,55,274,2964,4122402090,158198,4293978375,31222852221,5859332708,58923909
2048,3,100,383,5002,4704749456,214881,10712653521,52761231598,10959442527,136130769
2048,4,14,50,628,2097659746,217659,1106216075,7973977643,1491208753,12908637
4096,0,66,652,6970,3967456306,138932,5380494002,38597547827,7192836562,89512486
4096,1,78,704,7829,4340294583,211447,6331630357,48893804167,8473061131,69256067
4096,2,25,269,2781,2654652801,195705,1986466846,14482580153,2722816643,22636792
4096,3,82,757,7958,4555521763,145275,6665144945,49174403716,8905389157,88532836
4096,4,92,834,9286,4846722184,287173,7559502281,55080173867,9055375203,76259581
8192,0,50,1019,10341,3860068390,197103,4089492005,29120367513,5040509238,59787866
8192,1,88,1404,17914,4387619402,281890,7596006610,52760206756,9293098755,117364388
8192,2,24,396,4725,2687046924,178222,2039755461,14141912907,2648773356,22160465
8192,3,34,788,7123,3628173219,282440,2739008836,18775741262,3568713985,30260107
8192,4,31,584,6254,2935319424,183662,2713385211,16168904683,3103846379,41464405
16384,0,66,2235,26985,4234456429,187388,6255813074,37324994143,7221950334,61493511
16384,1,58,2467,23347,4516120912,221666,5519868688,31890946798,6172606745,54825420
16384,2,5,112,2086,1118318937,182749,474138789,3465118598,531798997,6899309
16384,3,84,2785,33713,4202421770,163730,7745424629,51026596451,8742857176,77022964
16384,4,80,3023,32652,4685277588,226305,7474792333,46873427387,8622811671,99557474
32768,0,57,3982,50092,4291877795,212289,9886955732,35296903155,6256479770,51552356
32768,1,26,1745,21848,2307972775,333334,3876029852,15183992363,2559399456,23018734
32768,2,33,3430,29526,2858161765,194426,3792446688,21516884335,3592609452,32729990
32768,3,40,3228,34570,4189638724,186130,4526323222,25424947931,4139983991,57689145
32768,4,59,3758,45215,4120377743,258663,6809894265,36513986251,6396220145,54565517
65536,0,18,2602,30797,2724919869,146657,2288978351,10716564647,1857920323,16391458
65536,1,60,8229,96219,3343877290,162073,7184706779,30160645031,6551807772,53701268
65536,2,23,3846,38274,2602440105,237204,3236442043,13431762664,2332052010,23091664
65536,3,39,6026,65308,3212387558,145713,5514188416,23811654308,4047528185,37442850
65536,4,38,6177,61933,3555660291,187096,5331562846,24350498601,4069330501,34308935
131072,0,83,25299,260727,4345470677,230581,16285728024,51974530243,9048468986,76540576
131072,1,95,27929,310211,4808930674,268412,22711568908,57779812895,10015357663,95782220
131072,2,56,17680,185252,3599794321,237338,11434106027,34136276878,5988222938,76568247
131072,3,64,17085,202064,4166989172,360019,17879575051,38842059977,6967347803,66660020
131072,4,46,13154,150779,3825443003,236092,12916560830,29947999201,5111873552,42144012
262144,0,1,543,6191,263615389,133497,304328372,791693820,114096968,1006327
262144,1,64,40397,430434,4549250468,210172,21125778562,37402065009,6926544424,57339662
262144,2,64,36597,424046,4454122220,243110,21155309789,38370573873,7030612316,91608807
262144,3,44,25054,287833,4063458446,237460,14737373606,26516005378,4814731462,39037704
262144,4,47,23745,318891,3739995144,151817,16004751429,30160299008,5146736782,42925738
524288,0,32,37642,399850,3490954029,286307,24126272046,20103119850,3598037308,29293831
524288,1,2,2575,26608,378889025,151801,1151178746,1144099242,265469070,2032900
524288,2,32,38182,435759,3452353477,146643,25639575127,21026173812,3539363282,44317183
524288,3,5,5634,69189,762453605,227824,3033311696,2639285724,553124081,4623723
524288,4,32,37297,419210,3122967267,190407,18427841141,19657259457,3421001411,29019035
1048576,0,16,39224,430507,1781129320,166760,17769595926,10343243474,1804246596,14358356
1048576,1,16,38963,425243,1910104888,217317,17579800416,10184541110,1724496722,16153524
1048576,2,16,41073,417337,2031412174,220016,20376556392,8495489947,1741153279,14921703
1048576,3,16,37737,406357,1866673629,146873,16722829697,11023924471,1782971605,20976615
1048576,4,16,43193,468182,2398983273,290262,21719265548,10215166609,1765529035,14572938
2097152,0,8,39578,426831,1168646726,171565,16967013680,5773081070,838309492,10731093
2097152,1,8,37291,407087,1553887418,209488,15910919350,4968704723,907176207,7691536
2097152,2,8,33514,397608,1284026709,169020,15342196427,5391947683,894624248,10937410
2097152,3,8,42386,448281,1201154065,133800,22404065796,5377473935,873110750,7698851
2097152,4,8,38342,450392,1043376280,306251,27184845930,5207867111,854167997,10888643
4194304,0,4,37314,422746,838478531,186286,16416544595,3030506633,477173908,3771866
4194304,1,4,39305,444016,638377201,168522,17008457224,2682829771,439704674,3758341
4194304,2,4,41729,409230,603399013,256242,15456020686,2835007057,431377547,3626364
4194304,3,4,48334,476642,880452217,174006,18100302927,3372112068,382401935,5534727
4194304,4,4,43301,470460,829650185,169868,18357213245,2913240527,458324007,5554963
8388608,0,2,24196,288513,169087041,260328,10695411558,1263458099,215220964,1989489
8388608,1,2,37731,405941,463420241,162163,15243858357,2034678159,232440129,2865259
8388608,2,2,41660,422080,450374561,173998,17757555550,1436288508,206943429,1841022
8388608,3,2,38611,437565,291721020,167343,16451556275,1227688449,247971505,1976673
8388608,4,2,36504,407772,379934923,262511,15490413337,1754633400,214457298,1965949
16777216,0,1,41819,424836,219885235,157840,16372874113,1101700534,110082790,987077
16777216,1,1,36894,407132,242123678,166551,15617010476,1269785197,114095538,1446262
16777216,2,1,35195,452160,121264588,167222,17223388965,666174865,125704268,1096909
16777216,3,1,54924,552153,156524364,259916,23364380180,897387664,113496433,992033
16777216,4,1,36673,404785,241075670,174916,15060463923,1125138642,105650475,1155809
