query_length,n_calls,n_variants,svar_time,bcf_time,plink_time,bcf_subset_time,presubset_bcf_time
2048,8,52,785511,36496975,218952227,46624660,567267
2048,2,48,479530,38037340,410201842,43192134,515428
2048,3,41,454343,38852136,329971405,44362706,482977
2048,8,42,441779,39427688,326190429,44193134,566085
2048,8,49,439154,39538258,425835236,43495921,517772
4096,4,129,443672,41149086,415556125,42375484,472788
4096,6,54,438202,39847996,236504724,43159683,470543
4096,17,113,455494,40190837,342187463,43396902,466907
4096,8,125,432361,40978532,186388087,44447316,466896
4096,4,145,456606,40118139,346880791,53694248,696182
8192,3,208,646026,60933920,432708423,56194194,680923
8192,27,246,629345,59412562,273455762,58004920,648030
8192,19,251,685401,65406689,444831694,59496841,682836
8192,26,185,572216,62870113,519573968,59514093,636028
8192,11,184,681644,62951888,274287853,61721132,673659
16384,50,553,687665,74287434,299716047,59816066,696051
16384,32,379,622161,70394214,414913873,59992371,696302
16384,16,408,695320,69250604,307708217,60572072,673408
16384,34,454,678798,71764355,337303833,60249399,717302
16384,54,431,704196,69954350,552843196,59730914,654532
32768,108,885,725187,83760996,543899560,60847484,757818
32768,17,682,686143,78181025,469047370,61997951,689389
32768,125,752,729394,78812116,299334856,61765609,718474
32768,28,704,707453,78740510,493372676,60242669,663610
32768,29,836,686884,82367404,611746094,61613952,692264
65536,292,1760,708345,108639121,533488821,62098882,735877
65536,37,1764,747218,106361037,419635483,62137775,675543
65536,238,1652,626679,104904121,398111547,60372465,744063
65536,247,2040,707833,116097819,405611764,61969476,716550
65536,324,2033,696782,114384657,526066042,61789445,708735
131072,240,2597,668900,129529694,399456921,59567857,708485
131072,554,4755,735246,193282415,425367823,61895515,670653
131072,376,3065,597925,142362342,314897827,60579518,695430
131072,309,3466,713514,154185554,314146060,61543087,687014
131072,271,3420,738813,155003366,400496083,61369598,664852
262144,721,6821,679650,248996779,548563294,69376976,658851
262144,588,7666,713094,273006051,288542922,68873661,718203
262144,523,6752,742209,249786698,421829337,68931781,649763
262144,975,6240,584980,240147300,518785031,68540849,716480
262144,812,7696,735075,277276677,903387066,66920403,677185
524288,914,12519,735877,411244155,482485160,67635160,692765
524288,1322,11994,722240,395105261,334373384,69226140,665694
524288,1332,12934,723042,424039182,344505096,63831341,704126
524288,1731,13656,712252,439345144,571684581,59272838,681654
524288,1061,19724,738913,604309598,488900687,70598575,706421
1048576,2065,25970,723914,786470784,399733646,66748317,656406
1048576,2112,24878,705640,732361767,697570299,61091830,698787
1048576,2799,26901,626399,790424508,330399781,68135831,648451
1048576,2741,27754,573508,819700929,400715920,68900522,739634
1048576,1995,25419,578869,741399773,416025501,68481226,628012
2097152,4932,54224,706922,1551643230,818623905,67869024,669621
2097152,6332,61810,1230756,1769891453,384659523,67319892,731819
2097152,2963,46392,716430,1328374577,466052489,68828004,657477
2097152,3881,48249,735827,1379882326,393722086,67206296,699618
2097152,8134,61748,745084,1801832452,418352337,68793560,635516
4194304,8407,95677,668038,2709452072,818007855,71689787,687795
4194304,10431,120983,657178,3392669948,905537237,70646045,697304
4194304,7586,99603,646618,2811811385,670820611,68079822,686733
4194304,8698,104240,654252,2959992185,715033841,68146519,735455
4194304,17832,159082,773218,4529133092,801164166,66992518,690200
8388608,16759,237764,780040,6678479484,1006281346,59534542,685331
8388608,20638,218254,497555,5703130270,862332799,66954687,669280
8388608,21356,209336,873377,5881203119,589719834,68893206,641598
8388608,18825,214240,749363,6021065892,608193138,68191665,725097
8388608,17048,221624,974259,6207617184,529580143,68931599,747438
16777216,37065,399261,859181,11245356007,1048811132,65294405,822321
16777216,49018,488222,813294,13602218946,925714303,68163310,773718
16777216,38309,395371,1220046,11054303282,1058723906,75453768,757638
16777216,36868,445534,783978,12494595624,941742235,59891118,733813
16777216,41475,409011,904827,10846715512,603774905,43341986,509878
