query_length,n_calls,n_variants,svar_time,bcf_time,plink_time,bcf_subset_time,presubset_bcf_time
2048,8,52,610499,40711901,175582904,81256153,1014116
2048,2,48,863049,59300839,379184919,84671541,668881
2048,3,41,550286,39444082,342410257,82123942,795711
2048,8,42,508206,42836617,283615157,132956136,7927278
2048,8,49,555074,42685139,337613646,81194386,540798
4096,4,129,486464,44111959,321925216,90749836,507494
4096,6,54,549504,41439593,175698673,84943747,653372
4096,17,113,469542,40494578,351742293,80548699,595972
4096,8,125,490672,42256375,131649063,85741473,656918
4096,4,145,761106,61511469,223122103,84133769,497345
8192,3,208,439805,46162685,221459134,80359430,773790
8192,27,246,530668,43113443,116216950,84260270,680864
8192,19,251,537541,46119633,281360766,84415855,489770
8192,26,185,530718,44904134,263072568,92068070,796764
8192,11,184,546989,48738768,121666912,86157183,612413
16384,50,553,499910,48621795,163143676,83136435,585512
16384,32,379,476665,46241293,193228871,80653779,794109
16384,16,408,548732,49065688,183508718,114285561,703406
16384,34,454,476776,46385297,239318277,122818199,519256
16384,54,431,715309,66344839,372163512,84259338,574832
32768,108,885,684260,81263567,393671526,84032777,727352
32768,17,682,652559,74684240,324135575,77263990,787105
32768,125,752,606492,78990179,184685404,75446889,931750
32768,28,704,622612,76951938,260822383,83959859,796904
32768,29,836,542600,55271326,301983327,77566836,588428
65536,292,1760,544996,74996995,366209122,75182286,523464
65536,37,1764,462869,68184895,277385815,85151772,603637
65536,238,1652,501071,69449778,260601754,79600889,522603
65536,247,2040,497485,79252297,202219058,89889813,613836
65536,324,2033,483949,74483870,271125504,89582519,795091
131072,240,2597,623214,128512725,203852020,81344321,601603
131072,554,4755,494750,116124916,307277503,112960544,614938
131072,376,3065,455536,90909270,185387758,83986740,758190
131072,309,3466,457088,94992665,175167355,68688572,587816
131072,271,3420,554323,97875281,235307318,83142006,884971
262144,721,6821,591794,154720676,250397441,75229215,601112
262144,588,7666,447380,163476999,227293506,86524060,562979
262144,523,6752,497155,151338943,246369080,87634158,606161
262144,975,6240,510690,144912035,222448784,48377992,820489
262144,812,7696,727392,267117661,500525191,86023919,790952
524288,914,12519,711832,304475912,228998174,83486680,725949
524288,1322,11994,575082,391668421,187530759,84741344,743302
524288,1332,12934,652750,413173409,172096572,85517227,764983
524288,1731,13656,673439,437838179,289963686,81031788,733814
524288,1061,19724,566005,364388022,251422990,75705691,499358
1048576,2065,25970,701092,781219119,222105331,87370988,733423
1048576,2112,24878,537571,456324654,318487205,77205359,664843
1048576,2799,26901,488157,499624951,167792857,69362582,6119564
1048576,2741,27754,519416,492207933,214160992,83269338,475743
1048576,1995,25419,554664,465771678,223657530,84364758,492986
2097152,4932,54224,575893,955050537,340358289,82644490,499920
2097152,6332,61810,545306,1088894577,217944509,84141147,859011
2097152,2963,46392,628694,1351879993,300389687,89351086,708385
2097152,3881,48249,739193,1386108241,272837241,84440886,797033
2097152,8134,61748,730637,1800969155,283398907,80956994,756656
4194304,8407,95677,708635,2728455290,411401258,91382663,704056
4194304,10431,120983,989919,3434003435,416156414,92583832,821970
4194304,7586,99603,765263,2763549362,461486234,80582964,847579
4194304,8698,104240,723123,2902782229,431007281,84202774,750154
4194304,17832,159082,549884,2701465113,422723536,73591991,754703
8388608,16759,237764,564272,3854067795,418001662,107351448,460564
8388608,20638,218254,494328,3529092217,392203930,83921551,794378
8388608,21356,209336,516852,3344901453,262467498,82654816,686443
8388608,18825,214240,530838,3430498033,272231934,84161586,701652
8388608,17048,221624,546247,3537707471,266622265,81734589,773639
16777216,37065,399261,728964,10573853378,673523445,83159614,763309
16777216,49018,488222,860954,8302531226,445131222,79644481,591112
16777216,38309,395371,499098,6316947005,603230426,85951514,664832
16777216,36868,445534,481414,7227804817,530898787,111337354,647770
16777216,41475,409011,940054,6571166427,392934058,74504546,587846
