query_length,n_calls,n_variants,svar_time,bcf_time,plink_time
2048,0,207,551297,522363683,1829013716
2048,0,0,554833,56546333,1320831554
2048,0,258,442229,181209605,870495963
2048,0,308,427070,241440329,1715391937
2048,0,0,422342,175294200,1514535919
4096,0,841,504137,407076001,3323139946
4096,0,466,527711,306182495,1568721072
4096,0,896,500330,217437993,2426900914
4096,0,423,486052,249268925,1144194335
4096,0,900,418835,246960636,2772194576
8192,0,214,417442,193109577,592855700
8192,0,825,422862,241751831,889106558
8192,0,351,419846,155191183,981506066
8192,0,2,492294,91155818,518243935
8192,0,651,424555,187708338,917061034
16384,0,19,476865,99014020,868280829
16384,0,1604,424725,382517790,926866612
16384,0,514,490541,257299835,316537175
16384,0,1515,475883,289213324,1507081043
16384,0,97,485431,146470303,818926654
32768,0,1048,440445,243779007,322093408
32768,0,2549,481855,630260630,1984793987
32768,0,3057,486253,520656513,691462246
32768,0,2904,452148,507604446,1936660959
32768,0,3118,410269,543187198,1870862518
65536,4,11350,497083,1546496752,732640680
65536,0,7146,432190,1014832584,1457745430
65536,0,9181,466645,1321825299,1540240967
65536,1,8880,430948,1332545703,1361126610
65536,0,7503,431068,1015157901,715000434
131072,0,14791,437630,1929553248,1402023739
131072,0,18597,480171,2402680331,737214791
131072,0,12282,463400,1630037500,1298968095
131072,0,14647,414306,1918519250,1643374650
131072,2,18840,415028,2323526834,1694783716
262144,4,16651,416491,2361634550,446722345
262144,0,30011,492294,3713528429,1997119455
262144,0,34933,483698,4277765528,1849190076
262144,0,8062,509697,1146417966,2789961888
262144,0,28097,478808,3482519173,2895174675
524288,7,54044,403977,6473113250,1159136560
524288,1,45846,451607,5476842450,781665480
524288,7,74589,453280,8931591767,1767415322
524288,1,41153,774560,5076248150,524030148
524288,0,65775,722802,8209765010,1106298893
1048576,2,92580,455805,11069161063,1093144750
1048576,0,0,760663,59098478,515526651
1048576,2,192844,409046,23290712173,1698170188
1048576,4,98386,516810,12036504276,753919278
1048576,9,121481,631679,14854192642,1818637805
2097152,3,66553,559672,8257479114,329272535
2097152,6,282976,507293,34233639471,2143708068
2097152,1,207226,857467,25230352641,1872676875
2097152,2,190075,739724,22723406441,2845692273
2097152,5,257338,857938,30339546950,2538025026
4194304,5,468393,490080,55933830380,1425331228
4194304,5,285590,914356,34391455070,1357507360
4194304,96,550119,707172,65630044539,2997714048
4194304,8,503111,818233,59874863863,1536221135
4194304,1,260931,741327,30671027313,2459026234
8388608,6,820752,537500,97295906919,2169663220
8388608,5,1175865,760153,141178302849,3320212291
8388608,118,1022575,740926,121730694692,2587072259
8388608,7,1458993,828582,173507235736,3117460217
8388608,0,54631,749675,6439432585,385633253
16777216,9,705689,701091,84199708957,1145194987
16777216,12,2359029,791813,282421213935,2020059845
16777216,216,2173544,729184,261784138952,2067858810
16777216,45,2391341,1038080,287395172799,3163757823
16777216,34,1870304,977585,223403245148,2353151879
