dataset,backend,mode,dl_mode,threads,seqlen,batch_size,throughput (MiB/s)
1kgp,gvl027,haps,buffered,1,1048576,2,434420.0115913649
1kgp,gvl027,haps,buffered,1,1048576,2,375948.87459022517
1kgp,gvl027,haps,buffered,1,1048576,2,424550.2416655742
1kgp,gvl027,haps,buffered,1,1048576,2,425058.90213228785
1kgp,gvl027,haps,buffered,1,1048576,2,419848.96769032313
1kgp,gvl027,haps,buffered,16,1048576,2,428222.9269758445
1kgp,gvl027,haps,buffered,16,1048576,2,452359.01053743844
1kgp,gvl027,haps,buffered,16,1048576,2,444425.4240181952
1kgp,gvl027,haps,buffered,16,1048576,2,450895.2605114446
1kgp,gvl027,haps,buffered,16,1048576,2,447150.6858271414
1kgp,gvl027,haps,buffered,64,1048576,2,443025.0533864727
1kgp,gvl027,haps,buffered,64,1048576,2,463145.46326289
1kgp,gvl027,haps,buffered,64,1048576,2,458523.1354840759
1kgp,gvl027,haps,buffered,64,1048576,2,451834.46542223636
1kgp,gvl027,haps,buffered,64,1048576,2,457750.52230718144
1kgp,gvl027,haps,buffered,1,1048576,32,4687249.825326654
1kgp,gvl027,haps,buffered,1,1048576,32,5837985.678773479
1kgp,gvl027,haps,buffered,1,1048576,32,5403689.301108126
1kgp,gvl027,haps,buffered,1,1048576,32,5947710.61692172
1kgp,gvl027,haps,buffered,1,1048576,32,5673346.789141551
1kgp,gvl027,haps,buffered,16,1048576,32,1880092.777238721
1kgp,gvl027,haps,buffered,16,1048576,32,4269778.106991857
1kgp,gvl027,haps,buffered,16,1048576,32,5042723.398544069
1kgp,gvl027,haps,buffered,16,1048576,32,5867457.316772639
1kgp,gvl027,haps,buffered,16,1048576,32,5203674.1373788575
1kgp,gvl027,haps,buffered,64,1048576,32,3791582.836418811
1kgp,gvl027,haps,buffered,64,1048576,32,4520767.259120073
1kgp,gvl027,haps,buffered,64,1048576,32,3684023.7617053213
1kgp,gvl027,haps,buffered,64,1048576,32,4591246.149056288
1kgp,gvl027,haps,buffered,64,1048576,32,3325700.8708918802
1kgp,gvl027,haps,buffered,1,1048576,512,2909.9923683802454
1kgp,gvl027,haps,buffered,1,1048576,512,2924.1635348850696
1kgp,gvl027,haps,buffered,1,1048576,512,2904.8523572392814
1kgp,gvl027,haps,buffered,1,1048576,512,1691.470873180114
1kgp,gvl027,haps,buffered,1,1048576,512,1702.123903076395
1kgp,gvl027,haps,buffered,16,1048576,512,35754.26384825164
1kgp,gvl027,haps,buffered,16,1048576,512,36055.04145987513
1kgp,gvl027,haps,buffered,16,1048576,512,35796.67073389217
1kgp,gvl027,haps,buffered,16,1048576,512,35987.27794202544
1kgp,gvl027,haps,buffered,16,1048576,512,35944.591750180334
1kgp,gvl027,haps,buffered,64,1048576,512,52585.09724552572
1kgp,gvl027,haps,buffered,64,1048576,512,50007.68477525577
1kgp,gvl027,haps,buffered,64,1048576,512,51100.231612127296
1kgp,gvl027,haps,buffered,64,1048576,512,51736.57209739693
1kgp,gvl027,haps,buffered,64,1048576,512,51430.29068115101
