dataset,backend,mode,dl_mode,threads,seqlen,batch_size,throughput (MiB/s)
1kgp,gvl027,haps,none,1,1048576,2,1202.4363340196057
1kgp,gvl027,haps,none,1,1048576,2,1819.8759896761992
1kgp,gvl027,haps,none,1,1048576,2,2483.664249357938
1kgp,gvl027,haps,none,1,1048576,2,2495.001109434363
1kgp,gvl027,haps,none,1,1048576,2,2496.2724409826537
1kgp,gvl027,haps,none,16,1048576,2,3580.8901328998713
1kgp,gvl027,haps,none,16,1048576,2,3583.0203282110197
1kgp,gvl027,haps,none,16,1048576,2,3586.5991809698326
1kgp,gvl027,haps,none,16,1048576,2,3563.4831203255276
1kgp,gvl027,haps,none,16,1048576,2,3588.022115233002
1kgp,gvl027,haps,none,64,1048576,2,2730.316674638852
1kgp,gvl027,haps,none,64,1048576,2,2927.0176677401005
1kgp,gvl027,haps,none,64,1048576,2,2931.4841447420877
1kgp,gvl027,haps,none,64,1048576,2,2934.73756983078
1kgp,gvl027,haps,none,64,1048576,2,2894.726245714297
1kgp,gvl027,haps,none,1,1048576,32,2807.9124956869023
1kgp,gvl027,haps,none,1,1048576,32,2800.286845606372
1kgp,gvl027,haps,none,1,1048576,32,2788.9226353439394
1kgp,gvl027,haps,none,1,1048576,32,2758.3684684613945
1kgp,gvl027,haps,none,1,1048576,32,2820.6832842538242
1kgp,gvl027,haps,none,16,1048576,32,14957.09963229526
1kgp,gvl027,haps,none,16,1048576,32,12662.44312848624
1kgp,gvl027,haps,none,16,1048576,32,10648.641740895728
1kgp,gvl027,haps,none,16,1048576,32,15137.890304255574
1kgp,gvl027,haps,none,16,1048576,32,16585.294225170608
1kgp,gvl027,haps,none,64,1048576,32,21113.86039659303
1kgp,gvl027,haps,none,64,1048576,32,19874.032821324374
1kgp,gvl027,haps,none,64,1048576,32,21276.40831197882
1kgp,gvl027,haps,none,64,1048576,32,21830.520792857267
1kgp,gvl027,haps,none,64,1048576,32,20944.34755256148
1kgp,gvl027,haps,none,1,1048576,512,3244.9546330114304
1kgp,gvl027,haps,none,1,1048576,512,3254.7748668266627
1kgp,gvl027,haps,none,1,1048576,512,3254.821686780111
1kgp,gvl027,haps,none,1,1048576,512,3257.9351583741463
1kgp,gvl027,haps,none,1,1048576,512,3263.72459810586
1kgp,gvl027,haps,none,16,1048576,512,38182.04697977377
1kgp,gvl027,haps,none,16,1048576,512,37913.5388760687
1kgp,gvl027,haps,none,16,1048576,512,37976.596123623036
1kgp,gvl027,haps,none,16,1048576,512,38155.81914103262
1kgp,gvl027,haps,none,16,1048576,512,37924.60488838124
1kgp,gvl027,haps,none,64,1048576,512,46464.58274481591
1kgp,gvl027,haps,none,64,1048576,512,45278.56703511143
1kgp,gvl027,haps,none,64,1048576,512,52063.404386671406
1kgp,gvl027,haps,none,64,1048576,512,55936.8050402929
1kgp,gvl027,haps,none,64,1048576,512,56019.57614470224
