dataset,backend,dl_mode,threads,seqlen,batch_size,n_batches_measured,total_bytes,duration_ns,throughput (MiB/s)
1KGP,svar,buffered,1,1048576,2,256,1073741824,7244778,141343.1853950528
1KGP,svar,buffered,1,1048576,2,256,1073741824,7032536,145608.9240069301
1KGP,svar,buffered,1,1048576,2,256,1073741824,6811353,150337.23843118982
1KGP,svar,buffered,4,1048576,2,256,1073741824,6584238,155522.9321904828
1KGP,svar,buffered,4,1048576,2,256,1073741824,6520985,157031.49140812317
1KGP,svar,buffered,4,1048576,2,256,1073741824,6632917,154381.5488720875
1KGP,svar,buffered,16,1048576,2,256,1073741824,7218060,141866.37406727014
1KGP,svar,buffered,16,1048576,2,256,1073741824,6655291,153862.5433508467
1KGP,svar,buffered,16,1048576,2,256,1073741824,6461541,158476.12821771152
1KGP,svar,buffered,32,1048576,2,256,1073741824,6849555,149498.76305833005
1KGP,svar,buffered,32,1048576,2,256,1073741824,7032655,145606.46014911865
1KGP,svar,buffered,32,1048576,2,256,1073741824,6854558,149389.64700568584
1KGP,svar,buffered,1,1048576,8,64,1073741824,1748350,585695.0839362828
1KGP,svar,buffered,1,1048576,8,64,1073741824,1697518,603233.6623234628
1KGP,svar,buffered,1,1048576,8,64,1073741824,1734883,590241.5321379021
1KGP,svar,buffered,4,1048576,8,64,1073741824,1720222,595272.0055899762
1KGP,svar,buffered,4,1048576,8,64,1073741824,1744744,586905.5861490282
1KGP,svar,buffered,4,1048576,8,64,1073741824,1775898,576609.692673791
1KGP,svar,buffered,16,1048576,8,64,1073741824,2179631,469804.2925614473
1KGP,svar,buffered,16,1048576,8,64,1073741824,1713171,597722.0020651761
1KGP,svar,buffered,16,1048576,8,64,1073741824,1900096,538920.1387719357
1KGP,svar,buffered,32,1048576,8,64,1073741824,1693178,604779.8872888733
1KGP,svar,buffered,32,1048576,8,64,1073741824,2140519,478388.6524716669
1KGP,svar,buffered,32,1048576,8,64,1073741824,2126602,481519.34400513116
1KGP,svar,buffered,1,1048576,32,16,1073741824,452268,2264144.268442605
1KGP,svar,buffered,1,1048576,32,16,1073741824,486811,2103485.747035297
1KGP,svar,buffered,1,1048576,32,16,1073741824,476427,2149332.4265837157
1KGP,svar,buffered,4,1048576,32,16,1073741824,540418,1894829.5578607672
1KGP,svar,buffered,4,1048576,32,16,1073741824,478346,2140709.8627353422
1KGP,svar,buffered,4,1048576,32,16,1073741824,506895,2020142.238530662
1KGP,svar,buffered,16,1048576,32,16,1073741824,527090,1942742.2261852813
1KGP,svar,buffered,16,1048576,32,16,1073741824,511123,2003431.6593070552
1KGP,svar,buffered,16,1048576,32,16,1073741824,491278,2084359.5683095923
1KGP,svar,buffered,32,1048576,32,16,1073741824,793970,1289721.2741035556
1KGP,svar,buffered,32,1048576,32,16,1073741824,683277,1498660.1334451474
1KGP,svar,buffered,32,1048576,32,16,1073741824,709853,1442552.1903830795
1KGP,svar,buffered,1,1048576,128,10,2684354560,1698861640,1506.8914028808138
1KGP,svar,buffered,1,1048576,128,10,2684354560,1698216533,1507.4638305856136
1KGP,svar,buffered,1,1048576,128,10,2684354560,1697794182,1507.838834142029
1KGP,svar,buffered,4,1048576,128,10,2684354560,466721039,5485.075207848086
1KGP,svar,buffered,4,1048576,128,10,2684354560,463425153,5524.085137433186
1KGP,svar,buffered,4,1048576,128,10,2684354560,462463900,5535.567208597255
1KGP,svar,buffered,16,1048576,128,10,2684354560,211415026,12108.883878480803
1KGP,svar,buffered,16,1048576,128,10,2684354560,212058643,12072.132329923474
1KGP,svar,buffered,16,1048576,128,10,2684354560,208976809,12250.163126952522
1KGP,svar,buffered,32,1048576,128,10,2684354560,126397362,20253.587254455513
1KGP,svar,buffered,32,1048576,128,10,2684354560,129328197,19794.600554123554
1KGP,svar,buffered,32,1048576,128,10,2684354560,129409015,19782.238509426876
1KGP,svar,buffered,1,1048576,512,10,10737418240,8587136227,1192.4813732199802
1KGP,svar,buffered,1,1048576,512,10,10737418240,8567517222,1195.212070739156
1KGP,svar,buffered,1,1048576,512,10,10737418240,8567411912,1195.2267621984274
1KGP,svar,buffered,4,1048576,512,10,10737418240,2350510481,4356.500463526331
1KGP,svar,buffered,4,1048576,512,10,10737418240,2349323906,4358.700804877435
1KGP,svar,buffered,4,1048576,512,10,10737418240,2414875160,4240.384832150081
1KGP,svar,buffered,16,1048576,512,10,10737418240,1081693561,9466.636734467906
1KGP,svar,buffered,16,1048576,512,10,10737418240,1081988734,9464.054179329374
1KGP,svar,buffered,16,1048576,512,10,10737418240,1082092223,9463.149057305442
1KGP,svar,buffered,32,1048576,512,10,10737418240,737384529,13886.9200495526
1KGP,svar,buffered,32,1048576,512,10,10737418240,629624086,16263.672606705202
1KGP,svar,buffered,32,1048576,512,10,10737418240,628237111,16299.578329112748
1KGP,svar,buffered,1,1048576,2048,10,42949672960,35065551754,1168.097975111075
1KGP,svar,buffered,1,1048576,2048,10,42949672960,35050950491,1168.584572635691
1KGP,svar,buffered,1,1048576,2048,10,42949672960,35068800167,1167.989774527378
1KGP,svar,buffered,4,1048576,2048,10,42949672960,9675124428,4233.537284694857
1KGP,svar,buffered,4,1048576,2048,10,42949672960,9504788786,4309.406649870189
1KGP,svar,buffered,4,1048576,2048,10,42949672960,9501726754,4310.795401768086
1KGP,svar,buffered,16,1048576,2048,10,42949672960,4730005774,8659.608879369625
1KGP,svar,buffered,16,1048576,2048,10,42949672960,4012059526,10209.220410255699
1KGP,svar,buffered,16,1048576,2048,10,42949672960,4843559430,8456.590776258938
1KGP,svar,buffered,32,1048576,2048,10,42949672960,4033936615,10153.853148731243
1KGP,svar,buffered,32,1048576,2048,10,42949672960,3979422070,10292.951910979375
1KGP,svar,buffered,32,1048576,2048,10,42949672960,3964081719,10332.783959441882
1KGP,svar,buffered,1,1048576,8192,5,85899345920,56328865206,1454.3165338128292
1KGP,svar,buffered,1,1048576,8192,5,85899345920,56330991401,1454.2616411069546
1KGP,svar,buffered,1,1048576,8192,5,85899345920,56311864517,1454.7555955152072
1KGP,svar,buffered,4,1048576,8192,10,171798691840,39514589588,4146.316631610816
1KGP,svar,buffered,4,1048576,8192,10,171798691840,39621139853,4135.166242260304
1KGP,svar,buffered,4,1048576,8192,10,171798691840,37960503187,4316.065021395945
1KGP,svar,buffered,16,1048576,8192,10,171798691840,22777071077,7193.198785134564
1KGP,svar,buffered,16,1048576,8192,10,171798691840,22224093348,7372.179257640868
1KGP,svar,buffered,16,1048576,8192,10,171798691840,22326441664,7338.383897698388
1KGP,svar,buffered,32,1048576,8192,10,171798691840,18834450778,8698.95288857464
1KGP,svar,buffered,32,1048576,8192,10,171798691840,19089103887,8582.906823173496
1KGP,svar,buffered,32,1048576,8192,10,171798691840,19068235223,8592.300130762867
