dataset,backend,dl_mode,threads,seqlen,batch_size,n_batches_measured,total_bytes,duration_ns,throughput (MiB/s)
TCGA_ATAC,svar,buffered,1,1048576,2,256,1073741824,7031092,145638.8282218466
TCGA_ATAC,svar,buffered,1,1048576,2,256,1073741824,6837240,149768.03505508072
TCGA_ATAC,svar,buffered,1,1048576,2,256,1073741824,6906377,148268.76667752137
TCGA_ATAC,svar,buffered,4,1048576,2,256,1073741824,6914615,148092.1208194527
TCGA_ATAC,svar,buffered,4,1048576,2,256,1073741824,6720320,152373.6964906433
TCGA_ATAC,svar,buffered,4,1048576,2,256,1073741824,6970468,146905.48755119456
TCGA_ATAC,svar,buffered,16,1048576,2,256,1073741824,7286658,140530.81673381678
TCGA_ATAC,svar,buffered,16,1048576,2,256,1073741824,7252631,141190.1418947138
TCGA_ATAC,svar,buffered,16,1048576,2,256,1073741824,7249570,141249.75688213232
TCGA_ATAC,svar,buffered,32,1048576,2,256,1073741824,7534154,135914.39728999432
TCGA_ATAC,svar,buffered,32,1048576,2,256,1073741824,7353562,139252.24265464817
TCGA_ATAC,svar,buffered,32,1048576,2,256,1073741824,7342300,139465.83495634882
TCGA_ATAC,svar,buffered,1,1048576,8,64,1073741824,1741775,587906.0154153091
TCGA_ATAC,svar,buffered,1,1048576,8,64,1073741824,1734946,590220.0990693659
TCGA_ATAC,svar,buffered,1,1048576,8,64,1073741824,1733851,590592.8479436814
TCGA_ATAC,svar,buffered,4,1048576,8,64,1073741824,1810847,565481.2361287287
TCGA_ATAC,svar,buffered,4,1048576,8,64,1073741824,1815456,564045.6171892902
TCGA_ATAC,svar,buffered,4,1048576,8,64,1073741824,1803497,567785.8072400453
TCGA_ATAC,svar,buffered,16,1048576,8,64,1073741824,2209653,463421.1797055918
TCGA_ATAC,svar,buffered,16,1048576,8,64,1073741824,2193513,466831.06049519655
TCGA_ATAC,svar,buffered,16,1048576,8,64,1073741824,2230786,459031.0321115517
TCGA_ATAC,svar,buffered,32,1048576,8,64,1073741824,1833792,558405.7515792412
TCGA_ATAC,svar,buffered,32,1048576,8,64,1073741824,1826159,560739.7822424006
TCGA_ATAC,svar,buffered,32,1048576,8,64,1073741824,2199909,465473.79914351006
