dataset,backend,dl_mode,threads,seqlen,batch_size,n_batches_measured,total_bytes,duration_ns,throughput (MiB/s)
UKBB,svar,buffered,1,131072,2,2048,1073741824,54110514,18924.233467824757
UKBB,svar,buffered,1,131072,2,2048,1073741824,53358104,19191.086699782285
UKBB,svar,buffered,1,131072,2,2048,1073741824,53326285,19202.53773537759
UKBB,svar,buffered,4,131072,2,2048,1073741824,53321569,19204.236094403
UKBB,svar,buffered,4,131072,2,2048,1073741824,53476648,19148.544987337275
UKBB,svar,buffered,4,131072,2,2048,1073741824,51993522,19694.761205059353
UKBB,svar,buffered,16,131072,2,2048,1073741824,70599544,14504.342974226576
UKBB,svar,buffered,16,131072,2,2048,1073741824,54189342,18896.704816973048
UKBB,svar,buffered,16,131072,2,2048,1073741824,54036310,18950.22069419618
UKBB,svar,buffered,32,131072,2,2048,1073741824,53503217,19139.036069550733
UKBB,svar,buffered,32,131072,2,2048,1073741824,53914192,18993.143771866227
UKBB,svar,buffered,32,131072,2,2048,1073741824,53860125,19012.209867689686
UKBB,svar,buffered,1,131072,8,512,1073741824,13436319,76211.34925421166
UKBB,svar,buffered,1,131072,8,512,1073741824,13493273,75889.66739204046
UKBB,svar,buffered,1,131072,8,512,1073741824,13975795,73269.53493522193
UKBB,svar,buffered,4,131072,8,512,1073741824,13552601,75557.45203448401
UKBB,svar,buffered,4,131072,8,512,1073741824,13408506,76369.43295546871
UKBB,svar,buffered,4,131072,8,512,1073741824,13250390,77280.7441894163
UKBB,svar,buffered,16,131072,8,512,1073741824,13917383,73577.05108783742
UKBB,svar,buffered,16,131072,8,512,1073741824,13517778,75752.09475995242
UKBB,svar,buffered,16,131072,8,512,1073741824,13515236,75766.34251891717
UKBB,svar,buffered,32,131072,8,512,1073741824,17976899,56961.99327815103
UKBB,svar,buffered,32,131072,8,512,1073741824,19003810,53883.93169580206
UKBB,svar,buffered,32,131072,8,512,1073741824,18331141,55861.22544144961
UKBB,svar,buffered,1,131072,32,128,1073741824,4547760,225165.7959083153
UKBB,svar,buffered,1,131072,32,128,1073741824,4665266,219494.45112025764
UKBB,svar,buffered,1,131072,32,128,1073741824,4459797,229606.86327202787
UKBB,svar,buffered,4,131072,32,128,1073741824,4493557,227881.83169814027
UKBB,svar,buffered,4,131072,32,128,1073741824,4598430,222684.6989081056
UKBB,svar,buffered,4,131072,32,128,1073741824,4528262,226135.32520865623
UKBB,svar,buffered,16,131072,32,128,1073741824,4621915,221553.1873693047
UKBB,svar,buffered,16,131072,32,128,1073741824,4714197,217216.20882623276
UKBB,svar,buffered,16,131072,32,128,1073741824,4934650,207512.18424812297
UKBB,svar,buffered,32,131072,32,128,1073741824,4424508,231438.16216401916
UKBB,svar,buffered,32,131072,32,128,1073741824,4169307,245604.36542571706
UKBB,svar,buffered,32,131072,32,128,1073741824,3936932,260101.01266671612
UKBB,svar,buffered,1,131072,128,32,1073741824,932718,1097866.66495125
UKBB,svar,buffered,1,131072,128,32,1073741824,937304,1092495.070969504
UKBB,svar,buffered,1,131072,128,32,1073741824,902890,1134135.9412553024
UKBB,svar,buffered,4,131072,128,32,1073741824,1052197,973201.7863574978
UKBB,svar,buffered,4,131072,128,32,1073741824,1033521,990787.8020862663
UKBB,svar,buffered,4,131072,128,32,1073741824,1003388,1020542.4023408691
UKBB,svar,buffered,16,131072,128,32,1073741824,1169360,875692.6865977971
UKBB,svar,buffered,16,131072,128,32,1073741824,1323107,773935.8948293675
UKBB,svar,buffered,16,131072,128,32,1073741824,1223267,837102.611286007
UKBB,svar,buffered,32,131072,128,32,1073741824,1454031,704249.0840979319
UKBB,svar,buffered,32,131072,128,32,1073741824,1293744,791501.255271522
UKBB,svar,buffered,32,131072,128,32,1073741824,1285295,796704.2585554288
UKBB,svar,buffered,1,131072,512,10,1342177280,348992,3667705.8499908308
UKBB,svar,buffered,1,131072,512,10,1342177280,352217,3634123.2819540226
UKBB,svar,buffered,1,131072,512,10,1342177280,375568,3408171.0901887272
UKBB,svar,buffered,4,131072,512,10,1342177280,380164,3366967.940152145
UKBB,svar,buffered,4,131072,512,10,1342177280,483708,2646224.581772474
UKBB,svar,buffered,4,131072,512,10,1342177280,470614,2719851.0881529236
UKBB,svar,buffered,16,131072,512,10,1342177280,475586,2691416.484084897
UKBB,svar,buffered,16,131072,512,10,1342177280,426165,3003531.496016801
UKBB,svar,buffered,16,131072,512,10,1342177280,446737,2865220.4764772113
UKBB,svar,buffered,32,131072,512,10,1342177280,445702,2871874.0324252527
UKBB,svar,buffered,32,131072,512,10,1342177280,438881,2916508.1195130344
UKBB,svar,buffered,32,131072,512,10,1342177280,567173,2256807.005975249
UKBB,svar,buffered,1,131072,2048,10,5368709120,3203935982,1598.0344266441714
UKBB,svar,buffered,1,131072,2048,10,5368709120,3152581748,1624.0657369941737
UKBB,svar,buffered,1,131072,2048,10,5368709120,3159952052,1620.2777497080833
UKBB,svar,buffered,4,131072,2048,10,5368709120,903596477,5666.246084755375
UKBB,svar,buffered,4,131072,2048,10,5368709120,858636711,5962.94094394946
UKBB,svar,buffered,4,131072,2048,10,5368709120,890483798,5749.683499575587
UKBB,svar,buffered,16,131072,2048,10,5368709120,406210233,12604.310733846038
UKBB,svar,buffered,16,131072,2048,10,5368709120,403705556,12682.510616722846
UKBB,svar,buffered,16,131072,2048,10,5368709120,402163459,12731.141742044743
UKBB,svar,buffered,32,131072,2048,10,5368709120,405734320,12619.09517538472
UKBB,svar,buffered,32,131072,2048,10,5368709120,432431976,11840.012497133192
UKBB,svar,buffered,32,131072,2048,10,5368709120,254167307,20144.21154487819
UKBB,svar,buffered,1,131072,8192,10,21474836480,16691351224,1226.9827484399473
UKBB,svar,buffered,1,131072,8192,10,21474836480,16440543727,1245.7008928704756
UKBB,svar,buffered,1,131072,8192,10,21474836480,16406605667,1248.2777008039611
UKBB,svar,buffered,4,131072,8192,10,21474836480,6764204957,3027.702461736628
UKBB,svar,buffered,4,131072,8192,10,21474836480,4593260958,4458.705957981845
