dataset,backend,dl_mode,threads,seqlen,batch_size,n_batches_measured,total_bytes,duration_ns,throughput (MiB/s)
TCGA_ATAC,svar,buffered,1,131072,2,2048,2147483648,1558048173,1314.465133678508
TCGA_ATAC,svar,buffered,1,131072,2,2048,2147483648,1027385675,1993.4091450126552
TCGA_ATAC,svar,buffered,1,131072,2,2048,2147483648,1013296558,2021.125981166118
TCGA_ATAC,svar,buffered,4,131072,2,2048,2147483648,492707002,4156.628567661395
TCGA_ATAC,svar,buffered,4,131072,2,2048,2147483648,488235203,4194.699578022849
TCGA_ATAC,svar,buffered,4,131072,2,2048,2147483648,486013372,4213.875827268391
TCGA_ATAC,svar,buffered,16,131072,2,2048,2147483648,344443240,5945.827242828165
TCGA_ATAC,svar,buffered,16,131072,2,2048,2147483648,364732941,5615.067271919374
TCGA_ATAC,svar,buffered,16,131072,2,2048,2147483648,320633036,6387.364276462143
TCGA_ATAC,svar,buffered,32,131072,2,2048,2147483648,195352073,10483.635871117684
TCGA_ATAC,svar,buffered,32,131072,2,2048,2147483648,230871034,8870.753357478357
TCGA_ATAC,svar,buffered,32,131072,2,2048,2147483648,234276828,8741.794984521473
TCGA_ATAC,svar,buffered,1,131072,8,512,2147483648,999825538,2048.3573605218317
TCGA_ATAC,svar,buffered,1,131072,8,512,2147483648,996124929,2055.9670181690635
TCGA_ATAC,svar,buffered,1,131072,8,512,2147483648,993760445,2060.858842092472
TCGA_ATAC,svar,buffered,4,131072,8,512,2147483648,300607959,6812.860201083366
TCGA_ATAC,svar,buffered,4,131072,8,512,2147483648,300306218,6819.705611290406
TCGA_ATAC,svar,buffered,4,131072,8,512,2147483648,300045860,6825.62325639154
TCGA_ATAC,svar,buffered,16,131072,8,512,2147483648,268811656,7618.717247886007
TCGA_ATAC,svar,buffered,16,131072,8,512,2147483648,217137867,9431.795698720758
TCGA_ATAC,svar,buffered,16,131072,8,512,2147483648,213647914,9585.864713848787
TCGA_ATAC,svar,buffered,32,131072,8,512,2147483648,193154867,10602.89099523441
TCGA_ATAC,svar,buffered,32,131072,8,512,2147483648,151599439,13509.284819978786
TCGA_ATAC,svar,buffered,32,131072,8,512,2147483648,152200377,13455.945644602445
TCGA_ATAC,svar,buffered,1,131072,32,128,2147483648,987854796,2073.1791841196873
TCGA_ATAC,svar,buffered,1,131072,32,128,2147483648,982284586,2084.935495465466
TCGA_ATAC,svar,buffered,1,131072,32,128,2147483648,982152255,2085.2164107692242
TCGA_ATAC,svar,buffered,4,131072,32,128,2147483648,275085212,7444.965816628484
TCGA_ATAC,svar,buffered,4,131072,32,128,2147483648,275049323,7445.937251043515
TCGA_ATAC,svar,buffered,4,131072,32,128,2147483648,275302544,7439.088539624974
TCGA_ATAC,svar,buffered,16,131072,32,128,2147483648,263425817,7774.484761301888
TCGA_ATAC,svar,buffered,16,131072,32,128,2147483648,245376846,8346.345767277488
TCGA_ATAC,svar,buffered,16,131072,32,128,2147483648,209548688,9773.38498058265
TCGA_ATAC,svar,buffered,32,131072,32,128,2147483648,145002712,14123.873765892047
TCGA_ATAC,svar,buffered,32,131072,32,128,2147483648,143845943,14237.454023990096
TCGA_ATAC,svar,buffered,32,131072,32,128,2147483648,135086971,15160.603460418104
TCGA_ATAC,svar,buffered,1,131072,128,32,2147483648,955049077,2144.392418485108
TCGA_ATAC,svar,buffered,1,131072,128,32,2147483648,948203812,2159.873198231774
TCGA_ATAC,svar,buffered,1,131072,128,32,2147483648,947853449,2160.671570231317
TCGA_ATAC,svar,buffered,4,131072,128,32,2147483648,270924390,7559.304645846023
TCGA_ATAC,svar,buffered,4,131072,128,32,2147483648,272899794,7504.586097269096
TCGA_ATAC,svar,buffered,4,131072,128,32,2147483648,273201343,7496.302827471826
TCGA_ATAC,svar,buffered,16,131072,128,32,2147483648,133567808,15333.035936323817
TCGA_ATAC,svar,buffered,16,131072,128,32,2147483648,131643785,15557.1339733205
TCGA_ATAC,svar,buffered,16,131072,128,32,2147483648,131854931,15532.221544297041
TCGA_ATAC,svar,buffered,32,131072,128,32,2147483648,137059095,14942.459674055195
TCGA_ATAC,svar,buffered,32,131072,128,32,2147483648,130507905,15692.5360191783
TCGA_ATAC,svar,buffered,32,131072,128,32,2147483648,134749900,15198.527048999664
TCGA_ATAC,svar,buffered,1,131072,512,10,2684354560,987634867,2592.051056050859
TCGA_ATAC,svar,buffered,1,131072,512,10,2684354560,978128509,2617.2430068695603
TCGA_ATAC,svar,buffered,1,131072,512,10,2684354560,978523760,2616.185834874362
TCGA_ATAC,svar,buffered,4,131072,512,10,2684354560,267885326,9556.327844549425
TCGA_ATAC,svar,buffered,4,131072,512,10,2684354560,269683743,9492.600375247684
TCGA_ATAC,svar,buffered,4,131072,512,10,2684354560,269943421,9483.468759922102
TCGA_ATAC,svar,buffered,16,131072,512,10,2684354560,250481211,10220.32746400288
TCGA_ATAC,svar,buffered,16,131072,512,10,2684354560,216590620,11819.533089660115
TCGA_ATAC,svar,buffered,16,131072,512,10,2684354560,188712596,13565.602160440842
TCGA_ATAC,svar,buffered,32,131072,512,10,2684354560,128973230,19849.080309146324
TCGA_ATAC,svar,buffered,32,131072,512,10,2684354560,133579045,19164.682604221343
TCGA_ATAC,svar,buffered,32,131072,512,10,2684354560,134056606,19096.41066103076
TCGA_ATAC,svar,buffered,1,131072,2048,10,10737418240,5199509592,1969.4165033862678
TCGA_ATAC,svar,buffered,1,131072,2048,10,10737418240,4756706396,2152.750064332539
TCGA_ATAC,svar,buffered,1,131072,2048,10,10737418240,4750542726,2155.5431854040335
TCGA_ATAC,svar,buffered,4,131072,2048,10,10737418240,1311152811,7809.921096984935
TCGA_ATAC,svar,buffered,4,131072,2048,10,10737418240,1335008264,7670.364503451493
TCGA_ATAC,svar,buffered,4,131072,2048,10,10737418240,1346725119,7603.630358958204
TCGA_ATAC,svar,buffered,16,131072,2048,10,10737418240,1016509490,10073.688539789235
TCGA_ATAC,svar,buffered,16,131072,2048,10,10737418240,945302087,10832.516018765544
TCGA_ATAC,svar,buffered,16,131072,2048,10,10737418240,693162534,14772.869994730556
TCGA_ATAC,svar,buffered,32,131072,2048,10,10737418240,657747207,15568.291117046127
TCGA_ATAC,svar,buffered,32,131072,2048,10,10737418240,657037048,15585.118116505359
TCGA_ATAC,svar,buffered,32,131072,2048,10,10737418240,656432460,15599.47233566116
TCGA_ATAC,svar,buffered,1,131072,8192,10,42949672960,19248057180,2128.0069784165094
TCGA_ATAC,svar,buffered,1,131072,8192,10,42949672960,18851494006,2172.7720883534944
TCGA_ATAC,svar,buffered,1,131072,8192,10,42949672960,18844337183,2173.597277645358
TCGA_ATAC,svar,buffered,4,131072,8192,10,42949672960,8313845104,4926.721569577127
TCGA_ATAC,svar,buffered,4,131072,8192,10,42949672960,5495410814,7453.491901943184
TCGA_ATAC,svar,buffered,4,131072,8192,10,42949672960,5498179677,7449.738350920757
TCGA_ATAC,svar,buffered,16,131072,8192,10,42949672960,3266302235,12540.174501028685
TCGA_ATAC,svar,buffered,16,131072,8192,10,42949672960,3232813707,12670.077434808401
TCGA_ATAC,svar,buffered,16,131072,8192,10,42949672960,3208373096,12766.595023211727
TCGA_ATAC,svar,buffered,32,131072,8192,10,42949672960,4827475900,8484.765299397974
TCGA_ATAC,svar,buffered,32,131072,8192,10,42949672960,5188333260,7894.635511520707
TCGA_ATAC,svar,buffered,32,131072,8192,10,42949672960,4510878214,9080.271746835504
TCGA_ATAC,svar,buffered,1,131072,32768,7,111147483136,49297459216,2150.181808266441
TCGA_ATAC,svar,buffered,1,131072,32768,7,111147483136,49016196850,2162.5198773454003
TCGA_ATAC,svar,buffered,1,131072,32768,7,111147483136,48965708641,2164.7496368763927
TCGA_ATAC,svar,buffered,4,131072,32768,10,153575489536,19642900180,7456.18002728149
TCGA_ATAC,svar,buffered,4,131072,32768,10,153575489536,19494314664,7513.010973936333
TCGA_ATAC,svar,buffered,4,131072,32768,10,153575489536,19452711929,7529.078749254325
TCGA_ATAC,svar,buffered,16,131072,32768,10,153575489536,13918613116,10522.671963030372
TCGA_ATAC,svar,buffered,16,131072,32768,10,153575489536,14071455547,10408.37598575402
TCGA_ATAC,svar,buffered,16,131072,32768,10,153575489536,13820027526,10597.7357660438
TCGA_ATAC,svar,buffered,32,131072,32768,10,153575489536,20837067423,7028.86817164761
TCGA_ATAC,svar,buffered,32,131072,32768,10,153575489536,17729360932,8260.929458300456
TCGA_ATAC,svar,buffered,32,131072,32768,10,153575489536,17150787720,8539.60776560763
TCGA_ATAC,svar,buffered,1,131072,65536,0,0,0,nan
TCGA_ATAC,svar,buffered,1,131072,65536,0,0,0,nan
TCGA_ATAC,svar,buffered,1,131072,65536,0,0,0,nan
TCGA_ATAC,svar,buffered,4,131072,65536,0,0,0,nan
TCGA_ATAC,svar,buffered,4,131072,65536,0,0,0,nan
TCGA_ATAC,svar,buffered,4,131072,65536,0,0,0,nan
TCGA_ATAC,svar,buffered,16,131072,65536,0,0,0,nan
TCGA_ATAC,svar,buffered,16,131072,65536,0,0,0,nan
TCGA_ATAC,svar,buffered,16,131072,65536,0,0,0,nan
TCGA_ATAC,svar,buffered,32,131072,65536,0,0,0,nan
TCGA_ATAC,svar,buffered,32,131072,65536,0,0,0,nan
TCGA_ATAC,svar,buffered,32,131072,65536,0,0,0,nan
