dataset,backend,dl_mode,threads,seqlen,batch_size,n_batches_measured,total_bytes,duration_ns,throughput (MiB/s)
FASTA,fasta,none,1,2048,2,131072,1073741824,24075185945,42.533420192032494
FASTA,fasta,none,1,2048,2,131072,1073741824,23858780389,42.91920975441441
FASTA,fasta,none,1,2048,2,131072,1073741824,23917022802,42.81469347072624
FASTA,fasta,none,1,2048,8,32768,1073741824,13688228453,74.80880404034852
FASTA,fasta,none,1,2048,8,32768,1073741824,13632867295,75.11259207925855
FASTA,fasta,none,1,2048,8,32768,1073741824,13690977795,74.79378137432732
FASTA,fasta,none,1,2048,32,8192,1073741824,10198737786,100.40458157534593
FASTA,fasta,none,1,2048,32,8192,1073741824,10158258539,100.8046798640355
FASTA,fasta,none,1,2048,32,8192,1073741824,10177673613,100.61238343230413
FASTA,fasta,none,1,2048,128,2048,1073741824,9095713500,112.58050289292862
FASTA,fasta,none,1,2048,128,2048,1073741824,9055276091,113.08324447641627
FASTA,fasta,none,1,2048,128,2048,1073741824,9065335076,112.95776619564636
FASTA,fasta,none,1,2048,512,512,1073741824,8696740052,117.745269362686
FASTA,fasta,none,1,2048,512,512,1073741824,8831273790,115.95156308702781
FASTA,fasta,none,1,2048,512,512,1073741824,8908905817,114.94116348676626
FASTA,fasta,none,1,2048,2048,128,1073741824,8695967819,117.75572556313298
FASTA,fasta,none,1,2048,2048,128,1073741824,8693390662,117.79063426610334
FASTA,fasta,none,1,2048,2048,128,1073741824,8651562601,118.36012142842726
FASTA,fasta,none,1,2048,8192,32,1073741824,9113798008,112.35710941817486
FASTA,fasta,none,1,2048,8192,32,1073741824,9107216838,112.43830230629237
FASTA,fasta,none,1,2048,8192,32,1073741824,9199433272,111.3112046930884
FASTA,fasta,none,1,2048,32768,10,1342177280,11153594515,114.76120978565088
FASTA,fasta,none,1,2048,32768,10,1342177280,10952273033,116.87071680401559
FASTA,fasta,none,1,2048,32768,10,1342177280,10921645121,117.19846102111782
FASTA,fasta,none,1,2048,131072,10,5368709120,44055415100,116.21726837389396
FASTA,fasta,none,1,2048,131072,10,5368709120,43737853172,117.06107247343611
FASTA,fasta,none,1,2048,131072,10,5368709120,43631414159,117.34664343772776
FASTA,fasta,none,1,2048,524288,5,10737418240,80111777310,127.82140583868667
FASTA,fasta,none,1,2048,524288,5,10737418240,82386933608,124.29155390977759
FASTA,fasta,none,1,2048,524288,5,10737418240,82289545564,124.43865049705406
FASTA,fasta,none,1,2048,2097152,5,42949672960,353671587203,115.81365730826951
FASTA,fasta,none,1,2048,2097152,5,42949672960,345086759043,118.69478885133384
FASTA,fasta,none,1,2048,2097152,5,42949672960,339666082039,120.58902011681292
FASTA,fasta,none,1,2048,4194304,5,85899345920,713492772118,114.81545882633242
FASTA,fasta,none,1,2048,4194304,5,85899345920,716388818235,114.3513102309861
FASTA,fasta,none,1,2048,4194304,5,85899345920,732574445761,111.82481244605975
FASTA,fasta,none,1,16384,2,16384,1073741824,4489074542,228.10937764998246
FASTA,fasta,none,1,16384,2,16384,1073741824,4447084839,230.263203215674
