dataset,backend,dl_mode,threads,seqlen,batch_size,n_batches_measured,total_bytes,duration_ns,throughput (MiB/s)
TCGA_ATAC,pybigwig,none,32,2048,2,14535,238141440,10180529474,22.30820858384757
TCGA_ATAC,pybigwig,none,32,2048,2,14496,237502464,10174446213,22.261653878576556
TCGA_ATAC,pybigwig,none,32,2048,8,10550,691404800,10205959815,64.60685834083895
TCGA_ATAC,pybigwig,none,32,2048,8,10750,704512000,10223897975,65.71612917528161
TCGA_ATAC,pybigwig,none,32,2048,32,3547,929824768,10210112610,86.85016844295119
TCGA_ATAC,pybigwig,none,32,2048,32,3499,917241856,10172492002,85.99171174850927
TCGA_ATAC,pybigwig,none,32,2048,128,1023,1072693248,10494843594,97.47644077181471
TCGA_ATAC,pybigwig,none,32,2048,128,995,1043333120,10482106812,94.92366542772834
TCGA_ATAC,pybigwig,none,32,2048,512,255,1069547520,10841775480,94.08053154039304
TCGA_ATAC,pybigwig,none,32,2048,512,249,1044381696,11045366012,90.17356228104322
TCGA_ATAC,pybigwig,none,32,2048,2048,64,1073741824,14189657286,72.16523833949911
TCGA_ATAC,pybigwig,none,32,2048,2048,65,1090519040,14562556278,71.41603301963904
TCGA_ATAC,pybigwig,none,32,2048,8192,31,2080374784,37945675953,52.285272305002756
TCGA_ATAC,pybigwig,none,32,2048,8192,31,2080374784,39812040947,49.83416958304677
TCGA_ATAC,pybigwig,none,32,2048,32768,0,0,0,nan
TCGA_ATAC,pybigwig,none,32,2048,131072,0,0,0,nan
TCGA_ATAC,pybigwig,none,32,2048,524288,0,0,0,nan
TCGA_ATAC,pybigwig,none,32,2048,2097152,0,0,0,nan
TCGA_ATAC,pybigwig,none,32,2048,4194304,0,0,0,nan
TCGA_ATAC,pybigwig,none,32,16384,2,13142,1722548224,10222312237,160.702389235775
TCGA_ATAC,pybigwig,none,32,16384,2,13167,1725825024,10214982672,161.12362133628102
TCGA_ATAC,pybigwig,none,32,16384,8,4096,2147483648,4637518880,441.6154527871162
TCGA_ATAC,pybigwig,none,32,16384,8,4096,2147483648,4651431980,440.29451764658506
TCGA_ATAC,pybigwig,none,32,16384,32,1024,2147483648,3278954998,624.5892368907711
TCGA_ATAC,pybigwig,none,32,16384,32,1024,2147483648,3192767119,641.4498532675474
TCGA_ATAC,pybigwig,none,32,16384,128,256,2147483648,3199225068,640.1550239415666
TCGA_ATAC,pybigwig,none,32,16384,128,256,2147483648,3163759910,647.3310422597775
TCGA_ATAC,pybigwig,none,32,16384,512,64,2147483648,3794496146,539.7291026791307
TCGA_ATAC,pybigwig,none,32,16384,512,64,2147483648,3991399839,513.1031925163136
TCGA_ATAC,pybigwig,none,32,16384,2048,16,2147483648,5657235260,362.0142889373139
TCGA_ATAC,pybigwig,none,32,16384,2048,16,2147483648,5989011407,341.95960916125205
TCGA_ATAC,pybigwig,none,32,16384,8192,10,5368709120,23775876319,215.3443234354503
TCGA_ATAC,pybigwig,none,32,16384,8192,10,5368709120,23907342555,214.1601471690629
TCGA_ATAC,pybigwig,none,32,16384,32768,0,0,0,nan
TCGA_ATAC,pybigwig,none,32,16384,131072,0,0,0,nan
TCGA_ATAC,pybigwig,none,32,16384,524288,0,0,0,nan
TCGA_ATAC,pybigwig,none,32,131072,2,2048,2147483648,2305786797,888.2000723850965
TCGA_ATAC,pybigwig,none,32,131072,2,2048,2147483648,2267061268,903.3721447708135
TCGA_ATAC,pybigwig,none,32,131072,8,512,2147483648,1276318775,1604.614803225785
TCGA_ATAC,pybigwig,none,32,131072,8,512,2147483648,1267553946,1615.7103265410053
TCGA_ATAC,pybigwig,none,32,131072,32,128,2147483648,1053603075,1943.806020118155
TCGA_ATAC,pybigwig,none,32,131072,32,128,2147483648,1063585300,1925.5625289292736
TCGA_ATAC,pybigwig,none,32,131072,128,32,2147483648,1484233478,1379.8368183688146
TCGA_ATAC,pybigwig,none,32,131072,128,32,2147483648,1637030266,1251.0458985002053
TCGA_ATAC,pybigwig,none,32,131072,512,10,2684354560,3665641413,698.3770946391804
TCGA_ATAC,pybigwig,none,32,131072,512,10,2684354560,3141273793,814.9560237966815
TCGA_ATAC,pybigwig,none,32,131072,2048,10,10737418240,14180026324,722.142524000014
TCGA_ATAC,pybigwig,none,32,131072,2048,10,10737418240,14609958831,700.8917765238568
TCGA_ATAC,pybigwig,none,32,131072,8192,0,0,0,nan
TCGA_ATAC,pybigwig,none,32,131072,32768,0,0,0,nan
TCGA_ATAC,pybigwig,none,32,131072,65536,0,0,0,nan
TCGA_ATAC,pybigwig,none,32,1048576,2,256,2147483648,1145580585,1787.7397948394873
TCGA_ATAC,pybigwig,none,32,1048576,2,256,2147483648,1106411946,1851.0284595209894
TCGA_ATAC,pybigwig,none,32,1048576,8,64,2147483648,1206606999,1697.321498795649
TCGA_ATAC,pybigwig,none,32,1048576,8,64,2147483648,1201558959,1704.4523572147075
TCGA_ATAC,pybigwig,none,32,1048576,32,16,2147483648,1807913771,1132.7973893728365
TCGA_ATAC,pybigwig,none,32,1048576,32,16,2147483648,2044970419,1001.4814791313613
TCGA_ATAC,pybigwig,none,32,1048576,128,10,5368709120,7399066390,691.979194418338
TCGA_ATAC,pybigwig,none,32,1048576,128,10,5368709120,7075682363,723.605122068988
TCGA_ATAC,pybigwig,none,32,1048576,512,0,0,0,nan
TCGA_ATAC,pybigwig,none,32,1048576,2048,0,0,0,nan
TCGA_ATAC,pybigwig,none,32,1048576,8192,0,0,0,nan
TCGA_ATAC,pybigwig,none,16,2048,2,14431,236437504,10081541917,22.366060356281114
TCGA_ATAC,pybigwig,none,16,2048,2,14623,239583232,10083681004,22.658826167682683
TCGA_ATAC,pybigwig,none,16,2048,8,6978,457310208,10124733213,43.07520907711645
TCGA_ATAC,pybigwig,none,16,2048,8,6936,454557696,10123538510,42.82099579823696
TCGA_ATAC,pybigwig,none,16,2048,32,2207,578551808,10133439021,54.44844527673011
TCGA_ATAC,pybigwig,none,16,2048,32,2317,607387648,10169427599,56.959941389125966
TCGA_ATAC,pybigwig,none,16,2048,128,627,657457152,10270344451,61.049559047549806
TCGA_ATAC,pybigwig,none,16,2048,128,648,679477248,10510434122,61.65301951169016
TCGA_ATAC,pybigwig,none,16,2048,512,159,666894336,11585834798,54.89462011919842
TCGA_ATAC,pybigwig,none,16,2048,512,164,687865856,11047257232,59.381255113694635
TCGA_ATAC,pybigwig,none,16,2048,2048,37,620756992,13086329681,45.238047216518076
TCGA_ATAC,pybigwig,none,16,2048,2048,48,805306368,13679593638,56.14201856600501
TCGA_ATAC,pybigwig,none,16,2048,8192,16,1073741824,21009109733,48.740761175213194
TCGA_ATAC,pybigwig,none,16,2048,8192,15,1006632960,21499416307,44.652375036220555
TCGA_ATAC,pybigwig,none,16,2048,32768,0,0,0,nan
TCGA_ATAC,pybigwig,none,16,2048,131072,0,0,0,nan
TCGA_ATAC,pybigwig,none,16,2048,524288,0,0,0,nan
TCGA_ATAC,pybigwig,none,16,2048,2097152,0,0,0,nan
TCGA_ATAC,pybigwig,none,16,2048,4194304,0,0,0,nan
TCGA_ATAC,pybigwig,none,16,16384,2,14074,1844707328,10125551256,173.7436269415493
TCGA_ATAC,pybigwig,none,16,16384,2,12930,1694760960,10142669325,159.35154230220357
TCGA_ATAC,pybigwig,none,16,16384,8,4096,2147483648,6062225257,337.8297429042565
TCGA_ATAC,pybigwig,none,16,16384,8,4096,2147483648,6053900068,338.29431886816536
TCGA_ATAC,pybigwig,none,16,16384,32,1024,2147483648,4927699882,415.6097264528985
TCGA_ATAC,pybigwig,none,16,16384,32,1024,2147483648,5079296510,403.2054431096798
TCGA_ATAC,pybigwig,none,16,16384,128,256,2147483648,4099313785,499.59581222933883
TCGA_ATAC,pybigwig,none,16,16384,128,256,2147483648,4060463727,504.37588849319127
TCGA_ATAC,pybigwig,none,16,16384,512,64,2147483648,6515254127,314.3392352898163
TCGA_ATAC,pybigwig,none,16,16384,512,64,2147483648,5722235369,357.90209034304405
TCGA_ATAC,pybigwig,none,16,16384,2048,16,2147483648,6181923306,331.28848395972
TCGA_ATAC,pybigwig,none,16,16384,2048,16,2147483648,9039028527,226.57302097039837
TCGA_ATAC,pybigwig,none,16,16384,8192,10,5368709120,16438810426,311.4580597572979
TCGA_ATAC,pybigwig,none,16,16384,8192,10,5368709120,16633870651,307.8056880099759
TCGA_ATAC,pybigwig,none,16,16384,32768,0,0,0,nan
TCGA_ATAC,pybigwig,none,16,16384,131072,0,0,0,nan
TCGA_ATAC,pybigwig,none,16,16384,524288,0,0,0,nan
TCGA_ATAC,pybigwig,none,16,131072,2,2048,2147483648,2177568358,940.498603626385
TCGA_ATAC,pybigwig,none,16,131072,2,2048,2147483648,2180695750,939.1498103300289
TCGA_ATAC,pybigwig,none,16,131072,8,512,2147483648,1469930706,1393.2629556212564
TCGA_ATAC,pybigwig,none,16,131072,8,512,2147483648,1515482647,1351.3846589099214
TCGA_ATAC,pybigwig,none,16,131072,32,128,2147483648,1182256865,1732.2800658890653
TCGA_ATAC,pybigwig,none,16,131072,32,128,2147483648,1213681327,1687.4281200834525
TCGA_ATAC,pybigwig,none,16,131072,128,32,2147483648,1724768379,1187.4058134040038
TCGA_ATAC,pybigwig,none,16,131072,128,32,2147483648,1808542708,1132.4034488877548
TCGA_ATAC,pybigwig,none,16,131072,512,10,2684354560,2508585176,1020.4955464506022
TCGA_ATAC,pybigwig,none,16,131072,512,10,2684354560,2658901880,962.8034863776169
TCGA_ATAC,pybigwig,none,16,131072,2048,10,10737418240,11597792005,882.9266808359183
TCGA_ATAC,pybigwig,none,16,131072,2048,10,10737418240,8489065055,1206.2576895872312
TCGA_ATAC,pybigwig,none,16,131072,8192,0,0,0,nan
TCGA_ATAC,pybigwig,none,16,131072,32768,0,0,0,nan
TCGA_ATAC,pybigwig,none,16,131072,65536,0,0,0,nan
TCGA_ATAC,pybigwig,none,16,1048576,2,256,2147483648,1223838445,1673.4234885062792
TCGA_ATAC,pybigwig,none,16,1048576,2,256,2147483648,1201154116,1705.0268343750151
TCGA_ATAC,pybigwig,none,16,1048576,8,64,2147483648,1231278865,1663.311259712072
TCGA_ATAC,pybigwig,none,16,1048576,8,64,2147483648,1329176287,1540.803894886217
TCGA_ATAC,pybigwig,none,16,1048576,32,16,2147483648,1631819186,1255.0410104076323
TCGA_ATAC,pybigwig,none,16,1048576,32,16,2147483648,1910244324,1072.1141658526399
