dataset,backend,dl_mode,threads,seqlen,batch_size,n_batches_measured,total_bytes,duration_ns,throughput (MiB/s)
1KGP,svar,none,1,131072,2,2048,1073741824,3138226652,326.29893043174627
1KGP,svar,none,1,131072,2,2048,1073741824,3072714924,333.25577716366115
1KGP,svar,none,1,131072,2,2048,1073741824,3071510731,333.3864308742342
1KGP,svar,none,4,131072,2,2048,1073741824,3427648378,298.74709628106433
1KGP,svar,none,4,131072,2,2048,1073741824,3085054648,331.92280748214483
1KGP,svar,none,4,131072,2,2048,1073741824,3051945504,335.52368437047954
1KGP,svar,none,16,131072,2,2048,1073741824,3770283819,271.5975903033204
1KGP,svar,none,16,131072,2,2048,1073741824,3746587773,273.315363750321
1KGP,svar,none,16,131072,2,2048,1073741824,3743333409,273.5529775515115
1KGP,svar,none,32,131072,2,2048,1073741824,20146057748,50.82880297519536
1KGP,svar,none,32,131072,2,2048,1073741824,12557222486,81.54669562808604
1KGP,svar,none,32,131072,2,2048,1073741824,10771417658,95.06640931701953
1KGP,svar,none,1,131072,8,512,1073741824,1140153540,898.1246508255371
1KGP,svar,none,1,131072,8,512,1073741824,1133345539,903.5196811234813
1KGP,svar,none,1,131072,8,512,1073741824,1133674132,903.2577978942543
1KGP,svar,none,4,131072,8,512,1073741824,758079125,1350.782479335518
1KGP,svar,none,4,131072,8,512,1073741824,760578288,1346.3439808315957
1KGP,svar,none,4,131072,8,512,1073741824,753177421,1359.5734171643471
1KGP,svar,none,16,131072,8,512,1073741824,1786996812,573.0284425375909
1KGP,svar,none,16,131072,8,512,1073741824,986926270,1037.5648426097728
1KGP,svar,none,16,131072,8,512,1073741824,975608093,1049.60178922993
1KGP,svar,none,32,131072,8,512,1073741824,5225037185,195.97946650785417
1KGP,svar,none,32,131072,8,512,1073741824,994547889,1029.613567456881
1KGP,svar,none,32,131072,8,512,1073741824,6265156485,163.44364302019505
1KGP,svar,none,1,131072,32,128,1073741824,663415784,1543.5267364696888
1KGP,svar,none,1,131072,32,128,1073741824,664383788,1541.27782540052
1KGP,svar,none,1,131072,32,128,1073741824,668020520,1532.8870436494974
1KGP,svar,none,4,131072,32,128,1073741824,425988188,2403.822521013188
1KGP,svar,none,4,131072,32,128,1073741824,424480667,2412.3595716080044
1KGP,svar,none,4,131072,32,128,1073741824,425193953,2408.3127071188615
1KGP,svar,none,16,131072,32,128,1073741824,738527984,1386.5419079366939
1KGP,svar,none,16,131072,32,128,1073741824,278282959,3679.7078904138
1KGP,svar,none,16,131072,32,128,1073741824,277766222,3686.5533635691672
1KGP,svar,none,32,131072,32,128,1073741824,1806707984,566.7767060689538
1KGP,svar,none,32,131072,32,128,1073741824,1785504003,573.5075352838624
1KGP,svar,none,32,131072,32,128,1073741824,1802893116,567.9759886553363
1KGP,svar,none,1,131072,128,32,1073741824,894306386,1145.021455767621
1KGP,svar,none,1,131072,128,32,1073741824,899395976,1138.541896255938
1KGP,svar,none,1,131072,128,32,1073741824,891689360,1148.3819880950468
1KGP,svar,none,4,131072,128,32,1073741824,281876353,3632.7985270903514
1KGP,svar,none,4,131072,128,32,1073741824,282963726,3618.838408990981
1KGP,svar,none,4,131072,128,32,1073741824,283527045,3611.6484055339415
1KGP,svar,none,16,131072,128,32,1073741824,231515099,4423.037652503174
1KGP,svar,none,16,131072,128,32,1073741824,172809471,5925.601149487924
1KGP,svar,none,16,131072,128,32,1073741824,172677318,5930.136116661251
1KGP,svar,none,32,131072,128,32,1073741824,495818381,2065.272364317611
1KGP,svar,none,32,131072,128,32,1073741824,498019671,2056.1436819229575
1KGP,svar,none,32,131072,128,32,1073741824,526922107,1943.3612414367728
1KGP,svar,none,1,131072,512,10,1342177280,996383840,1284.6454836120183
1KGP,svar,none,1,131072,512,10,1342177280,993176953,1288.79349861434
1KGP,svar,none,1,131072,512,10,1342177280,993289298,1288.6477309050802
