dataset,backend,dl_mode,threads,seqlen,batch_size,n_batches_measured,total_bytes,duration_ns,throughput (MiB/s)
TCGA_ATAC,svar,none,1,131072,2,2048,1073741824,2986308670,342.8982443398927
TCGA_ATAC,svar,none,1,131072,2,2048,1073741824,2982576725,343.32729529363576
TCGA_ATAC,svar,none,1,131072,2,2048,1073741824,2984725538,343.0801214258917
TCGA_ATAC,svar,none,4,131072,2,2048,1073741824,3041986348,336.6221550182973
TCGA_ATAC,svar,none,4,131072,2,2048,1073741824,3046015131,336.17692492020655
TCGA_ATAC,svar,none,4,131072,2,2048,1073741824,3031867797,337.7455972893135
TCGA_ATAC,svar,none,16,131072,2,2048,1073741824,4409676697,232.21657059272616
TCGA_ATAC,svar,none,16,131072,2,2048,1073741824,3650735340,280.4914365553543
TCGA_ATAC,svar,none,16,131072,2,2048,1073741824,3651019693,280.4695909921514
TCGA_ATAC,svar,none,32,131072,2,2048,1073741824,4859071265,210.73986038770312
TCGA_ATAC,svar,none,32,131072,2,2048,1073741824,5003735948,204.6470898228141
TCGA_ATAC,svar,none,32,131072,2,2048,1073741824,4324570777,236.78650502058832
TCGA_ATAC,svar,none,1,131072,8,512,1073741824,1086243595,942.6983088448038
TCGA_ATAC,svar,none,1,131072,8,512,1073741824,1085329474,943.492298450194
TCGA_ATAC,svar,none,1,131072,8,512,1073741824,1089041172,940.2766638468285
TCGA_ATAC,svar,none,4,131072,8,512,1073741824,825483361,1240.4853306304258
TCGA_ATAC,svar,none,4,131072,8,512,1073741824,798652014,1282.1604178662974
TCGA_ATAC,svar,none,4,131072,8,512,1073741824,799692216,1280.4926439349013
TCGA_ATAC,svar,none,16,131072,8,512,1073741824,913682548,1120.7393664697643
TCGA_ATAC,svar,none,16,131072,8,512,1073741824,921743322,1110.9383442866972
TCGA_ATAC,svar,none,16,131072,8,512,1073741824,972965945,1052.4520465102198
TCGA_ATAC,svar,none,32,131072,8,512,1073741824,3114537054,328.7808050589338
TCGA_ATAC,svar,none,32,131072,8,512,1073741824,5634837207,181.72663421898213
