dataset,backend,dl_mode,threads,seqlen,batch_size,n_batches_measured,total_bytes,duration_ns,throughput (MiB/s)
UKBB,svar,none,1,1048576,2,256,1073741824,890627653,1149.750961078681
UKBB,svar,none,1,1048576,2,256,1073741824,852410437,1201.2992281088177
UKBB,svar,none,1,1048576,2,256,1073741824,852489433,1201.1879096218663
UKBB,svar,none,4,1048576,2,256,1073741824,675491100,1515.9341107529026
UKBB,svar,none,4,1048576,2,256,1073741824,742327736,1379.4446177072386
UKBB,svar,none,4,1048576,2,256,1073741824,751171861,1363.2033535398898
UKBB,svar,none,16,1048576,2,256,1073741824,2307810036,443.710697165891
UKBB,svar,none,16,1048576,2,256,1073741824,860703308,1189.7247175445968
UKBB,svar,none,16,1048576,2,256,1073741824,726280855,1409.9228872004344
UKBB,svar,none,32,1048576,2,256,1073741824,2912294062,351.6128447883365
UKBB,svar,none,32,1048576,2,256,1073741824,1880567758,544.5164076879807
UKBB,svar,none,32,1048576,2,256,1073741824,1143362354,895.6040894801055
UKBB,svar,none,1,1048576,8,64,1073741824,524847130,1951.0442974128484
UKBB,svar,none,1,1048576,8,64,1073741824,511400069,2002.3462296404186
UKBB,svar,none,1,1048576,8,64,1073741824,511443742,2002.1752460899208
UKBB,svar,none,4,1048576,8,64,1073741824,199164369,5141.481908342752
UKBB,svar,none,4,1048576,8,64,1073741824,187289813,5467.462344041104
UKBB,svar,none,4,1048576,8,64,1073741824,195018821,5250.775257225045
UKBB,svar,none,16,1048576,8,64,1073741824,286564795,3573.3628759247977
UKBB,svar,none,16,1048576,8,64,1073741824,219484006,4665.488017382005
UKBB,svar,none,16,1048576,8,64,1073741824,230353219,4445.347038974958
UKBB,svar,none,32,1048576,8,64,1073741824,237362512,4314.07635254551
UKBB,svar,none,32,1048576,8,64,1073741824,228520642,4480.9956380220565
UKBB,svar,none,32,1048576,8,64,1073741824,236542603,4329.029895726649
UKBB,svar,none,1,1048576,32,16,1073741824,772866025,1324.938562281865
UKBB,svar,none,1,1048576,32,16,1073741824,768306803,1332.800901933443
UKBB,svar,none,1,1048576,32,16,1073741824,768231314,1332.9318674453305
UKBB,svar,none,4,1048576,32,16,1073741824,378824614,2703.0978509754386
UKBB,svar,none,4,1048576,32,16,1073741824,380845486,2688.7544624856077
UKBB,svar,none,4,1048576,32,16,1073741824,389216692,2630.9251916667545
UKBB,svar,none,16,1048576,32,16,1073741824,356116071,2875.466970992163
UKBB,svar,none,16,1048576,32,16,1073741824,243914447,4198.193311608147
UKBB,svar,none,16,1048576,32,16,1073741824,135595781,7551.857384117283
UKBB,svar,none,32,1048576,32,16,1073741824,173832260,5890.736276454095
UKBB,svar,none,32,1048576,32,16,1073741824,204744286,5001.360575210387
UKBB,svar,none,32,1048576,32,16,1073741824,167085489,6128.599234610972
UKBB,svar,none,1,1048576,128,10,2684354560,1789025771,1430.9464075350093
UKBB,svar,none,1,1048576,128,10,2684354560,1797510217,1424.1921830478252
UKBB,svar,none,1,1048576,128,10,2684354560,1780820486,1437.53961734243
UKBB,svar,none,4,1048576,128,10,2684354560,796669009,3213.3796734648677
UKBB,svar,none,4,1048576,128,10,2684354560,796273354,3214.9763484362434
UKBB,svar,none,4,1048576,128,10,2684354560,818761318,3126.674335633428
UKBB,svar,none,16,1048576,128,10,2684354560,288395126,8876.710350507103
UKBB,svar,none,16,1048576,128,10,2684354560,244067901,10488.884402705622
UKBB,svar,none,16,1048576,128,10,2684354560,243927301,10494.93020873461
UKBB,svar,none,32,1048576,128,10,2684354560,282683551,9056.062834020364
UKBB,svar,none,32,1048576,128,10,2684354560,277203959,9235.077338848541
UKBB,svar,none,32,1048576,128,10,2684354560,208660242,12268.748351207223
UKBB,svar,none,1,1048576,512,10,10737418240,7076835856,1446.9743552576756
UKBB,svar,none,1,1048576,512,10,10737418240,7076998256,1446.941150694555
UKBB,svar,none,1,1048576,512,10,10737418240,7076682127,1447.005788338414
UKBB,svar,none,4,1048576,512,10,10737418240,1827654145,5602.810590840752
UKBB,svar,none,4,1048576,512,10,10737418240,1901661833,5384.763906128204
UKBB,svar,none,4,1048576,512,10,10737418240,1914692787,5348.116454778288
UKBB,svar,none,16,1048576,512,10,10737418240,1404098985,7292.933126078714
UKBB,svar,none,16,1048576,512,10,10737418240,902762278,11342.963977943262
UKBB,svar,none,16,1048576,512,10,10737418240,897555650,11408.763345203164
UKBB,svar,none,32,1048576,512,10,10737418240,813314467,12590.455986564912
UKBB,svar,none,32,1048576,512,10,10737418240,873398890,11724.310755650262
UKBB,svar,none,32,1048576,512,10,10737418240,797155500,12845.674401042206
UKBB,svar,none,1,1048576,2048,10,42949672960,28206007043,1452.1729338561308
UKBB,svar,none,1,1048576,2048,10,42949672960,28224632213,1451.2146585610496
UKBB,svar,none,1,1048576,2048,10,42949672960,28203030133,1452.3262148372219
UKBB,svar,none,4,1048576,2048,10,42949672960,7630259915,5368.1002293877955
UKBB,svar,none,4,1048576,2048,10,42949672960,7630137250,5368.186529016893
UKBB,svar,none,4,1048576,2048,10,42949672960,7636827378,5363.483809781617
UKBB,svar,none,16,1048576,2048,10,42949672960,4419859027,9267.263899093585
UKBB,svar,none,16,1048576,2048,10,42949672960,3504104799,11689.148113289633
UKBB,svar,none,16,1048576,2048,10,42949672960,3525060783,11619.657793571727
UKBB,svar,none,32,1048576,2048,10,42949672960,3052066262,13420.416361851583
UKBB,svar,none,32,1048576,2048,10,42949672960,2907428216,14088.052036707619
UKBB,svar,none,32,1048576,2048,10,42949672960,2861156531,14315.889241363566
UKBB,svar,none,1,1048576,8192,5,85899345920,50270654786,1629.5789332510167
UKBB,svar,none,1,1048576,8192,5,85899345920,50294225875,1628.8152084018927
UKBB,svar,none,1,1048576,8192,5,85899345920,50269737861,1629.6086569322401
UKBB,svar,none,4,1048576,8192,10,171798691840,30014055334,5458.77583607976
UKBB,svar,none,4,1048576,8192,10,171798691840,30247355928,5416.6718039752095
UKBB,svar,none,4,1048576,8192,10,171798691840,30171852934,5430.22665390803
UKBB,svar,none,16,1048576,8192,10,171798691840,13844765125,11834.07580560165
UKBB,svar,none,16,1048576,8192,10,171798691840,13846789942,11832.345307921621
UKBB,svar,none,16,1048576,8192,10,171798691840,13767192004,11900.756519731618
UKBB,svar,none,32,1048576,8192,10,171798691840,12225173162,13401.8551581151
UKBB,svar,none,32,1048576,8192,10,171798691840,14306731240,11451.952039325512
UKBB,svar,none,32,1048576,8192,10,171798691840,14490811842,11306.474874315052
