dataset,backend,dl_mode,threads,seqlen,batch_size,elapsed_ns,rss_bytes
1KGP,svar,none,32,1048576,8192,0,10459041792
1KGP,svar,none,32,1048576,8192,523428217,13575872512
1KGP,svar,none,32,1048576,8192,1114897025,20532625408
1KGP,svar,none,32,1048576,8192,1658730569,24932524032
1KGP,svar,none,32,1048576,8192,2212587585,31759609856
1KGP,svar,none,32,1048576,8192,2781156764,38403387392
1KGP,svar,none,32,1048576,8192,3356014500,25142452224
1KGP,svar,none,32,1048576,8192,3906138869,32360275968
1KGP,svar,none,32,1048576,8192,4560789141,38949527552
1KGP,svar,none,32,1048576,8192,5102725751,25198497792
1KGP,svar,none,32,1048576,8192,5671217631,31970463744
1KGP,svar,none,32,1048576,8192,6278436899,37488070656
1KGP,svar,none,32,1048576,8192,6872828647,41850146816
1KGP,svar,none,32,1048576,8192,7407551403,30289481728
1KGP,svar,none,32,1048576,8192,8028771053,36845711360
1KGP,svar,none,32,1048576,8192,8614729109,41249730560
1KGP,svar,none,32,1048576,8192,9150449822,28943298560
1KGP,svar,none,32,1048576,8192,9782058204,36117782528
1KGP,svar,none,32,1048576,8192,10435204565,40674893824
1KGP,svar,none,32,1048576,8192,11070561859,29437026304
1KGP,svar,none,32,1048576,8192,11649968385,36430405632
1KGP,svar,none,32,1048576,8192,12225424243,40779898880
1KGP,svar,none,32,1048576,8192,12805086646,28367220736
1KGP,svar,none,32,1048576,8192,13384567317,35535818752
1KGP,svar,none,32,1048576,8192,13962641637,40311033856
1KGP,svar,none,32,1048576,8192,14497855516,27329241088
1KGP,svar,none,32,1048576,8192,15116448638,35052457984
1KGP,svar,none,32,1048576,8192,15699191857,40807043072
1KGP,svar,none,32,1048576,8192,16232157337,27777503232
1KGP,svar,none,32,1048576,8192,16842306619,35340472320
1KGP,svar,none,32,1048576,8192,17379498739,39220203520
1KGP,svar,none,32,1048576,8192,17898385355,42942648320
1KGP,svar,none,32,1048576,8192,18414986211,31525351424
1KGP,svar,none,32,1048576,8192,18988811394,37709918208
1KGP,svar,none,32,1048576,8192,19511181042,43059830784
1KGP,svar,none,32,1048576,8192,20033543303,31367979008
1KGP,svar,none,32,1048576,8192,20646247464,39037263872
1KGP,svar,none,32,1048576,8192,21203904004,27188641792
1KGP,svar,none,32,1048576,8192,21808930792,34620588032
1KGP,svar,none,32,1048576,8192,22386960644,39385317376
1KGP,svar,none,32,1048576,8192,22908784744,42998710272
1KGP,svar,none,32,1048576,8192,23425211282,30928302080
1KGP,svar,none,32,1048576,8192,24009850658,37801328640
1KGP,svar,none,32,1048576,8192,24532220426,41636876288
1KGP,svar,none,32,1048576,8192,25054147911,29082722304
1KGP,svar,none,32,1048576,8192,25640089617,36293787648
1KGP,svar,none,32,1048576,8192,26214446027,41383575552
1KGP,svar,none,32,1048576,8192,26736081593,27848572928
1KGP,svar,none,32,1048576,8192,27308590582,35079745536
1KGP,svar,none,32,1048576,8192,27922450312,42063261696
1KGP,svar,none,32,1048576,8192,28534605960,30514868224
1KGP,svar,none,32,1048576,8192,29144173971,38513790976
1KGP,svar,none,32,1048576,8192,29777009470,27115765760
1KGP,svar,none,32,1048576,8192,30344504741,34201436160
1KGP,svar,none,32,1048576,8192,30915870899,40480309248
1KGP,svar,none,32,1048576,8192,31437954812,44269801472
1KGP,svar,none,32,1048576,8192,31954860298,32766459904
1KGP,svar,none,32,1048576,8192,32528239599,39395893248
1KGP,svar,none,32,1048576,8192,33056784882,43258847232
1KGP,svar,none,32,1048576,8192,33578830055,30672769024
1KGP,svar,none,32,1048576,8192,34163923640,37963948032
1KGP,svar,none,32,1048576,8192,34743533815,43206828032
1KGP,svar,none,32,1048576,8192,35265492311,30641156096
1KGP,svar,none,32,1048576,8192,35853392806,37928169472
1KGP,svar,none,32,1048576,8192,36376076925,42246205440
1KGP,svar,none,32,1048576,8192,36897417299,28662812672
1KGP,svar,none,32,1048576,8192,37478754318,36051673088
1KGP,svar,none,32,1048576,8192,38050535792,42498301952
