dataset_norm,mode,seqlen,batch_size,rss_start_bytes,rss_end_bytes,rss_peak_bytes,duration_s,n_samples,growth_bytes
1kgp,haps,2048,4194304,10640470016.0,91051765760.0,123229343744.0,182.20886005100002,297,112588873728.0
1kgp,haps,16384,524288,10568450048.0,89590063104.0,124058664960.0,181.226719279,323,113490214912.0
1kgp,haps,131072,65536,10602852352.0,91773714432.0,125410955264.0,181.46082506300002,327,114808102912.0
1kgp,haps,1048576,8192,10459041792.0,24298713088.0,58134962176.0,180.37508061600002,325,47675920384.0
tcga-atac,haps,2048,4194304,5935312896.0,4316844032.0,5959712768.0,180.102799737,334,24399872.0
tcga-atac,haps,16384,524288,5899571200.0,4348260352.0,13962076160.0,180.287299358,331,8062504960.0
tcga-atac,haps,131072,65536,5973237760.0,4348452864.0,38694469632.0,180.47278144100002,318,32721231872.0
tcga-atac,haps,1048576,8192,5980049408.0,4339556352.0,38674206720.0,181.288391428,323,32694157312.0
tcga-atac,tracks,2048,4194304,5966618624.0,4341268480.0,7017197568.0,180.06325402000002,331,1050578944.0
tcga-atac,tracks,16384,524288,5901819904.0,4999274496.0,24216428544.0,181.05748307800002,331,18314608640.0
tcga-atac,tracks,131072,65536,5943914496.0,10922168320.0,79643717632.0,183.799298808,331,73699803136.0
tcga-atac,tracks,1048576,8192,5946232832.0,50743386112.0,119462875136.0,180.83784405600002,322,113516642304.0
