dataset_norm,mode,dl_mode,threads,seqlen,batch_size,v027,v061,ratio
1kgp,haps,none,1,2048,2,6.834885236831035,49.33894371589754,0.13852921692421155
1kgp,haps,none,4,2048,2,6.323642235807484,60.9020160344228,0.1038330526239601
1kgp,haps,none,16,2048,2,4.41963107131814,55.7630483121879,0.07925734343960102
1kgp,haps,none,32,2048,2,3.3753290560312794,47.80144559146936,0.0706114431115372
1kgp,haps,none,1,2048,8,26.868115719706356,179.64538134908335,0.1495619621163361
1kgp,haps,none,4,2048,8,25.662623298624865,259.91285525568645,0.09873549068351982
1kgp,haps,none,16,2048,8,17.747919669119923,182.08332089306873,0.09747141902987735
1kgp,haps,none,32,2048,8,18.921278350338525,186.47837036030433,0.10146634332861106
1kgp,haps,none,1,2048,32,102.07186418879785,585.2565884276148,0.17440532273721204
1kgp,haps,none,4,2048,32,106.29428539837606,724.2882336494317,0.14675688553270683
1kgp,haps,none,16,2048,32,75.54596924979421,723.8175467431078,0.1043715637866492
1kgp,haps,none,32,2048,32,45.679663602455996,602.3280611488126,0.07583851151701576
1kgp,haps,none,1,2048,128,325.8812122513517,1385.750056470632,0.23516593827990803
1kgp,haps,none,4,2048,128,373.2689516129428,2212.520347305966,0.16870757914947393
1kgp,haps,none,16,2048,128,294.83312540260755,2395.3246939268165,0.12308691433363375
1kgp,haps,none,32,2048,128,97.41711588625755,2025.3878103467605,0.04809800641072243
1kgp,haps,none,1,2048,512,769.9047487754227,1602.0231333215609,0.4805827910731462
1kgp,haps,none,4,2048,512,1153.8638072169695,3818.988340987071,0.30213860430868383
1kgp,haps,none,16,2048,512,911.9271839822499,5328.819601415254,0.1711311795467904
1kgp,haps,none,32,2048,512,832.1682463197466,5436.588350608002,0.15306809945003116
1kgp,haps,none,1,2048,2048,1259.8105284334315,1709.9142089139777,0.7367682670077221
1kgp,haps,none,4,2048,2048,2564.042809629334,5062.532931246579,0.5064742974418487
1kgp,haps,none,16,2048,2048,2454.939613364224,9090.64899304051,0.2700510838383092
1kgp,haps,none,32,2048,2048,2648.155781901614,9239.681843944583,0.28660681467480803
1kgp,haps,none,1,2048,8192,976.9078223665305,2511.925981971512,0.3889078855738392
1kgp,haps,none,4,2048,8192,2484.274735011342,4664.113132158302,0.5326360370383538
1kgp,haps,none,16,2048,8192,3606.933441898273,8266.60021809257,0.43632610102566866
1kgp,haps,none,32,2048,8192,3874.688370430864,8151.408399775077,0.4753397425821259
1kgp,haps,none,1,2048,32768,1074.6636634787592,1811.7910187151142,0.5931499010525447
1kgp,haps,none,4,2048,32768,2857.581317276227,4969.850629445817,0.574983340614982
1kgp,haps,none,16,2048,32768,4854.198442309716,11165.146414176232,0.43476352769959264
1kgp,haps,none,32,2048,32768,5790.358513847308,11551.05508395178,0.5012839495408539
1kgp,haps,none,1,2048,131072,1034.860994877952,1965.322965981273,0.5265602716657068
1kgp,haps,none,4,2048,131072,2858.8308308341752,3590.1189694658474,0.796305318890177
1kgp,haps,none,16,2048,131072,4846.277204004428,11084.469740161203,0.43721326482992845
1kgp,haps,none,32,2048,131072,6135.001427759819,14310.515895136887,0.4287058183447226
1kgp,haps,none,1,2048,524288,1051.6009864687853,1285.9076601610227,0.8177888809971804
1kgp,haps,none,4,2048,524288,2896.3649168716624,1127.7614069557007,2.5682426256189785
1kgp,haps,none,16,2048,524288,5251.1494624510215,10241.053990119894,0.512754787497175
1kgp,haps,none,32,2048,524288,6769.083454611313,14619.811618120424,0.4630075702358175
1kgp,haps,none,1,2048,2097152,1141.1684888680813,2116.1276205673767,0.5392720541883532
1kgp,haps,none,4,2048,2097152,2936.6364219666184,4964.601405086498,0.591515044683724
1kgp,haps,none,16,2048,2097152,5341.4890023861935,11881.561643779709,0.4495611909047827
1kgp,haps,none,32,2048,2097152,5697.3513863344715,15239.319571133505,0.3738586463615121
1kgp,haps,none,1,2048,4194304,1168.386298328201,2052.4913178263255,0.569252736019157
1kgp,haps,none,4,2048,4194304,2966.490191464618,4868.388574775989,0.6093371853747555
1kgp,haps,none,16,2048,4194304,5259.160515892429,11240.871704187724,0.4678605587085527
1kgp,haps,none,32,2048,4194304,5434.095910591725,15043.825262167366,0.36121769668898923
1kgp,haps,none,1,16384,2,50.84151232757426,365.52599781898584,0.13909137142346784
1kgp,haps,none,4,16384,2,48.568381964776805,397.1888002959855,0.12228034105841755
1kgp,haps,none,16,16384,2,34.89357763051074,305.20802491572937,0.11432719582044137
1kgp,haps,none,32,16384,2,12.086880830727631,346.7604855588787,0.034856569113539675
1kgp,haps,none,1,16384,8,181.88690842597674,962.6020202749277,0.18895338322064628
1kgp,haps,none,4,16384,8,184.3611448796274,1111.7097168950402,0.16583568721027334
1kgp,haps,none,16,16384,8,138.87916708347936,1188.6898435883702,0.11683381315367883
1kgp,haps,none,32,16384,8,35.339064716097184,1058.343810565079,0.033390911689868234
1kgp,haps,none,1,16384,32,595.8615861506885,1709.4369221076124,0.3485718475157505
1kgp,haps,none,4,16384,32,763.0959677693838,3435.8977742694324,0.2220950732248253
1kgp,haps,none,16,16384,32,601.1120958861329,4356.503500428022,0.13798040006786963
1kgp,haps,none,32,16384,32,598.2906602130424,3806.5187126658766,0.1571752841309514
1kgp,haps,none,1,16384,128,1226.4402754372627,1876.574150652686,0.6535527919377435
1kgp,haps,none,4,16384,128,2262.753664657171,5987.801760913399,0.3778938841007995
1kgp,haps,none,16,16384,128,1860.9260301947934,10531.134844565715,0.1767070745613964
1kgp,haps,none,32,16384,128,299.0541672502555,11066.960221202777,0.027022250127664574
1kgp,haps,none,1,16384,512,1650.4309710437624,2058.2129214875645,0.8018757213179483
1kgp,haps,none,4,16384,512,4361.504919724309,6837.769101158505,0.6378549575453419
1kgp,haps,none,16,16384,512,5279.925239558561,17887.910086741114,0.2951672506153835
1kgp,haps,none,32,16384,512,1141.8912417797058,12067.287352622197,0.09462700343599384
1kgp,haps,none,1,16384,2048,1165.0033759499684,2922.263214900064,0.39866476435450365
1kgp,haps,none,4,16384,2048,3674.192514476453,6229.0941199724275,0.5898437948940024
1kgp,haps,none,16,16384,2048,6301.754000915305,14777.751620853107,0.4264352360627584
1kgp,haps,none,32,16384,2048,3359.401755110917,19104.984196604826,0.17583902297641896
1kgp,haps,none,1,16384,8192,1286.6213846636429,1669.7240549024586,0.770559291450589
1kgp,haps,none,4,16384,8192,3110.9096262440526,2142.849322836411,1.4517631235621624
1kgp,haps,none,16,16384,8192,7517.83458688869,18780.46648429498,0.4003007376401125
1kgp,haps,none,32,16384,8192,7225.0402011397,28859.879707098968,0.25034893681010323
1kgp,haps,none,1,16384,32768,1307.1453819412109,1625.3750517348303,0.8042115452344616
1kgp,haps,none,4,16384,32768,4445.716164322108,685.0635745700986,6.489494302936703
1kgp,haps,none,16,16384,32768,5363.673348316426,21523.42881543481,0.24920162090856296
1kgp,haps,none,32,16384,32768,11681.646476963726,33996.97754995375,0.3436083828275381
1kgp,haps,none,1,16384,131072,1314.7377182684472,1402.8126889856453,0.9372154447926445
1kgp,haps,none,4,16384,131072,4617.750674064064,6298.8993660745155,0.7331043735886598
1kgp,haps,none,16,16384,131072,9868.676507382084,23297.66896522739,0.4235907258409174
1kgp,haps,none,32,16384,131072,12686.626780442744,37013.94204764984,0.3427526515308916
1kgp,haps,none,1,16384,524288,1473.7746003168932,2601.8986928529293,0.5664227451918695
1kgp,haps,none,4,16384,524288,4598.882770582544,6563.328384580353,0.7006936878835736
1kgp,haps,none,16,16384,524288,9593.69799141675,21833.691239228847,0.4393988119690747
1kgp,haps,none,32,16384,524288,10088.860797941521,37136.622567729384,0.27166877600518363
1kgp,haps,none,1,131072,2,333.25577716366115,1278.2966057955302,0.2607030134107757
1kgp,haps,none,4,131072,2,331.92280748214483,2122.3369938099277,0.15639495916541102
1kgp,haps,none,16,131072,2,273.315363750321,2003.7094481948739,0.13640468881181783
1kgp,haps,none,32,131072,2,81.54669562808604,1752.6927932353844,0.046526519617596455
1kgp,haps,none,1,131072,8,903.2577978942543,1780.8848329522532,0.5071960753334527
1kgp,haps,none,4,131072,8,1350.782479335518,4466.421460237224,0.30243059043151166
