dataset,backend,mode,dl_mode,threads,seqlen,batch_size,throughput (MiB/s)
tcga-atac,gvl027,haps,buffered,1,131072,16,3036.016086588901
tcga-atac,gvl027,haps,buffered,1,131072,16,3028.2153141564677
tcga-atac,gvl027,haps,buffered,1,131072,16,3013.8518899464875
tcga-atac,gvl027,haps,buffered,1,131072,16,3088.220356576036
tcga-atac,gvl027,haps,buffered,1,131072,16,3060.6238995459644
tcga-atac,gvl027,haps,buffered,16,131072,16,22833.404796058112
tcga-atac,gvl027,haps,buffered,16,131072,16,26678.11441782608
tcga-atac,gvl027,haps,buffered,16,131072,16,26185.400238432972
tcga-atac,gvl027,haps,buffered,16,131072,16,23281.23552115988
tcga-atac,gvl027,haps,buffered,16,131072,16,25511.017425286882
tcga-atac,gvl027,haps,buffered,64,131072,16,16871.837561959783
tcga-atac,gvl027,haps,buffered,64,131072,16,12024.820084918802
tcga-atac,gvl027,haps,buffered,64,131072,16,12256.81746887234
tcga-atac,gvl027,haps,buffered,64,131072,16,14227.793315654906
tcga-atac,gvl027,haps,buffered,64,131072,16,12320.299701211365
tcga-atac,gvl027,haps,buffered,1,131072,256,2870.827881633902
tcga-atac,gvl027,haps,buffered,1,131072,256,2951.4134124112825
tcga-atac,gvl027,haps,buffered,1,131072,256,2938.1235353018446
tcga-atac,gvl027,haps,buffered,1,131072,256,2938.632202791573
tcga-atac,gvl027,haps,buffered,1,131072,256,2966.7619294415663
tcga-atac,gvl027,haps,buffered,16,131072,256,27403.792768502986
tcga-atac,gvl027,haps,buffered,16,131072,256,26159.7304797847
tcga-atac,gvl027,haps,buffered,16,131072,256,25723.747830289376
tcga-atac,gvl027,haps,buffered,16,131072,256,25811.352489936246
tcga-atac,gvl027,haps,buffered,16,131072,256,25701.399501227483
tcga-atac,gvl027,haps,buffered,64,131072,256,13856.841004394319
tcga-atac,gvl027,haps,buffered,64,131072,256,14113.703532651285
tcga-atac,gvl027,haps,buffered,64,131072,256,13536.75713228053
tcga-atac,gvl027,haps,buffered,64,131072,256,11312.659987927838
tcga-atac,gvl027,haps,buffered,64,131072,256,11675.219608600317
tcga-atac,gvl027,haps,buffered,1,131072,4096,3320.785013596262
tcga-atac,gvl027,haps,buffered,1,131072,4096,3262.2657457391574
tcga-atac,gvl027,haps,buffered,1,131072,4096,3300.534665378185
tcga-atac,gvl027,haps,buffered,1,131072,4096,3282.4885899482633
tcga-atac,gvl027,haps,buffered,1,131072,4096,3250.5364510786194
tcga-atac,gvl027,haps,buffered,16,131072,4096,30085.79596331773
tcga-atac,gvl027,haps,buffered,16,131072,4096,28053.630771435746
tcga-atac,gvl027,haps,buffered,16,131072,4096,27558.223804017678
tcga-atac,gvl027,haps,buffered,16,131072,4096,26350.901722864935
tcga-atac,gvl027,haps,buffered,16,131072,4096,28750.440828287417
tcga-atac,gvl027,haps,buffered,64,131072,4096,15589.232015519245
tcga-atac,gvl027,haps,buffered,64,131072,4096,14698.16597593073
tcga-atac,gvl027,haps,buffered,64,131072,4096,13769.579504575224
tcga-atac,gvl027,haps,buffered,64,131072,4096,12648.489387561654
tcga-atac,gvl027,haps,buffered,64,131072,4096,13378.856416924647
