dataset,backend,mode,dl_mode,threads,seqlen,batch_size,throughput (MiB/s)
tcga-atac,gvl027,haps,none,1,16384,128,2370.2884013285584
tcga-atac,gvl027,haps,none,1,16384,128,2409.7468822378005
tcga-atac,gvl027,haps,none,1,16384,128,2412.602070419543
tcga-atac,gvl027,haps,none,1,16384,128,2491.2347138619593
tcga-atac,gvl027,haps,none,1,16384,128,2497.8705703345117
tcga-atac,gvl027,haps,none,16,16384,128,5591.91190925938
tcga-atac,gvl027,haps,none,16,16384,128,5602.996089457075
tcga-atac,gvl027,haps,none,16,16384,128,5595.491233157808
tcga-atac,gvl027,haps,none,16,16384,128,5589.940641463301
tcga-atac,gvl027,haps,none,16,16384,128,5597.249202590436
tcga-atac,gvl027,haps,none,64,16384,128,5249.960111731819
tcga-atac,gvl027,haps,none,64,16384,128,5265.6346511704205
tcga-atac,gvl027,haps,none,64,16384,128,5264.615708844467
tcga-atac,gvl027,haps,none,64,16384,128,5261.814732754935
tcga-atac,gvl027,haps,none,64,16384,128,5254.568277532639
tcga-atac,gvl027,haps,none,1,16384,2048,2987.4670794227836
tcga-atac,gvl027,haps,none,1,16384,2048,2959.9320181224107
tcga-atac,gvl027,haps,none,1,16384,2048,2926.1863086416647
tcga-atac,gvl027,haps,none,1,16384,2048,2936.5221194332657
tcga-atac,gvl027,haps,none,1,16384,2048,2917.1475844679903
tcga-atac,gvl027,haps,none,16,16384,2048,16271.650792219752
tcga-atac,gvl027,haps,none,16,16384,2048,18373.14084726782
tcga-atac,gvl027,haps,none,16,16384,2048,17163.19987766255
tcga-atac,gvl027,haps,none,16,16384,2048,18448.993956532457
tcga-atac,gvl027,haps,none,16,16384,2048,17687.27276052035
tcga-atac,gvl027,haps,none,64,16384,2048,11918.502824348225
tcga-atac,gvl027,haps,none,64,16384,2048,10311.5503647277
tcga-atac,gvl027,haps,none,64,16384,2048,10895.871319012582
tcga-atac,gvl027,haps,none,64,16384,2048,11374.02519709897
tcga-atac,gvl027,haps,none,64,16384,2048,9657.911559559981
tcga-atac,gvl027,haps,none,1,16384,32768,3205.8446283067997
tcga-atac,gvl027,haps,none,1,16384,32768,3135.14822956601
tcga-atac,gvl027,haps,none,1,16384,32768,3185.9320983244393
tcga-atac,gvl027,haps,none,1,16384,32768,3179.4457298290918
tcga-atac,gvl027,haps,none,1,16384,32768,3193.973563958696
tcga-atac,gvl027,haps,none,16,16384,32768,22627.337352507446
tcga-atac,gvl027,haps,none,16,16384,32768,23657.402532173284
tcga-atac,gvl027,haps,none,16,16384,32768,23429.759186602096
tcga-atac,gvl027,haps,none,16,16384,32768,23300.961439793613
tcga-atac,gvl027,haps,none,16,16384,32768,23303.89354775419
tcga-atac,gvl027,haps,none,64,16384,32768,20494.36457638175
tcga-atac,gvl027,haps,none,64,16384,32768,19873.705889496694
tcga-atac,gvl027,haps,none,64,16384,32768,19717.6326712811
tcga-atac,gvl027,haps,none,64,16384,32768,20150.772064064877
tcga-atac,gvl027,haps,none,64,16384,32768,19996.573134857666
