dataset,backend,mode,dl_mode,threads,seqlen,batch_size,throughput (MiB/s)
tcga-atac,gvl027,tracks,buffered,1,1048576,2,11067.982571367475
tcga-atac,gvl027,tracks,buffered,1,1048576,2,11805.95329213539
tcga-atac,gvl027,tracks,buffered,1,1048576,2,11876.14295358604
tcga-atac,gvl027,tracks,buffered,1,1048576,2,11763.764337068349
tcga-atac,gvl027,tracks,buffered,1,1048576,2,11916.65822413561
tcga-atac,gvl027,tracks,buffered,16,1048576,2,45635.784215364314
tcga-atac,gvl027,tracks,buffered,16,1048576,2,52356.88173226941
tcga-atac,gvl027,tracks,buffered,16,1048576,2,51810.51302119785
tcga-atac,gvl027,tracks,buffered,16,1048576,2,54352.72018405286
tcga-atac,gvl027,tracks,buffered,16,1048576,2,53191.94164140445
tcga-atac,gvl027,tracks,buffered,64,1048576,2,42865.1350803988
tcga-atac,gvl027,tracks,buffered,64,1048576,2,41829.01731857552
tcga-atac,gvl027,tracks,buffered,64,1048576,2,39973.08103187001
tcga-atac,gvl027,tracks,buffered,64,1048576,2,43066.0137740755
tcga-atac,gvl027,tracks,buffered,64,1048576,2,41554.89452682734
tcga-atac,gvl027,tracks,buffered,1,1048576,32,10327.005477932877
tcga-atac,gvl027,tracks,buffered,1,1048576,32,10940.515486578728
tcga-atac,gvl027,tracks,buffered,1,1048576,32,10928.490424158408
tcga-atac,gvl027,tracks,buffered,1,1048576,32,10944.22624291305
tcga-atac,gvl027,tracks,buffered,1,1048576,32,10955.582444278803
tcga-atac,gvl027,tracks,buffered,16,1048576,32,54699.63161118954
tcga-atac,gvl027,tracks,buffered,16,1048576,32,53171.9970128514
tcga-atac,gvl027,tracks,buffered,16,1048576,32,53582.96573126381
tcga-atac,gvl027,tracks,buffered,16,1048576,32,53438.55333404986
tcga-atac,gvl027,tracks,buffered,16,1048576,32,53145.36850655005
tcga-atac,gvl027,tracks,buffered,64,1048576,32,50710.93783075873
tcga-atac,gvl027,tracks,buffered,64,1048576,32,50140.36094567078
tcga-atac,gvl027,tracks,buffered,64,1048576,32,49107.43110682805
tcga-atac,gvl027,tracks,buffered,64,1048576,32,47122.563798690855
tcga-atac,gvl027,tracks,buffered,64,1048576,32,45733.48095753258
tcga-atac,gvl027,tracks,buffered,1,1048576,512,12146.894872996192
tcga-atac,gvl027,tracks,buffered,1,1048576,512,12146.529526322505
tcga-atac,gvl027,tracks,buffered,1,1048576,512,12181.868621113994
tcga-atac,gvl027,tracks,buffered,1,1048576,512,12134.294740308223
tcga-atac,gvl027,tracks,buffered,1,1048576,512,12139.815947692046
tcga-atac,gvl027,tracks,buffered,16,1048576,512,61329.42643282708
tcga-atac,gvl027,tracks,buffered,16,1048576,512,58337.654882342445
tcga-atac,gvl027,tracks,buffered,16,1048576,512,57964.453634292666
tcga-atac,gvl027,tracks,buffered,16,1048576,512,59215.989217700975
tcga-atac,gvl027,tracks,buffered,16,1048576,512,58781.009519670384
tcga-atac,gvl027,tracks,buffered,64,1048576,512,56796.2047754039
tcga-atac,gvl027,tracks,buffered,64,1048576,512,54619.20173479386
tcga-atac,gvl027,tracks,buffered,64,1048576,512,56357.96230518588
tcga-atac,gvl027,tracks,buffered,64,1048576,512,52525.5850271662
tcga-atac,gvl027,tracks,buffered,64,1048576,512,50334.645967098746
