dataset,backend,mode,dl_mode,threads,seqlen,batch_size,throughput (MiB/s)
tcga-atac,gvl027,tracks,none,1,2048,1024,20354.71362245376
tcga-atac,gvl027,tracks,none,1,2048,1024,20407.578958379967
tcga-atac,gvl027,tracks,none,1,2048,1024,20297.68766158444
tcga-atac,gvl027,tracks,none,1,2048,1024,19826.21180457666
tcga-atac,gvl027,tracks,none,1,2048,1024,20008.635532731212
tcga-atac,gvl027,tracks,none,16,2048,1024,17210.31858272379
tcga-atac,gvl027,tracks,none,16,2048,1024,20202.688497202213
tcga-atac,gvl027,tracks,none,16,2048,1024,20252.559695704877
tcga-atac,gvl027,tracks,none,16,2048,1024,20599.989432964016
tcga-atac,gvl027,tracks,none,16,2048,1024,24670.410711330434
tcga-atac,gvl027,tracks,none,64,2048,1024,12467.483069962467
tcga-atac,gvl027,tracks,none,64,2048,1024,16008.596329128135
tcga-atac,gvl027,tracks,none,64,2048,1024,16234.008749723493
tcga-atac,gvl027,tracks,none,64,2048,1024,16440.249896065798
tcga-atac,gvl027,tracks,none,64,2048,1024,15328.998212127093
tcga-atac,gvl027,tracks,none,1,2048,16384,7472.878569689455
tcga-atac,gvl027,tracks,none,1,2048,16384,7530.655797385945
tcga-atac,gvl027,tracks,none,1,2048,16384,7433.360022342894
tcga-atac,gvl027,tracks,none,1,2048,16384,7601.877295535181
tcga-atac,gvl027,tracks,none,1,2048,16384,7471.795598630306
tcga-atac,gvl027,tracks,none,16,2048,16384,16237.828285840293
tcga-atac,gvl027,tracks,none,16,2048,16384,15076.172950666185
tcga-atac,gvl027,tracks,none,16,2048,16384,15743.173779257937
tcga-atac,gvl027,tracks,none,16,2048,16384,16085.723463627619
tcga-atac,gvl027,tracks,none,16,2048,16384,14722.201975869357
tcga-atac,gvl027,tracks,none,64,2048,16384,12252.332916573288
tcga-atac,gvl027,tracks,none,64,2048,16384,11282.896725939803
tcga-atac,gvl027,tracks,none,64,2048,16384,11534.131774370158
tcga-atac,gvl027,tracks,none,64,2048,16384,11846.67347017886
tcga-atac,gvl027,tracks,none,64,2048,16384,11435.172481381322
tcga-atac,gvl027,tracks,none,1,2048,262144,8341.165977617193
tcga-atac,gvl027,tracks,none,1,2048,262144,8221.117422705796
tcga-atac,gvl027,tracks,none,1,2048,262144,8352.464489953143
tcga-atac,gvl027,tracks,none,1,2048,262144,8201.145411513582
tcga-atac,gvl027,tracks,none,1,2048,262144,8256.78587555036
tcga-atac,gvl027,tracks,none,16,2048,262144,18200.977790412773
tcga-atac,gvl027,tracks,none,16,2048,262144,18481.22626574735
tcga-atac,gvl027,tracks,none,16,2048,262144,17893.489616275536
tcga-atac,gvl027,tracks,none,16,2048,262144,18092.39649405583
tcga-atac,gvl027,tracks,none,16,2048,262144,16765.25618843168
tcga-atac,gvl027,tracks,none,64,2048,262144,12491.406915361587
tcga-atac,gvl027,tracks,none,64,2048,262144,11928.410851692188
tcga-atac,gvl027,tracks,none,64,2048,262144,11501.676253745965
tcga-atac,gvl027,tracks,none,64,2048,262144,11903.15148387434
tcga-atac,gvl027,tracks,none,64,2048,262144,12208.233338460605
