dataset,backend,dl_mode,threads,seqlen,batch_size,n_batches_measured,total_bytes,duration_ns,throughput (MiB/s)
TCGA_ATAC,svar,none,1,16384,2,16384,2147483648,5637157274,363.30368312516237
TCGA_ATAC,svar,none,1,16384,2,16384,2147483648,5638094097,363.2433167601318
TCGA_ATAC,svar,none,1,16384,2,16384,2147483648,5649128162,362.5338178333933
TCGA_ATAC,svar,none,4,16384,2,16384,2147483648,6027299788,339.78731306470735
TCGA_ATAC,svar,none,4,16384,2,16384,2147483648,6017188659,340.3582829228356
TCGA_ATAC,svar,none,4,16384,2,16384,2147483648,5897887380,347.2429817742637
TCGA_ATAC,svar,none,16,16384,2,16384,2147483648,8544744507,239.67948934251262
TCGA_ATAC,svar,none,16,16384,2,16384,2147483648,8321280652,246.11596287258595
TCGA_ATAC,svar,none,16,16384,2,16384,2147483648,8334791699,245.71699857186798
TCGA_ATAC,svar,none,32,16384,2,8273,1084358656,45005339275,22.977829223352746
TCGA_ATAC,svar,none,32,16384,2,7559,990773248,45001081565,20.996717570781346
TCGA_ATAC,svar,none,32,16384,2,3439,450756608,45000205085,9.55273424172218
TCGA_ATAC,svar,none,1,16384,8,4096,2147483648,1606072920,1275.160034452234
TCGA_ATAC,svar,none,1,16384,8,4096,2147483648,1605430458,1275.6703286614736
TCGA_ATAC,svar,none,1,16384,8,4096,2147483648,1608225894,1273.45294441578
TCGA_ATAC,svar,none,4,16384,8,4096,2147483648,1527463695,1340.7847313844013
TCGA_ATAC,svar,none,4,16384,8,4096,2147483648,1526506703,1341.6252912451182
TCGA_ATAC,svar,none,4,16384,8,4096,2147483648,1532779233,1336.1350127321302
TCGA_ATAC,svar,none,16,16384,8,4096,2147483648,2488877715,822.860837098218
TCGA_ATAC,svar,none,16,16384,8,4096,2147483648,2149245390,952.8925871047234
TCGA_ATAC,svar,none,16,16384,8,4096,2147483648,2133637190,959.8632839728483
TCGA_ATAC,svar,none,32,16384,8,4096,2147483648,18822177171,108.80781651314103
TCGA_ATAC,svar,none,32,16384,8,4096,2147483648,2740534026,747.2996067810909
TCGA_ATAC,svar,none,32,16384,8,4096,2147483648,37553093223,54.536120043119894
TCGA_ATAC,svar,none,1,16384,32,1024,2147483648,651808978,3142.0248402899415
TCGA_ATAC,svar,none,1,16384,32,1024,2147483648,649813209,3151.6749300182355
TCGA_ATAC,svar,none,1,16384,32,1024,2147483648,657059314,3116.9179956255825
TCGA_ATAC,svar,none,4,16384,32,1024,2147483648,496720452,4123.043437720177
TCGA_ATAC,svar,none,4,16384,32,1024,2147483648,497257358,4118.591644852041
TCGA_ATAC,svar,none,4,16384,32,1024,2147483648,502358784,4076.7675717600273
TCGA_ATAC,svar,none,16,16384,32,1024,2147483648,1071556558,1911.2383613446189
TCGA_ATAC,svar,none,16,16384,32,1024,2147483648,464983805,4404.454473419779
TCGA_ATAC,svar,none,16,16384,32,1024,2147483648,1695594990,1207.8356046569825
TCGA_ATAC,svar,none,32,16384,32,1024,2147483648,5045692890,405.8907358509487
TCGA_ATAC,svar,none,32,16384,32,1024,2147483648,9337296090,219.3354457500126
TCGA_ATAC,svar,none,32,16384,32,1024,2147483648,591775093,3460.7742438392893
TCGA_ATAC,svar,none,1,16384,128,256,2147483648,376768537,5435.698045030761
TCGA_ATAC,svar,none,1,16384,128,256,2147483648,367193160,5577.445941531155
TCGA_ATAC,svar,none,1,16384,128,256,2147483648,367036953,5579.819642846697
TCGA_ATAC,svar,none,4,16384,128,256,2147483648,199556488,10262.7582822564
TCGA_ATAC,svar,none,4,16384,128,256,2147483648,198624051,10310.936614619748
