dataset,backend,threads,seqlen,batch_size,avg_rss_bytes,peak_rss_bytes
1KGP,gvl061,64,2048,2,4985323804,6531186688
1KGP,gvl061,64,2048,2,4987029903,4987031552
1KGP,gvl061,64,2048,2,4987043799,4987047936
1KGP,gvl061,64,2048,4,4987049898,4987052032
1KGP,gvl061,64,2048,4,4987051616,4987052032
1KGP,gvl061,64,2048,4,4987393093,4987543552
1KGP,gvl061,64,2048,8,4987546748,4987547648
1KGP,gvl061,64,2048,8,4987547617,4987547648
1KGP,gvl061,64,2048,8,4987546396,4987547648
1KGP,gvl061,64,2048,16,4987554776,4987580416
1KGP,gvl061,64,2048,16,4987595580,4987596800
1KGP,gvl061,64,2048,16,4987592704,4987592704
1KGP,gvl061,64,2048,32,4987649864,4987723776
1KGP,gvl061,64,2048,32,4987728572,4987731968
1KGP,gvl061,64,2048,32,4987733581,4987736064
1KGP,gvl061,64,2048,64,4987803706,4987805696
1KGP,gvl061,64,2048,64,4987819721,4987858944
1KGP,gvl061,64,2048,64,4987858944,4987858944
1KGP,gvl061,64,2048,128,4987975787,4988112896
1KGP,gvl061,64,2048,128,4988179294,4988211200
1KGP,gvl061,64,2048,128,4988393364,4988407808
1KGP,gvl061,64,2048,256,4988776075,4988813312
1KGP,gvl061,64,2048,256,4988833792,4988895232
1KGP,gvl061,64,2048,256,4988895232,4988895232
1KGP,gvl061,64,2048,512,4987864405,4988895232
1KGP,gvl061,64,2048,512,4988177920,4988588032
1KGP,gvl061,64,2048,512,4988588032,4988588032
1KGP,gvl061,64,2048,1024,4988912435,4988993536
1KGP,gvl061,64,2048,1024,4988993536,4988993536
1KGP,gvl061,64,2048,1024,4988993536,4988993536
1KGP,gvl061,64,2048,2048,4995920896,4998230016
1KGP,gvl061,64,2048,2048,4998230016,4998230016
1KGP,gvl061,64,2048,2048,4998380544,4998430720
1KGP,gvl061,64,2048,4096,5009429845,5015052288
1KGP,gvl061,64,2048,4096,5015052288,5015052288
1KGP,gvl061,64,2048,4096,5015052288,5015052288
1KGP,gvl061,64,2048,8192,5025100800,5051248640
1KGP,gvl061,64,2048,8192,5026893824,5051817984
1KGP,gvl061,64,2048,8192,5026655232,5050204160
1KGP,gvl061,64,2048,16384,5045710848,5055479808
1KGP,gvl061,64,2048,16384,5056273408,5056765952
1KGP,gvl061,64,2048,16384,5056907264,5057044480
1KGP,gvl061,64,2048,32768,5177052160,5261934592
1KGP,gvl061,64,2048,32768,5161787392,5262188544
1KGP,gvl061,64,2048,32768,5128984576,5130526720
1KGP,gvl061,64,2048,65536,5294441813,5489594368
1KGP,gvl061,64,2048,65536,5276664490,5291806720
1KGP,gvl061,64,2048,65536,5329669324,5534605312
1KGP,gvl061,64,2048,131072,5711500800,6100692992
1KGP,gvl061,64,2048,131072,5734216590,6118256640
1KGP,gvl061,64,2048,131072,5757727232,6115893248
1KGP,gvl061,64,2048,262144,6058699539,6163722240
1KGP,gvl061,64,2048,262144,6178808753,6188371968
1KGP,gvl061,64,2048,262144,6260415341,7257858048
1KGP,gvl061,64,2048,524288,7460725804,9435373568
1KGP,gvl061,64,2048,524288,7134775563,8880832512
1KGP,gvl061,64,2048,524288,7132928445,8887185408
