dataset,backend,threads,seqlen,batch_size,avg_rss_bytes,peak_rss_bytes
TCGA_ATAC,gvl061,64,1048576,2,4154907306,4202586112
TCGA_ATAC,gvl061,64,1048576,2,4085566805,4089036800
TCGA_ATAC,gvl061,64,1048576,2,4089029973,4089356288
TCGA_ATAC,gvl061,64,1048576,4,4100081664,4103913472
TCGA_ATAC,gvl061,64,1048576,4,4103984128,4104085504
TCGA_ATAC,gvl061,64,1048576,4,4104483840,4104695808
TCGA_ATAC,gvl061,64,1048576,8,4115864234,4121460736
TCGA_ATAC,gvl061,64,1048576,8,4121867605,4122664960
TCGA_ATAC,gvl061,64,1048576,8,4122715477,4122750976
TCGA_ATAC,gvl061,64,1048576,16,4134446421,4156674048
TCGA_ATAC,gvl061,64,1048576,16,4127917397,4135911424
TCGA_ATAC,gvl061,64,1048576,16,4124405760,4124868608
TCGA_ATAC,gvl061,64,1048576,32,4166832128,4217647104
TCGA_ATAC,gvl061,64,1048576,32,4159101610,4159754240
TCGA_ATAC,gvl061,64,1048576,32,4181372928,4225208320
TCGA_ATAC,gvl061,64,1048576,64,4248559616,4360028160
TCGA_ATAC,gvl061,64,1048576,64,4247841450,4289884160
TCGA_ATAC,gvl061,64,1048576,64,4255133696,4311228416
TCGA_ATAC,gvl061,64,1048576,128,4405689002,4628992000
TCGA_ATAC,gvl061,64,1048576,128,4361401685,4361646080
TCGA_ATAC,gvl061,64,1048576,128,4451162794,4629913600
TCGA_ATAC,gvl061,64,1048576,256,4650650282,4959412224
TCGA_ATAC,gvl061,64,1048576,256,4709011456,4865740800
TCGA_ATAC,gvl061,64,1048576,256,4805373952,5106995200
TCGA_ATAC,gvl061,64,1048576,512,5357290291,5740187648
TCGA_ATAC,gvl061,64,1048576,512,5644484608,6244233216
TCGA_ATAC,gvl061,64,1048576,512,5610715545,6162722816
TCGA_ATAC,gvl061,64,1048576,1024,6978060743,8285282304
TCGA_ATAC,gvl061,64,1048576,1024,6863339520,7951110144
TCGA_ATAC,gvl061,64,1048576,1024,7347883520,8370507776
TCGA_ATAC,gvl061,64,1048576,2048,9030785181,12666286080
TCGA_ATAC,gvl061,64,1048576,2048,10213284132,12674076672
TCGA_ATAC,gvl061,64,1048576,2048,9934230089,12670140416
TCGA_ATAC,gvl061,64,1048576,4096,16476252647,21292769280
TCGA_ATAC,gvl061,64,1048576,4096,16925139529,21280108544
TCGA_ATAC,gvl061,64,1048576,4096,16914475300,21292941312
