dataset,backend,threads,seqlen,batch_size,avg_rss_bytes,peak_rss_bytes
TCGA_ATAC,gvl061,64,1048576,2,1112060017,1256341504
TCGA_ATAC,gvl061,64,1048576,2,1258011648,1258631168
TCGA_ATAC,gvl061,64,1048576,2,1259467776,1259982848
TCGA_ATAC,gvl061,64,1048576,4,1282040490,1287880704
TCGA_ATAC,gvl061,64,1048576,4,1290063189,1290846208
TCGA_ATAC,gvl061,64,1048576,4,1290849484,1290850304
TCGA_ATAC,gvl061,64,1048576,8,1324004147,1350488064
TCGA_ATAC,gvl061,64,1048576,8,1336233301,1354055680
TCGA_ATAC,gvl061,64,1048576,8,1333918924,1354051584
TCGA_ATAC,gvl061,64,1048576,16,1372859596,1420443648
TCGA_ATAC,gvl061,64,1048576,16,1387660288,1421631488
TCGA_ATAC,gvl061,64,1048576,16,1357295616,1358131200
TCGA_ATAC,gvl061,64,1048576,32,1476198400,1559896064
TCGA_ATAC,gvl061,64,1048576,32,1496761344,1565310976
TCGA_ATAC,gvl061,64,1048576,32,1500323840,1567559680
TCGA_ATAC,gvl061,64,1048576,64,1692126549,1865183232
TCGA_ATAC,gvl061,64,1048576,64,1748460544,1889497088
TCGA_ATAC,gvl061,64,1048576,64,1781890048,1919377408
TCGA_ATAC,gvl061,64,1048576,128,2510737817,2766643200
TCGA_ATAC,gvl061,64,1048576,128,2576108748,2842423296
TCGA_ATAC,gvl061,64,1048576,128,2439252377,2850422784
TCGA_ATAC,gvl061,64,1048576,256,3837638753,4336685056
TCGA_ATAC,gvl061,64,1048576,256,3904596260,4382871552
TCGA_ATAC,gvl061,64,1048576,256,4093449728,4412284928
TCGA_ATAC,gvl061,64,1048576,512,6628922043,7558139904
TCGA_ATAC,gvl061,64,1048576,512,5931778340,7523115008
TCGA_ATAC,gvl061,64,1048576,512,6466589696,7645548544
TCGA_ATAC,gvl061,64,1048576,1024,10559411086,13713928192
TCGA_ATAC,gvl061,64,1048576,1024,12166200040,14108778496
TCGA_ATAC,gvl061,64,1048576,1024,12430310306,14108901376
TCGA_ATAC,gvl061,64,1048576,2048,19882321806,26798067712
TCGA_ATAC,gvl061,64,1048576,2048,24125841408,26958012416
TCGA_ATAC,gvl061,64,1048576,2048,24288629504,26958274560
TCGA_ATAC,gvl061,64,1048576,4096,40211632640,50967498752
TCGA_ATAC,gvl061,64,1048576,4096,46973965816,51648413696
TCGA_ATAC,gvl061,64,1048576,4096,46866892241,51648294912
TCGA_ATAC,gvl061,64,1048576,8192,80038876655,103769083904
TCGA_ATAC,gvl061,64,1048576,8192,94890576110,103942438912
TCGA_ATAC,gvl061,64,1048576,8192,95470073522,103942475776
