dataset,threads,seqlen,batch_size,throughput (MiB/s)
reference,1,16384,32,63.11893073013107
reference,1,16384,32,63.885761690096636
reference,1,16384,32,63.85059400264086
reference,1,16384,32,63.838512275172924
reference,1,16384,32,63.64932172517458
reference,1,2048,32,45.6803583309458
reference,1,2048,32,46.072679784739236
reference,1,2048,32,46.109351734146536
reference,1,2048,32,46.39324472055302
reference,1,2048,32,57.56695819621697
reference,1,131072,32,73.90020680799131
reference,1,131072,32,74.38359234884578
reference,1,131072,32,74.72447514388192
reference,1,131072,32,74.36777125311964
reference,1,131072,32,74.57743219171805
reference,2,16384,32,5.736340284102436
reference,2,16384,32,10.362343017846477
reference,2,16384,32,5.814154815164396
reference,2,16384,32,11.8274698266581
reference,2,16384,32,8.047897278270405
reference,2,2048,32,4.745295375763758
reference,2,2048,32,5.141595955773703
reference,2,2048,32,6.807491498560186
reference,2,2048,32,6.2689127452712246
reference,2,2048,32,5.322530623096337
reference,2,131072,32,10.842308461403821
reference,2,131072,32,11.164280087633232
reference,2,131072,32,18.754699639837987
reference,2,131072,32,13.679538132469503
reference,2,131072,32,14.167387628082452
reference,4,16384,32,4.101734258729064
reference,4,16384,32,3.9498529681671917
reference,4,16384,32,5.816859665030663
reference,4,16384,32,5.258657780362775
reference,4,16384,32,6.613595938278941
reference,1,1048576,32,90.35254746578933
reference,1,1048576,32,118.28537328082551
reference,1,1048576,32,117.92556426586054
reference,1,1048576,32,117.95755273176947
reference,1,1048576,32,117.5812948372496
reference,4,2048,32,4.09105597045117
reference,4,2048,32,4.424330741670531
reference,4,2048,32,5.172579767981409
reference,4,2048,32,5.931428003299386
reference,4,2048,32,6.600200904499571
reference,4,131072,32,9.452698209781671
reference,4,131072,32,9.99722774414592
reference,4,131072,32,10.40938465604905
reference,4,131072,32,13.878312638435617
reference,4,131072,32,10.43229348095188
reference,8,16384,32,2.6884192869764894
reference,8,16384,32,3.4178443333726456
reference,8,16384,32,3.4728881540681367
reference,8,16384,32,2.966995813797636
reference,8,16384,32,2.362615546872559
reference,8,2048,32,2.7144681511834405
reference,8,2048,32,3.4010831572585314
reference,8,2048,32,3.490092697810658
reference,8,2048,32,2.8595098276015896
reference,8,2048,32,2.104529420433212
reference,2,1048576,32,50.03343363025508
reference,2,1048576,32,54.51661214572833
reference,2,1048576,32,60.10927694519856
reference,2,1048576,32,46.66333988471922
reference,2,1048576,32,45.01802344455563
reference,4,1048576,32,37.53449020071197
reference,4,1048576,32,41.999673691464956
reference,4,1048576,32,34.51097707558681
reference,4,1048576,32,37.39267737284153
reference,4,1048576,32,38.53975124578161
reference,8,131072,32,4.14503429975289
reference,8,131072,32,4.5572381227286645
reference,8,131072,32,3.8218967369327754
reference,8,131072,32,3.667381873198958
reference,8,131072,32,3.8466715040548745
reference,16,131072,32,3.372554224443457
reference,16,131072,32,3.233139941378121
reference,16,131072,32,3.1423199098298737
reference,16,131072,32,3.401658975839897
reference,16,131072,32,3.2123901188750117
reference,16,2048,32,1.1167672446438415
reference,16,2048,32,1.1027637319068402
reference,16,2048,32,1.130936595779478
reference,16,2048,32,0.9892330801528711
reference,16,2048,32,0.9465533689800085
reference,16,16384,32,1.2075375108381297
reference,16,16384,32,1.125067012510656
reference,16,16384,32,1.2458597677683474
reference,16,16384,32,0.8568918127926303
reference,16,16384,32,0.9573789041708466
reference,8,1048576,32,17.580873441751507
reference,8,1048576,32,18.704979056048998
reference,8,1048576,32,16.724549975646198
reference,8,1048576,32,18.947081209916515
reference,8,1048576,32,13.470329773405213
reference,32,2048,32,0.6460176225246983
reference,32,2048,32,0.7017719425426885
reference,32,2048,32,0.6568270885002919
reference,32,2048,32,0.7075314011191735
reference,32,2048,32,0.7922374600281438
reference,16,1048576,32,10.34164684837775
reference,16,1048576,32,9.56775591235849
reference,16,1048576,32,8.36935888557308
reference,16,1048576,32,8.921832649390739
reference,16,1048576,32,10.79510445054102
reference,32,16384,32,0.452693928219055
reference,32,16384,32,0.4006855939305495
reference,32,16384,32,0.47498105890020187
reference,32,16384,32,0.4713304638604174
reference,32,16384,32,0.4804866938084692
reference,32,131072,32,1.6835783355738045
reference,32,131072,32,1.5741002779903368
reference,32,131072,32,1.8367840780335347
reference,32,131072,32,1.6561049255341573
reference,32,131072,32,1.7831661605757165
reference,32,1048576,32,5.662416640316327
reference,32,1048576,32,5.114754289245649
reference,32,1048576,32,4.960397575305779
reference,32,1048576,32,5.0541121971244305
reference,32,1048576,32,4.8467455680698865
reference,64,2048,32,0.621855632366364
reference,64,2048,32,0.6252581683839843
reference,64,2048,32,0.5899782595164369
reference,64,2048,32,0.6121437462529656
reference,64,2048,32,0.5947679636107338
reference,64,16384,32,0.5717681399428207
reference,64,16384,32,0.5978200519497479
reference,64,16384,32,0.584737818808813
reference,64,16384,32,0.560322793352275
reference,64,16384,32,0.5552563608047603
reference,64,131072,32,1.1233769245067051
reference,64,131072,32,1.114451749056223
reference,64,131072,32,1.1436581948643716
reference,64,131072,32,1.0781451082553832
reference,64,131072,32,1.1137803868105347
reference,64,1048576,32,4.184978828511665
reference,64,1048576,32,4.180211279380892
reference,64,1048576,32,4.148534986621629
reference,64,1048576,32,4.227181053148597
reference,64,1048576,32,4.293286692707598
