dataset,method,query_length,replicate,n_pairs,n_calls,elapsed_ns
1KGP,bcf,2048,0,50,243,1877273631
1KGP,bcf,2048,1,74,415,2778607317
1KGP,bcf,2048,2,55,274,2065455349
1KGP,bcf,2048,3,100,379,3740757930
1KGP,bcf,2048,4,14,50,522034395
1KGP,bcf,4096,0,50,506,1911052995
1KGP,bcf,4096,1,74,782,2830508963
1KGP,bcf,4096,2,55,586,2108157542
1KGP,bcf,4096,3,100,740,3810641105
1KGP,bcf,4096,4,14,94,529005621
1KGP,bcf,8192,0,50,1058,2076770254
1KGP,bcf,8192,1,74,1477,3049430512
1KGP,bcf,8192,2,55,1134,2313209440
1KGP,bcf,8192,3,100,1537,4107144221
1KGP,bcf,8192,4,14,226,561204688
1KGP,bcf,16384,0,50,2136,2204002003
1KGP,bcf,16384,1,74,3079,3207011386
1KGP,bcf,16384,2,55,2058,2401814709
1KGP,bcf,16384,3,100,3049,4477829863
1KGP,bcf,16384,4,97,3367,4658223450
1KGP,bcf,32768,0,50,4120,3018242268
1KGP,bcf,32768,1,74,6424,4484594275
1KGP,bcf,32768,2,62,4347,3711763501
1KGP,bcf,32768,3,96,6768,5958026933
1KGP,bcf,32768,4,43,3243,2607108908
1KGP,bcf,65536,0,50,8269,3827842321
1KGP,bcf,65536,1,74,11029,5770326508
1KGP,bcf,65536,2,55,7683,4103734249
1KGP,bcf,65536,3,45,5916,3290921856
1KGP,bcf,65536,4,3,247,206152861
1KGP,bcf,131072,0,50,15606,5287786738
1KGP,bcf,131072,1,12,3444,1271629305
1KGP,bcf,131072,2,22,6048,2307848991
1KGP,bcf,131072,3,90,26509,9832684201
1KGP,bcf,131072,4,53,15594,6105078979
1KGP,bcf,262144,0,50,31757,8692780459
1KGP,bcf,262144,1,15,8928,2704661071
1KGP,bcf,262144,2,23,12786,4110017512
1KGP,bcf,262144,3,54,34693,9999707875
1KGP,bcf,262144,4,52,27880,9046183078
1KGP,bcf,524288,0,32,41465,8669702703
1KGP,bcf,524288,1,11,15784,2956086330
1KGP,bcf,524288,2,32,38996,8258273194
1KGP,bcf,524288,3,32,40083,8373126471
1KGP,bcf,524288,4,2,3385,497206439
1KGP,bcf,1048576,0,16,34783,7224625984
1KGP,bcf,1048576,1,16,38135,7340078333
1KGP,bcf,1048576,2,16,42701,7487386139
1KGP,bcf,1048576,3,16,37236,7026978121
1KGP,bcf,1048576,4,8,19774,3585753261
1KGP,bcf,2097152,0,8,30679,6757249749
1KGP,bcf,2097152,1,8,33445,6800474881
1KGP,bcf,2097152,2,8,38383,7392391873
1KGP,bcf,2097152,3,8,37863,7139012038
1KGP,bcf,2097152,4,8,42963,7793848587
1KGP,bcf,4194304,0,4,34351,6212252014
1KGP,bcf,4194304,1,4,34627,7155988544
1KGP,bcf,4194304,2,4,33294,6387700790
1KGP,bcf,4194304,3,4,34626,6407447187
1KGP,bcf,4194304,4,4,33652,6516450986
1KGP,bcf,8388608,0,2,36406,6504552269
1KGP,bcf,8388608,1,2,35032,6943063005
1KGP,bcf,8388608,2,2,37536,6736023518
1KGP,bcf,8388608,3,2,41712,6476015193
1KGP,bcf,8388608,4,2,37056,6494869316
1KGP,bcf,16777216,0,1,32599,7555017205
1KGP,bcf,16777216,1,1,16377,5991598746
1KGP,bcf,16777216,2,1,19226,5375835060
1KGP,bcf,16777216,3,1,32286,7100582804
1KGP,bcf,16777216,4,1,34463,7917908089
