dataset,method,query_length,n_samples,replicate,n_pairs,n_calls,peak_rss_bytes
1KGP,bcf,2048,3202,0,50,243,517156864
1KGP,bcf,2048,3202,1,74,415,518934528
1KGP,bcf,2048,3202,2,55,274,519188480
1KGP,bcf,2048,3202,3,100,379,519729152
1KGP,bcf,2048,3202,4,14,50,518299648
1KGP,bcf,4096,3202,0,50,506,520347648
1KGP,bcf,4096,3202,1,74,782,520577024
1KGP,bcf,4096,3202,2,55,586,521920512
1KGP,bcf,4096,3202,3,100,740,521310208
1KGP,bcf,4096,3202,4,14,94,519286784
1KGP,bcf,8192,3202,0,50,1058,516378624
1KGP,bcf,8192,3202,1,74,1477,516661248
1KGP,bcf,8192,3202,2,55,1134,517988352
1KGP,bcf,8192,3202,3,100,1537,518418432
1KGP,bcf,8192,3202,4,14,226,515780608
1KGP,bcf,16384,3202,0,50,2136,431353856
1KGP,bcf,16384,3202,1,74,3079,433016832
1KGP,bcf,16384,3202,2,55,2058,434360320
1KGP,bcf,16384,3202,3,100,3049,433995776
1KGP,bcf,16384,3202,4,97,3367,434765824
1KGP,bcf,32768,3202,0,50,4120,416911360
1KGP,bcf,32768,3202,1,74,6424,420696064
1KGP,bcf,32768,3202,2,62,4347,421236736
1KGP,bcf,32768,3202,3,96,6768,422891520
1KGP,bcf,32768,3202,4,43,3243,422977536
1KGP,bcf,65536,3202,0,50,8269,509218816
1KGP,bcf,65536,3202,1,74,11029,511164416
1KGP,bcf,65536,3202,2,55,7683,512516096
1KGP,bcf,65536,3202,3,45,5916,511307776
1KGP,bcf,65536,3202,4,3,247,510861312
1KGP,bcf,131072,10,0,50,15011,461926400
1KGP,bcf,131072,3202,0,50,15606,517832704
1KGP,bcf,131072,1000,0,50,15547,514224128
1KGP,bcf,131072,32,0,50,15243,501182464
1KGP,bcf,131072,316,0,50,14801,511574016
1KGP,bcf,131072,100,0,50,13566,512458752
1KGP,bcf,131072,3202,0,50,15606,521023488
1KGP,bcf,131072,10,1,92,24372,462856192
1KGP,bcf,131072,3202,1,12,3444,517988352
1KGP,bcf,131072,1000,1,88,27355,513110016
1KGP,bcf,131072,32,1,10,2799,499343360
1KGP,bcf,131072,316,1,92,26607,509837312
1KGP,bcf,131072,100,1,12,3125,513269760
1KGP,bcf,131072,3202,1,12,3444,523259904
1KGP,bcf,131072,10,2,42,10643,463278080
1KGP,bcf,131072,3202,2,22,6048,519340032
1KGP,bcf,131072,1000,2,63,18641,513490944
1KGP,bcf,131072,32,2,73,18495,500355072
1KGP,bcf,131072,316,2,42,10093,510021632
1KGP,bcf,131072,100,2,22,5563,512786432
1KGP,bcf,131072,3202,2,22,6048,524181504
1KGP,bcf,131072,10,3,90,25873,464142336
1KGP,bcf,131072,3202,3,90,26509,520421376
1KGP,bcf,131072,1000,3,38,9996,510705664
1KGP,bcf,131072,32,3,33,7402,500625408
1KGP,bcf,131072,316,3,90,27187,510029824
1KGP,bcf,131072,100,3,90,27592,513355776
1KGP,bcf,131072,3202,3,90,26509,524976128
1KGP,bcf,131072,10,4,5,1326,464629760
1KGP,bcf,131072,3202,4,53,15594,517496832
1KGP,bcf,131072,1000,4,66,21484,511229952
1KGP,bcf,131072,32,4,5,1342,498401280
1KGP,bcf,131072,316,4,5,1259,508243968
1KGP,bcf,131072,100,4,53,15394,512651264
1KGP,bcf,131072,3202,4,53,15594,523038720
1KGP,bcf,262144,3202,0,50,31757,521658368
1KGP,bcf,262144,3202,1,15,8928,522117120
1KGP,bcf,262144,3202,2,23,12786,520990720
1KGP,bcf,262144,3202,3,54,34693,520232960
1KGP,bcf,262144,3202,4,52,27880,520904704
1KGP,bcf,524288,3202,0,32,41465,426414080
1KGP,bcf,524288,3202,1,11,15784,426557440
1KGP,bcf,524288,3202,2,32,38996,427589632
1KGP,bcf,524288,3202,3,32,40083,428277760
1KGP,bcf,524288,3202,4,2,3385,426078208
1KGP,bcf,1048576,3202,0,16,34783,526299136
1KGP,bcf,1048576,3202,1,16,38135,524378112
1KGP,bcf,1048576,3202,2,16,42701,520855552
1KGP,bcf,1048576,3202,3,16,37236,521011200
1KGP,bcf,1048576,3202,4,8,19774,521580544
1KGP,bcf,2097152,3202,0,8,30679,532660224
1KGP,bcf,2097152,3202,1,8,33445,534859776
1KGP,bcf,2097152,3202,2,8,38383,540110848
1KGP,bcf,2097152,3202,3,8,37863,543150080
1KGP,bcf,2097152,3202,4,8,42963,539467776
1KGP,bcf,4194304,3202,0,4,34351,553480192
1KGP,bcf,4194304,3202,1,4,34627,568188928
1KGP,bcf,4194304,3202,2,4,33294,556429312
1KGP,bcf,4194304,3202,3,4,34626,575102976
1KGP,bcf,4194304,3202,4,4,33652,576000000
1KGP,bcf,8388608,3202,0,2,36406,594010112
1KGP,bcf,8388608,3202,1,2,35032,608374784
1KGP,bcf,8388608,3202,2,2,37536,589787136
1KGP,bcf,8388608,3202,3,2,41712,574287872
1KGP,bcf,8388608,3202,4,2,37056,627896320
1KGP,bcf,16777216,3202,0,1,32599,754565120
1KGP,bcf,16777216,3202,1,1,16377,700706816
1KGP,bcf,16777216,3202,2,1,19226,694771712
1KGP,bcf,16777216,3202,3,1,32286,747266048
1KGP,bcf,16777216,3202,4,1,34463,770711552
