dataset,method,query_length,n_samples,replicate,n_pairs,n_calls,elapsed_ns,setup_ns
1KGP,bcf,2048,3202,0,65536,296814,2465993011915,
1KGP,bcf,2048,3202,1,65536,299115,2479717995593,
1KGP,bcf,2048,3202,2,65536,297298,2521960692841,
1KGP,bcf,2048,3202,3,65536,298844,2534962206256,
1KGP,bcf,2048,3202,4,65536,299890,2475824782497,
1KGP,bcf,4096,3202,0,32768,295930,1266581931374,
1KGP,bcf,4096,3202,1,32768,297210,1253489488186,
1KGP,bcf,4096,3202,2,32768,297822,1254283448873,
1KGP,bcf,4096,3202,3,32768,299343,1256602983312,
1KGP,bcf,4096,3202,4,32768,296961,1253839239699,
1KGP,bcf,8192,3202,0,16384,297266,667132037539,
1KGP,bcf,8192,3202,1,16384,295060,674212629601,
1KGP,bcf,8192,3202,2,16384,296289,671489435447,
1KGP,bcf,8192,3202,3,16384,298183,669663022499,
1KGP,bcf,8192,3202,4,16384,300992,669126920352,
1KGP,bcf,16384,3202,0,8192,299237,363157817762,
1KGP,bcf,16384,3202,1,8192,294531,359942559945,
1KGP,bcf,16384,3202,2,8192,295050,362284413482,
1KGP,bcf,16384,3202,3,8192,298106,360087987342,
1KGP,bcf,16384,3202,4,8192,294386,360840422882,
1KGP,bcf,32768,3202,0,4096,300272,211220025882,
1KGP,bcf,32768,3202,1,4096,300283,238213636501,
1KGP,bcf,32768,3202,2,4096,298471,203364185421,
1KGP,bcf,32768,3202,3,4096,291122,201989959037,
1KGP,bcf,32768,3202,4,4096,295545,202684099036,
1KGP,bcf,65536,3202,0,2048,299761,133608265907,
1KGP,bcf,65536,3202,1,2048,298435,138502776567,
1KGP,bcf,65536,3202,2,2048,297383,149608365323,
1KGP,bcf,65536,3202,3,2048,304706,128042981202,
1KGP,bcf,65536,3202,4,2048,295535,126345707167,
1KGP,bcf,131072,1000,0,1024,305033,57218426973,
1KGP,bcf,131072,10,0,1024,287260,35691011091,
1KGP,bcf,131072,3202,0,1024,301223,90086364256,
1KGP,bcf,131072,32,0,1024,285771,48671371949,
1KGP,bcf,131072,316,0,1024,296788,45543417062,
1KGP,bcf,131072,100,0,1024,291238,40579148985,
1KGP,bcf,131072,3202,0,1024,301223,88613630194,
1KGP,bcf,131072,1000,1,1024,297990,56945531657,
1KGP,bcf,131072,10,1,1024,288649,35691106486,
1KGP,bcf,131072,3202,1,1024,303310,88979955421,
1KGP,bcf,131072,32,1,1024,289731,46844501033,
1KGP,bcf,131072,316,1,1024,298303,45250145699,
1KGP,bcf,131072,100,1,1024,297653,40355277144,
1KGP,bcf,131072,3202,1,1024,303310,89969537382,
1KGP,bcf,131072,1000,2,1024,301736,57017962127,
1KGP,bcf,131072,10,2,1024,288972,35830547658,
1KGP,bcf,131072,3202,2,1024,300348,90426075852,
1KGP,bcf,131072,32,2,1024,300105,44505033815,
1KGP,bcf,131072,316,2,1024,302614,46015804884,
1KGP,bcf,131072,100,2,1024,295736,40576263157,
1KGP,bcf,131072,3202,2,1024,300348,90795206758,
1KGP,bcf,131072,1000,3,1024,296443,56984296099,
1KGP,bcf,131072,10,3,1024,282052,35798461004,
1KGP,bcf,131072,3202,3,1024,297945,90812364680,
1KGP,bcf,131072,32,3,1024,295066,43964381406,
1KGP,bcf,131072,316,3,1024,297226,47599924142,
1KGP,bcf,131072,100,3,1024,289803,40540524803,
1KGP,bcf,131072,3202,3,1024,297945,89784036575,
1KGP,bcf,131072,1000,4,1024,299228,57396892239,
1KGP,bcf,131072,10,4,1024,288138,35798156369,
1KGP,bcf,131072,3202,4,1024,304128,91548893454,
1KGP,bcf,131072,32,4,1024,298887,42297052870,
1KGP,bcf,131072,316,4,1024,296966,47726201239,
1KGP,bcf,131072,100,4,1024,306332,40596966980,
1KGP,bcf,131072,3202,4,1024,304128,89319625461,
1KGP,bcf,262144,3202,0,512,308388,71770243738,
1KGP,bcf,262144,3202,1,512,298022,72555315306,
1KGP,bcf,262144,3202,2,512,300413,71414975346,
1KGP,bcf,262144,3202,3,512,300377,71497128851,
1KGP,bcf,262144,3202,4,512,303316,70975254332,
1KGP,bcf,524288,3202,0,256,311872,64273006866,
1KGP,bcf,524288,3202,1,256,310248,63624802309,
1KGP,bcf,524288,3202,2,256,302508,61779639932,
1KGP,bcf,524288,3202,3,256,289731,63532145279,
1KGP,bcf,524288,3202,4,256,307770,64554218325,
1KGP,bcf,1048576,3202,0,128,310107,57078675299,
1KGP,bcf,1048576,3202,1,128,299832,56190633351,
1KGP,bcf,1048576,3202,2,128,293610,57759287703,
1KGP,bcf,1048576,3202,3,128,313977,60133920677,
1KGP,bcf,1048576,3202,4,128,305789,56372522285,
1KGP,bcf,2097152,3202,0,64,296425,56264246132,
1KGP,bcf,2097152,3202,1,64,305593,56172074247,
1KGP,bcf,2097152,3202,2,64,295468,54105478114,
1KGP,bcf,2097152,3202,3,64,291907,55601953746,
1KGP,bcf,2097152,3202,4,64,307824,55877447466,
1KGP,bcf,4194304,3202,0,32,270686,53039711253,
1KGP,bcf,4194304,3202,1,32,334402,57293890895,
1KGP,bcf,4194304,3202,2,32,314041,55608561139,
1KGP,bcf,4194304,3202,3,32,307097,52281135522,
1KGP,bcf,4194304,3202,4,32,286420,52088549979,
1KGP,bcf,8388608,3202,0,16,282601,53908227523,
1KGP,bcf,8388608,3202,1,16,281925,55195696686,
1KGP,bcf,8388608,3202,2,16,315996,56408813725,
1KGP,bcf,8388608,3202,3,16,282014,51483710088,
1KGP,bcf,8388608,3202,4,16,330813,54123015755,
1KGP,bcf,16777216,3202,0,8,274176,53302269595,
1KGP,bcf,16777216,3202,1,8,314982,53047195261,
