dataset,method,query_length,replicate,n_pairs,n_calls,elapsed_ns
1KGP,pgen,2048,0,50,245,9289844596
1KGP,pgen,2048,1,74,415,15357414251
1KGP,pgen,2048,2,55,274,11176946966
1KGP,pgen,2048,3,100,383,18973738204
1KGP,pgen,2048,4,14,50,2942398865
1KGP,pgen,4096,0,50,509,11333351042
1KGP,pgen,4096,1,74,783,20143289864
1KGP,pgen,4096,2,55,587,14592576011
1KGP,pgen,4096,3,100,750,24754716883
1KGP,pgen,4096,4,14,94,3676578925
1KGP,pgen,8192,0,50,1062,9553792744
1KGP,pgen,8192,1,74,1478,15438380429
1KGP,pgen,8192,2,55,1137,11539462944
1KGP,pgen,8192,3,100,1557,19584798109
1KGP,pgen,8192,4,14,226,2913108484
1KGP,pgen,16384,0,50,2147,11743765504
1KGP,pgen,16384,1,74,3080,18995215154
1KGP,pgen,16384,2,55,2063,14288356830
1KGP,pgen,16384,3,100,3106,24410259600
1KGP,pgen,16384,4,97,3416,26853396774
1KGP,pgen,32768,0,50,4142,9543522549
1KGP,pgen,32768,1,74,6429,15466980186
1KGP,pgen,32768,2,62,4396,12864940121
1KGP,pgen,32768,3,96,6904,19375029010
1KGP,pgen,32768,4,43,3264,8803485596
1KGP,pgen,65536,0,50,8314,12427742875
1KGP,pgen,65536,1,74,11048,18962471378
1KGP,pgen,65536,2,55,7724,14856631945
1KGP,pgen,65536,3,45,6124,11796667472
1KGP,pgen,65536,4,3,247,897597313
1KGP,pgen,131072,0,50,15662,9571953758
1KGP,pgen,131072,1,12,3444,2856547395
1KGP,pgen,131072,2,22,6048,4581911391
1KGP,pgen,131072,3,90,26581,19281799866
1KGP,pgen,131072,4,53,15963,11028668552
1KGP,pgen,262144,0,50,31843,10179028720
1KGP,pgen,262144,1,15,8928,3701069987
1KGP,pgen,262144,2,23,12786,5035715118
1KGP,pgen,262144,3,54,34693,12987230047
1KGP,pgen,262144,4,52,28379,10980198188
1KGP,pgen,524288,0,32,41685,6940317373
1KGP,pgen,524288,1,11,15784,2248408493
1KGP,pgen,524288,2,32,38996,7396491199
1KGP,pgen,524288,3,32,40147,7545250440
1KGP,pgen,524288,4,2,3385,549000991
1KGP,pgen,1048576,0,16,35288,4345304459
1KGP,pgen,1048576,1,16,38135,4107658795
1KGP,pgen,1048576,2,16,42701,3719241595
1KGP,pgen,1048576,3,16,37236,4404429750
1KGP,pgen,1048576,4,8,19774,2042828755
1KGP,pgen,2097152,0,8,31773,3008785197
1KGP,pgen,2097152,1,8,33445,2638109778
1KGP,pgen,2097152,2,8,38383,2758829595
1KGP,pgen,2097152,3,8,39853,2462273206
1KGP,pgen,2097152,4,8,42963,2704399849
1KGP,pgen,4194304,0,4,34351,1210543387
1KGP,pgen,4194304,1,4,37234,1105451043
1KGP,pgen,4194304,2,4,33294,1484884084
1KGP,pgen,4194304,3,4,34626,1304045357
1KGP,pgen,4194304,4,4,33652,1128624296
1KGP,pgen,8388608,0,2,36406,1129598055
1KGP,pgen,8388608,1,2,35032,1103054854
1KGP,pgen,8388608,2,2,37536,895096482
1KGP,pgen,8388608,3,2,41712,887599819
1KGP,pgen,8388608,4,2,37056,953545535
1KGP,pgen,16777216,0,1,32599,805915876
1KGP,pgen,16777216,1,1,32754,584789065
1KGP,pgen,16777216,2,1,19226,528793996
1KGP,pgen,16777216,3,1,32286,745859497
1KGP,pgen,16777216,4,1,34463,748115943
