dataset,method,query_length,n_samples,replicate,n_pairs,n_calls,peak_rss_bytes
1KGP,pgen,2048,3202,0,50,245,20212477952
1KGP,pgen,2048,3202,1,74,415,35366486016
1KGP,pgen,2048,3202,2,55,274,44716331008
1KGP,pgen,2048,3202,3,100,383,53693657088
1KGP,pgen,2048,3202,4,14,50,54329413632
1KGP,pgen,4096,3202,0,50,509,19515641856
1KGP,pgen,4096,3202,1,74,783,34713505792
1KGP,pgen,4096,3202,2,55,587,43736981504
1KGP,pgen,4096,3202,3,100,750,52669632512
1KGP,pgen,4096,3202,4,14,94,52788088832
1KGP,pgen,8192,3202,0,50,1062,20652822528
1KGP,pgen,8192,3202,1,74,1478,37000527872
1KGP,pgen,8192,3202,2,55,1137,46105882624
1KGP,pgen,8192,3202,3,100,1557,55170187264
1KGP,pgen,8192,3202,4,14,226,55814983680
1KGP,pgen,16384,3202,0,50,2147,19566579712
1KGP,pgen,16384,3202,1,74,3080,34970894336
1KGP,pgen,16384,3202,2,55,2063,44305534976
1KGP,pgen,16384,3202,3,100,3106,53658099712
1KGP,pgen,16384,3202,4,97,3416,54205145088
1KGP,pgen,32768,3202,0,50,4142,19068907520
1KGP,pgen,32768,3202,1,74,6429,35279339520
1KGP,pgen,32768,3202,2,62,4396,44543102976
1KGP,pgen,32768,3202,3,96,6904,53580595200
1KGP,pgen,32768,3202,4,43,3264,53620580352
1KGP,pgen,65536,3202,0,50,8314,19361570816
1KGP,pgen,65536,3202,1,74,11048,34233028608
1KGP,pgen,65536,3202,2,55,7724,43257896960
1KGP,pgen,65536,3202,3,45,6124,52236427264
1KGP,pgen,65536,3202,4,3,247,52352626688
1KGP,pgen,131072,3202,0,50,15662,14671376384
1KGP,pgen,131072,316,0,50,14775,8333062144
1KGP,pgen,131072,10,0,50,13513,3680948224
1KGP,pgen,131072,100,0,50,13328,6049554432
1KGP,pgen,131072,32,0,50,14301,4634062848
1KGP,pgen,131072,1000,0,50,15607,12126351360
1KGP,pgen,131072,3202,0,50,15662,19309252608
1KGP,pgen,131072,3202,1,12,3444,23323078656
1KGP,pgen,131072,316,1,92,26771,13776162816
1KGP,pgen,131072,10,1,92,21921,4857278464
1KGP,pgen,131072,100,1,12,3059,8841269248
1KGP,pgen,131072,32,1,10,2689,6311071744
1KGP,pgen,131072,1000,1,88,27331,19030487040
1KGP,pgen,131072,3202,1,12,3444,34067382272
1KGP,pgen,131072,3202,2,22,6048,29212217344
1KGP,pgen,131072,316,2,42,10357,17272270848
1KGP,pgen,131072,10,2,42,9645,5760679936
1KGP,pgen,131072,100,2,22,5507,11093114880
1KGP,pgen,131072,32,2,73,17844,7633571840
1KGP,pgen,131072,1000,2,63,18722,23788142592
1KGP,pgen,131072,3202,2,22,6048,43072086016
1KGP,pgen,131072,3202,3,90,26581,33345474560
1KGP,pgen,131072,316,3,90,27105,20554080256
1KGP,pgen,131072,10,3,90,23083,6630760448
1KGP,pgen,131072,100,3,90,27152,13251612672
1KGP,pgen,131072,32,3,33,7150,7841112064
1KGP,pgen,131072,1000,3,38,10280,28441255936
1KGP,pgen,131072,3202,3,90,26581,52528701440
1KGP,pgen,131072,3202,4,53,15963,33303900160
1KGP,pgen,131072,316,4,5,1257,21032620032
1KGP,pgen,131072,10,4,5,1258,6549815296
1KGP,pgen,131072,100,4,53,15515,13555257344
1KGP,pgen,131072,32,4,5,1278,9065955328
1KGP,pgen,131072,1000,4,66,21635,28908900352
1KGP,pgen,131072,3202,4,53,15963,52838907904
1KGP,pgen,262144,3202,0,50,31843,19782483968
1KGP,pgen,262144,3202,1,15,8928,34884837376
1KGP,pgen,262144,3202,2,23,12786,44250750976
1KGP,pgen,262144,3202,3,54,34693,53846151168
1KGP,pgen,262144,3202,4,52,28379,53605941248
1KGP,pgen,524288,3202,0,32,41685,19790630912
1KGP,pgen,524288,3202,1,11,15784,34836754432
1KGP,pgen,524288,3202,2,32,38996,44730413056
1KGP,pgen,524288,3202,3,32,40147,53702279168
1KGP,pgen,524288,3202,4,2,3385,63004024832
1KGP,pgen,1048576,3202,0,16,35288,19029803008
1KGP,pgen,1048576,3202,1,16,38135,33736294400
1KGP,pgen,1048576,3202,2,16,42701,42992852992
1KGP,pgen,1048576,3202,3,16,37236,51977441280
1KGP,pgen,1048576,3202,4,8,19774,61000826880
1KGP,pgen,2097152,3202,0,8,31773,19106177024
1KGP,pgen,2097152,3202,1,8,33445,34260652032
1KGP,pgen,2097152,3202,2,8,38383,43460567040
1KGP,pgen,2097152,3202,3,8,39853,52678541312
1KGP,pgen,2097152,3202,4,8,42963,61899452416
1KGP,pgen,4194304,3202,0,4,34351,18813636608
1KGP,pgen,4194304,3202,1,4,37234,34051870720
1KGP,pgen,4194304,3202,2,4,33294,43841728512
1KGP,pgen,4194304,3202,3,4,34626,53834784768
1KGP,pgen,4194304,3202,4,4,33652,63221293056
1KGP,pgen,8388608,3202,0,2,36406,18119475200
1KGP,pgen,8388608,3202,1,2,35032,33221599232
1KGP,pgen,8388608,3202,2,2,37536,42786480128
1KGP,pgen,8388608,3202,3,2,41712,52134854656
1KGP,pgen,8388608,3202,4,2,37056,61452496896
1KGP,pgen,16777216,3202,0,1,32599,18078887936
1KGP,pgen,16777216,3202,1,1,32754,33038393344
1KGP,pgen,16777216,3202,2,1,19226,42339749888
1KGP,pgen,16777216,3202,3,1,32286,51786145792
1KGP,pgen,16777216,3202,4,1,34463,61312684032
