dataset,method,query_length,n_samples,replicate,n_pairs,n_calls,elapsed_ns,setup_ns
1KGP,pgen,2048,3202,0,50,245,11431518411,
1KGP,pgen,2048,3202,1,74,415,17445381628,
1KGP,pgen,2048,3202,2,55,274,13302321831,
1KGP,pgen,2048,3202,3,100,383,26149218449,
1KGP,pgen,2048,3202,4,14,50,3781895875,
1KGP,pgen,4096,3202,0,50,509,11012557105,
1KGP,pgen,4096,3202,1,74,783,18834206132,
1KGP,pgen,4096,3202,2,55,587,13128628457,
1KGP,pgen,4096,3202,3,100,750,21914638824,
1KGP,pgen,4096,3202,4,14,94,3387774432,
1KGP,pgen,8192,3202,0,50,1062,9898509320,
1KGP,pgen,8192,3202,1,74,1478,16200233254,
1KGP,pgen,8192,3202,2,55,1137,13643430132,
1KGP,pgen,8192,3202,3,100,1557,22093274187,
1KGP,pgen,8192,3202,4,14,226,2959853623,
1KGP,pgen,16384,3202,0,50,2147,11605404406,
1KGP,pgen,16384,3202,1,74,3080,18077315291,
1KGP,pgen,16384,3202,2,55,2063,13969020738,
1KGP,pgen,16384,3202,3,100,3106,26348283019,
1KGP,pgen,16384,3202,4,97,3416,24431904283,
1KGP,pgen,32768,3202,0,50,4142,11977068371,
1KGP,pgen,32768,3202,1,74,6429,18258149814,
1KGP,pgen,32768,3202,2,62,4396,17941414908,
1KGP,pgen,32768,3202,3,96,6904,27804580544,
1KGP,pgen,32768,3202,4,43,3264,9958553318,
1KGP,pgen,65536,3202,0,50,8314,11340468909,
1KGP,pgen,65536,3202,1,74,11048,19143095166,
1KGP,pgen,65536,3202,2,55,7724,17137275351,
1KGP,pgen,65536,3202,3,45,6124,11084307516,
1KGP,pgen,65536,3202,4,3,247,837051436,
1KGP,pgen,131072,3202,0,50,15662,16847916663,
1KGP,pgen,131072,32,0,50,14301,3317008545,
1KGP,pgen,131072,1000,0,50,15607,10141554449,
1KGP,pgen,131072,100,0,50,13328,24679117261,
1KGP,pgen,131072,10,0,50,13513,2049614056,
1KGP,pgen,131072,316,0,50,14775,7845823898,
1KGP,pgen,131072,3202,0,50,15662,9775281875,
1KGP,pgen,131072,3202,1,12,3444,3276747778,
1KGP,pgen,131072,32,1,10,2689,827719397,
1KGP,pgen,131072,1000,1,88,27331,17730862303,
1KGP,pgen,131072,100,1,12,3059,2756952883,
1KGP,pgen,131072,10,1,92,21921,4245405564,
1KGP,pgen,131072,316,1,92,26771,13615597885,
1KGP,pgen,131072,3202,1,12,3444,2757071097,
1KGP,pgen,131072,3202,2,22,6048,6544258401,
1KGP,pgen,131072,32,2,73,17844,4905142944,
1KGP,pgen,131072,1000,2,63,18722,12102119379,
1KGP,pgen,131072,100,2,22,5507,3137111244,
1KGP,pgen,131072,10,2,42,9645,2079840392,
1KGP,pgen,131072,316,2,42,10357,6530719024,
1KGP,pgen,131072,3202,2,22,6048,4653062120,
1KGP,pgen,131072,3202,3,90,26581,26637911391,
1KGP,pgen,131072,32,3,33,7150,2118609387,
1KGP,pgen,131072,1000,3,38,10280,7605533821,
1KGP,pgen,131072,100,3,90,27152,10338492521,
1KGP,pgen,131072,10,3,90,23083,4246862660,
1KGP,pgen,131072,316,3,90,27105,12626999503,
1KGP,pgen,131072,3202,3,90,26581,24855234074,
1KGP,pgen,131072,3202,4,53,15963,16203046149,
1KGP,pgen,131072,32,4,5,1278,220432136,
1KGP,pgen,131072,1000,4,66,21635,12465630686,
1KGP,pgen,131072,100,4,53,15515,10008608552,
1KGP,pgen,131072,10,4,5,1258,291800358,
1KGP,pgen,131072,316,4,5,1257,837386683,
1KGP,pgen,131072,3202,4,53,15963,12649334072,
1KGP,pgen,262144,3202,0,50,31843,11912902059,
1KGP,pgen,262144,3202,1,15,8928,4216663623,
1KGP,pgen,262144,3202,2,23,12786,6136703973,
1KGP,pgen,262144,3202,3,54,34693,15439920034,
1KGP,pgen,262144,3202,4,52,28379,11467206115,
1KGP,pgen,524288,3202,0,32,41685,6920773336,
1KGP,pgen,524288,3202,1,11,15784,2141209285,
1KGP,pgen,524288,3202,2,32,38996,7202689934,
1KGP,pgen,524288,3202,3,32,40147,7311275584,
1KGP,pgen,524288,3202,4,2,3385,607840611,
1KGP,pgen,1048576,3202,0,16,35288,4201222795,
1KGP,pgen,1048576,3202,1,16,38135,4148684333,
1KGP,pgen,1048576,3202,2,16,42701,4240438690,
1KGP,pgen,1048576,3202,3,16,37236,4641137641,
1KGP,pgen,1048576,3202,4,8,19774,2120259449,
1KGP,pgen,2097152,3202,0,8,31773,2139402703,
1KGP,pgen,2097152,3202,1,8,33445,2045147989,
1KGP,pgen,2097152,3202,2,8,38383,2097751269,
1KGP,pgen,2097152,3202,3,8,39853,2060862821,
1KGP,pgen,2097152,3202,4,8,42963,2005023461,
1KGP,pgen,4194304,3202,0,4,34351,1256581035,
1KGP,pgen,4194304,3202,1,4,37234,1004741439,
1KGP,pgen,4194304,3202,2,4,33294,1322209219,
1KGP,pgen,4194304,3202,3,4,34626,1172077300,
1KGP,pgen,4194304,3202,4,4,33652,1066557027,
1KGP,pgen,8388608,3202,0,2,36406,838025303,
1KGP,pgen,8388608,3202,1,2,35032,718455227,
1KGP,pgen,8388608,3202,2,2,37536,830158167,
1KGP,pgen,8388608,3202,3,2,41712,669990165,
1KGP,pgen,8388608,3202,4,2,37056,631802079,
1KGP,pgen,16777216,3202,0,1,32599,637785082,
1KGP,pgen,16777216,3202,1,1,32754,376286030,
1KGP,pgen,16777216,3202,2,1,19226,420005713,
1KGP,pgen,16777216,3202,3,1,32286,463003280,
1KGP,pgen,16777216,3202,4,1,34463,657824616,
