dataset,method,query_length,replicate,n_pairs,n_calls,elapsed_ns
1KGP,presubset_bcf,2048,0,50,243,26538849
1KGP,presubset_bcf,2048,1,74,415,38012949
1KGP,presubset_bcf,2048,2,55,274,28185374
1KGP,presubset_bcf,2048,3,100,379,51101596
1KGP,presubset_bcf,2048,4,14,50,7190209
1KGP,presubset_bcf,4096,0,50,506,26946974
1KGP,presubset_bcf,4096,1,74,782,39818138
1KGP,presubset_bcf,4096,2,55,586,29188279
1KGP,presubset_bcf,4096,3,100,740,51627445
1KGP,presubset_bcf,4096,4,14,94,7501460
1KGP,presubset_bcf,8192,0,50,1058,34840578
1KGP,presubset_bcf,8192,1,74,1477,55057095
1KGP,presubset_bcf,8192,2,55,1134,40007327
1KGP,presubset_bcf,8192,3,100,1537,66514485
1KGP,presubset_bcf,8192,4,14,226,10066309
1KGP,presubset_bcf,16384,0,50,2136,31922141
1KGP,presubset_bcf,16384,1,74,3079,48323557
1KGP,presubset_bcf,16384,2,55,2058,34222908
1KGP,presubset_bcf,16384,3,100,3049,59515173
1KGP,presubset_bcf,16384,4,97,3367,59358445
1KGP,presubset_bcf,32768,0,50,4120,45306804
1KGP,presubset_bcf,32768,1,74,6424,77165030
1KGP,presubset_bcf,32768,2,62,4347,59129112
1KGP,presubset_bcf,32768,3,96,6768,85759922
1KGP,presubset_bcf,32768,4,43,3243,40882192
1KGP,presubset_bcf,65536,0,50,8269,53765163
1KGP,presubset_bcf,65536,1,74,11029,77622842
1KGP,presubset_bcf,65536,2,55,7683,55058879
1KGP,presubset_bcf,65536,3,45,5916,43193525
1KGP,presubset_bcf,65536,4,3,247,2650512
1KGP,presubset_bcf,131072,0,50,15606,95507406
1KGP,presubset_bcf,131072,1,12,3444,25215051
1KGP,presubset_bcf,131072,2,22,6048,40583964
1KGP,presubset_bcf,131072,3,90,26509,165567119
1KGP,presubset_bcf,131072,4,53,15594,96860321
1KGP,presubset_bcf,262144,0,50,31757,140380144
1KGP,presubset_bcf,262144,1,15,8928,42156836
1KGP,presubset_bcf,262144,2,23,12786,60615808
1KGP,presubset_bcf,262144,3,54,34693,157368002
1KGP,presubset_bcf,262144,4,52,27880,130725807
1KGP,presubset_bcf,524288,0,32,41465,189487786
1KGP,presubset_bcf,524288,1,11,15784,74438958
1KGP,presubset_bcf,524288,2,32,38996,191368466
1KGP,presubset_bcf,524288,3,32,40083,189041556
1KGP,presubset_bcf,524288,4,2,3385,15402426
1KGP,presubset_bcf,1048576,0,16,34783,139814668
1KGP,presubset_bcf,1048576,1,16,38135,139020351
1KGP,presubset_bcf,1048576,2,16,42701,165146948
1KGP,presubset_bcf,1048576,3,16,37236,152542209
1KGP,presubset_bcf,1048576,4,8,19774,82327606
1KGP,presubset_bcf,2097152,0,8,30679,118794972
1KGP,presubset_bcf,2097152,1,8,33445,125975665
1KGP,presubset_bcf,2097152,2,8,38383,147894466
1KGP,presubset_bcf,2097152,3,8,37863,144689571
1KGP,presubset_bcf,2097152,4,8,42963,161647605
1KGP,presubset_bcf,4194304,0,4,34351,133557374
1KGP,presubset_bcf,4194304,1,4,34627,145189798
1KGP,presubset_bcf,4194304,2,4,33294,125525556
1KGP,presubset_bcf,4194304,3,4,34626,134745334
1KGP,presubset_bcf,4194304,4,4,33652,119521031
1KGP,presubset_bcf,8388608,0,2,36406,150232454
1KGP,presubset_bcf,8388608,1,2,35032,153349591
1KGP,presubset_bcf,8388608,2,2,37536,159444142
1KGP,presubset_bcf,8388608,3,2,41712,173185259
1KGP,presubset_bcf,8388608,4,2,37056,155954477
1KGP,presubset_bcf,16777216,0,1,32599,130971823
1KGP,presubset_bcf,16777216,1,1,16377,89324771
1KGP,presubset_bcf,16777216,2,1,19226,75399166
1KGP,presubset_bcf,16777216,3,1,32286,121519489
1KGP,presubset_bcf,16777216,4,1,34463,126316295
