dataset,method,query_length,n_samples,replicate,n_pairs,n_calls,peak_rss_bytes
1KGP,presubset_bcf,2048,3202,0,50,243,181469184
1KGP,presubset_bcf,2048,3202,1,74,415,181829632
1KGP,presubset_bcf,2048,3202,2,55,274,179773440
1KGP,presubset_bcf,2048,3202,3,100,379,180183040
1KGP,presubset_bcf,2048,3202,4,14,50,180154368
1KGP,presubset_bcf,4096,3202,0,50,506,185683968
1KGP,presubset_bcf,4096,3202,1,74,782,183857152
1KGP,presubset_bcf,4096,3202,2,55,586,181846016
1KGP,presubset_bcf,4096,3202,3,100,740,182489088
1KGP,presubset_bcf,4096,3202,4,14,94,182489088
1KGP,presubset_bcf,8192,3202,0,50,1058,181436416
1KGP,presubset_bcf,8192,3202,1,74,1477,181821440
1KGP,presubset_bcf,8192,3202,2,55,1134,179757056
1KGP,presubset_bcf,8192,3202,3,100,1537,180322304
1KGP,presubset_bcf,8192,3202,4,14,226,180322304
1KGP,presubset_bcf,16384,3202,0,50,2136,183357440
1KGP,presubset_bcf,16384,3202,1,74,3079,184410112
1KGP,presubset_bcf,16384,3202,2,55,2058,183648256
1KGP,presubset_bcf,16384,3202,3,100,3049,184193024
1KGP,presubset_bcf,16384,3202,4,97,3367,184193024
1KGP,presubset_bcf,32768,3202,0,50,4120,183930880
1KGP,presubset_bcf,32768,3202,1,74,6424,185778176
1KGP,presubset_bcf,32768,3202,2,62,4347,183988224
1KGP,presubset_bcf,32768,3202,3,96,6768,184291328
1KGP,presubset_bcf,32768,3202,4,43,3243,184291328
1KGP,presubset_bcf,65536,3202,0,50,8269,190537728
1KGP,presubset_bcf,65536,3202,1,74,11029,189833216
1KGP,presubset_bcf,65536,3202,2,55,7683,188387328
1KGP,presubset_bcf,65536,3202,3,45,5916,188653568
1KGP,presubset_bcf,65536,3202,4,3,247,188653568
1KGP,presubset_bcf,131072,3202,0,50,15606,179687424
1KGP,presubset_bcf,131072,10,0,50,15011,186310656
1KGP,presubset_bcf,131072,1000,0,50,15547,176504832
1KGP,presubset_bcf,131072,32,0,50,15243,144297984
1KGP,presubset_bcf,131072,3202,0,50,15606,177410048
1KGP,presubset_bcf,131072,100,0,50,13566,179453952
1KGP,presubset_bcf,131072,316,0,50,14801,175362048
1KGP,presubset_bcf,131072,3202,1,12,3444,177885184
1KGP,presubset_bcf,131072,10,1,92,24372,182165504
1KGP,presubset_bcf,131072,1000,1,88,27355,175808512
1KGP,presubset_bcf,131072,32,1,10,2799,145375232
1KGP,presubset_bcf,131072,3202,1,12,3444,177680384
1KGP,presubset_bcf,131072,100,1,12,3125,177643520
1KGP,presubset_bcf,131072,316,1,92,26607,174682112
1KGP,presubset_bcf,131072,3202,2,22,6048,177668096
1KGP,presubset_bcf,131072,10,2,42,10643,182165504
1KGP,presubset_bcf,131072,1000,2,63,18641,176087040
1KGP,presubset_bcf,131072,32,2,73,18495,146464768
1KGP,presubset_bcf,131072,3202,2,22,6048,177680384
1KGP,presubset_bcf,131072,100,2,22,5563,175812608
1KGP,presubset_bcf,131072,316,2,42,10093,175222784
1KGP,presubset_bcf,131072,3202,3,90,26509,177733632
1KGP,presubset_bcf,131072,10,3,90,25873,182439936
1KGP,presubset_bcf,131072,1000,3,38,9996,176087040
1KGP,presubset_bcf,131072,32,3,33,7402,146464768
1KGP,presubset_bcf,131072,3202,3,90,26509,175857664
1KGP,presubset_bcf,131072,100,3,90,27592,175853568
1KGP,presubset_bcf,131072,316,3,90,27187,175697920
1KGP,presubset_bcf,131072,3202,4,53,15594,178073600
1KGP,presubset_bcf,131072,10,4,5,1326,182435840
1KGP,presubset_bcf,131072,1000,4,66,21484,176193536
1KGP,presubset_bcf,131072,32,4,5,1342,146464768
1KGP,presubset_bcf,131072,3202,4,53,15594,175865856
1KGP,presubset_bcf,131072,100,4,53,15394,176095232
1KGP,presubset_bcf,131072,316,4,5,1259,175763456
1KGP,presubset_bcf,262144,3202,0,50,31757,173096960
1KGP,presubset_bcf,262144,3202,1,15,8928,174714880
1KGP,presubset_bcf,262144,3202,2,23,12786,173142016
1KGP,presubset_bcf,262144,3202,3,54,34693,173461504
1KGP,presubset_bcf,262144,3202,4,52,27880,174055424
1KGP,presubset_bcf,524288,3202,0,32,41465,185884672
1KGP,presubset_bcf,524288,3202,1,11,15784,184975360
1KGP,presubset_bcf,524288,3202,2,32,38996,184000512
1KGP,presubset_bcf,524288,3202,3,32,40083,184524800
1KGP,presubset_bcf,524288,3202,4,2,3385,184573952
1KGP,presubset_bcf,1048576,3202,0,16,34783,184545280
1KGP,presubset_bcf,1048576,3202,1,16,38135,182472704
1KGP,presubset_bcf,1048576,3202,2,16,42701,180686848
1KGP,presubset_bcf,1048576,3202,3,16,37236,181067776
1KGP,presubset_bcf,1048576,3202,4,8,19774,181108736
