dataset,method,query_length,n_samples,replicate,n_pairs,n_calls,elapsed_ns,setup_ns
1KGP,presubset_bcf,2048,3202,0,50,243,87415662,3352380582
1KGP,presubset_bcf,2048,3202,1,74,415,45255659,4962173825
1KGP,presubset_bcf,2048,3202,2,55,274,37384199,3349910914
1KGP,presubset_bcf,2048,3202,3,100,379,61904590,6255722683
1KGP,presubset_bcf,2048,3202,4,14,50,9066759,766208043
1KGP,presubset_bcf,4096,3202,0,50,506,89601318,3485769342
1KGP,presubset_bcf,4096,3202,1,74,782,39949415,6269218602
1KGP,presubset_bcf,4096,3202,2,55,586,29749073,3376800408
1KGP,presubset_bcf,4096,3202,3,100,740,53518262,7294088124
1KGP,presubset_bcf,4096,3202,4,14,94,7685359,919247580
1KGP,presubset_bcf,8192,3202,0,50,1058,145877878,2927055832
1KGP,presubset_bcf,8192,3202,1,74,1477,48339452,4276960096
1KGP,presubset_bcf,8192,3202,2,55,1134,36918474,3026213471
1KGP,presubset_bcf,8192,3202,3,100,1537,79835785,6382824402
1KGP,presubset_bcf,8192,3202,4,14,226,10811641,893176779
1KGP,presubset_bcf,16384,3202,0,50,2136,100078958,3212398066
1KGP,presubset_bcf,16384,3202,1,74,3079,49379596,3701177507
1KGP,presubset_bcf,16384,3202,2,55,2058,35333724,2739027726
1KGP,presubset_bcf,16384,3202,3,100,3049,78887675,5593890722
1KGP,presubset_bcf,16384,3202,4,97,3367,81757953,7753164345
1KGP,presubset_bcf,32768,3202,0,50,4120,185759136,3013035247
1KGP,presubset_bcf,32768,3202,1,74,6424,63607583,4321042598
1KGP,presubset_bcf,32768,3202,2,62,4347,49999783,3878076875
1KGP,presubset_bcf,32768,3202,3,96,6768,79924833,6097343768
1KGP,presubset_bcf,32768,3202,4,43,3243,37917070,4153793706
1KGP,presubset_bcf,65536,3202,0,50,8269,165848223,3699812224
1KGP,presubset_bcf,65536,3202,1,74,11029,79538971,5503562834
1KGP,presubset_bcf,65536,3202,2,55,7683,58242819,3642631511
1KGP,presubset_bcf,65536,3202,3,45,5916,43929371,3150920073
1KGP,presubset_bcf,65536,3202,4,3,247,2767793,157018002
1KGP,presubset_bcf,131072,32,0,50,15243,272243622,6595199659
1KGP,presubset_bcf,131072,100,0,50,13566,2095692747,15310479711
1KGP,presubset_bcf,131072,316,0,50,14801,201068784,3453639659
1KGP,presubset_bcf,131072,1000,0,50,15547,224585910,5869539028
1KGP,presubset_bcf,131072,3202,0,50,15606,383362460,7086727363
1KGP,presubset_bcf,131072,10,0,50,15011,1293165393,4988148560
1KGP,presubset_bcf,131072,3202,0,50,15606,187422433,4885372070
1KGP,presubset_bcf,131072,32,1,10,2799,16451097,673257349
1KGP,presubset_bcf,131072,100,1,12,3125,20591576,997310649
1KGP,presubset_bcf,131072,316,1,92,26607,171028332,5831370388
1KGP,presubset_bcf,131072,1000,1,88,27355,421679724,11449059157
1KGP,presubset_bcf,131072,3202,1,12,3444,21059927,1840513371
1KGP,presubset_bcf,131072,10,1,92,24372,167415517,7340349922
1KGP,presubset_bcf,131072,3202,1,12,3444,20364824,1072876314
1KGP,presubset_bcf,131072,32,2,73,18495,426666511,5036111972
1KGP,presubset_bcf,131072,100,2,22,5563,34204676,2054521748
1KGP,presubset_bcf,131072,316,2,42,10093,361719476,3888079833
