dataset,method,query_length,replicate,n_pairs,n_calls,elapsed_ns
1KGP,svar,2048,0,50,245,103296
1KGP,svar,2048,1,74,415,81776
1KGP,svar,2048,2,55,274,78620
1KGP,svar,2048,3,100,383,75994
1KGP,svar,2048,4,14,50,74581
1KGP,svar,4096,0,50,509,121781
1KGP,svar,4096,1,74,783,102675
1KGP,svar,4096,2,55,587,94569
1KGP,svar,4096,3,100,750,93277
1KGP,svar,4096,4,14,94,99589
1KGP,svar,8192,0,50,1062,11759333
1KGP,svar,8192,1,74,1478,12712523
1KGP,svar,8192,2,55,1137,111972
1KGP,svar,8192,3,100,1557,90642
1KGP,svar,8192,4,14,226,91563
1KGP,svar,16384,0,50,2147,101874
1KGP,svar,16384,1,74,3080,85001
1KGP,svar,16384,2,55,2063,91654
1KGP,svar,16384,3,100,3106,89029
1KGP,svar,16384,4,97,3416,83799
1KGP,svar,32768,0,50,4142,114007
1KGP,svar,32768,1,74,6429,99800
1KGP,svar,32768,2,62,4396,12874137
1KGP,svar,32768,3,96,6904,99199
1KGP,svar,32768,4,43,3264,12688765
1KGP,svar,65536,0,50,8314,109818
1KGP,svar,65536,1,74,11048,135928
1KGP,svar,65536,2,55,7724,112083
1KGP,svar,65536,3,45,6124,104679
1KGP,svar,65536,4,3,247,144314
1KGP,svar,131072,0,50,15662,134455
1KGP,svar,131072,1,12,3444,114196
1KGP,svar,131072,2,22,6048,108556
1KGP,svar,131072,3,90,26581,105139
1KGP,svar,131072,4,53,15963,102645
1KGP,svar,262144,0,50,31843,117173
1KGP,svar,262144,1,15,8928,107233
1KGP,svar,262144,2,23,12786,6731990
1KGP,svar,262144,3,54,34693,13056565
1KGP,svar,262144,4,52,28379,13217561
1KGP,svar,524288,0,32,41685,116912
1KGP,svar,524288,1,11,15784,85913
1KGP,svar,524288,2,32,38996,97145
1KGP,svar,524288,3,32,40147,100751
1KGP,svar,524288,4,2,3385,10646240
1KGP,svar,1048576,0,16,35288,2341575
1KGP,svar,1048576,1,16,38135,10665307
1KGP,svar,1048576,2,16,42701,92796
1KGP,svar,1048576,3,16,37236,95081
1KGP,svar,1048576,4,8,19774,10619370
1KGP,svar,2097152,0,8,31773,121331
1KGP,svar,2097152,1,8,33445,90161
1KGP,svar,2097152,2,8,38383,90292
1KGP,svar,2097152,3,8,39853,82436
1KGP,svar,2097152,4,8,42963,98367
1KGP,svar,4194304,0,4,34351,118525
1KGP,svar,4194304,1,4,37234,88819
1KGP,svar,4194304,2,4,33294,166386
1KGP,svar,4194304,3,4,34626,118284
1KGP,svar,4194304,4,4,33652,198267
1KGP,svar,8388608,0,2,36406,147631
1KGP,svar,8388608,1,2,35032,86133
1KGP,svar,8388608,2,2,37536,121761
1KGP,svar,8388608,3,2,41712,141188
1KGP,svar,8388608,4,2,37056,97576
1KGP,svar,16777216,0,1,32599,84501
1KGP,svar,16777216,1,1,32754,10638481
1KGP,svar,16777216,2,1,19226,101463
1KGP,svar,16777216,3,1,32286,11138521
1KGP,svar,16777216,4,1,34463,87557
