dataset,method,query_length,n_samples,replicate,n_pairs,n_calls,peak_rss_bytes
1KGP,svar,2048,3202,0,50,245,10433757184
1KGP,svar,2048,3202,1,74,415,10677006336
1KGP,svar,2048,3202,2,55,274,10819284992
1KGP,svar,2048,3202,3,100,383,11158298624
1KGP,svar,2048,3202,4,14,50,11214069760
1KGP,svar,4096,3202,0,50,509,10554777600
1KGP,svar,4096,3202,1,74,783,10795278336
1KGP,svar,4096,3202,2,55,587,10941984768
1KGP,svar,4096,3202,3,100,750,11240730624
1KGP,svar,4096,3202,4,14,94,11288080384
1KGP,svar,8192,3202,0,50,1062,10319548416
1KGP,svar,8192,3202,1,74,1478,10595348480
1KGP,svar,8192,3202,2,55,1137,10783916032
1KGP,svar,8192,3202,3,100,1557,11089137664
1KGP,svar,8192,3202,4,14,226,11137744896
1KGP,svar,16384,3202,0,50,2147,10541875200
1KGP,svar,16384,3202,1,74,3080,10815381504
1KGP,svar,16384,3202,2,55,2063,11020181504
1KGP,svar,16384,3202,3,100,3106,11303563264
1KGP,svar,16384,3202,4,97,3416,11666980864
1KGP,svar,32768,3202,0,50,4142,10443063296
1KGP,svar,32768,3202,1,74,6429,10748461056
1KGP,svar,32768,3202,2,62,4396,10883661824
1KGP,svar,32768,3202,3,96,6904,11245453312
1KGP,svar,32768,3202,4,43,3264,11368411136
1KGP,svar,65536,3202,0,50,8314,10300784640
1KGP,svar,65536,3202,1,74,11048,10591694848
1KGP,svar,65536,3202,2,55,7724,10713169920
1KGP,svar,65536,3202,3,45,6124,10862923776
1KGP,svar,65536,3202,4,3,247,10864783360
1KGP,svar,131072,3202,0,50,15662,6615552000
1KGP,svar,131072,100,0,50,13328,2939408384
1KGP,svar,131072,3202,0,50,15662,10312892416
1KGP,svar,131072,1000,0,50,15607,5393391616
1KGP,svar,131072,316,0,50,14775,4125192192
1KGP,svar,131072,32,0,50,14301,1933488128
1KGP,svar,131072,10,0,50,13513,1496084480
1KGP,svar,131072,3202,1,12,3444,6575099904
1KGP,svar,131072,100,1,12,3059,2961723392
1KGP,svar,131072,3202,1,12,3444,10321682432
1KGP,svar,131072,1000,1,88,27331,5701660672
1KGP,svar,131072,316,1,92,26771,4445237248
1KGP,svar,131072,32,1,10,2689,1956196352
1KGP,svar,131072,10,1,92,21921,1582444544
1KGP,svar,131072,3202,2,22,6048,6677413888
1KGP,svar,131072,100,2,22,5507,2990215168
1KGP,svar,131072,3202,2,22,6048,10426675200
1KGP,svar,131072,1000,2,63,18722,5880410112
1KGP,svar,131072,316,2,42,10357,4581539840
1KGP,svar,131072,32,2,73,17844,2105942016
1KGP,svar,131072,10,2,42,9645,1599729664
1KGP,svar,131072,3202,3,90,26581,6997852160
1KGP,svar,131072,100,3,90,27152,3288670208
1KGP,svar,131072,3202,3,90,26581,10740019200
1KGP,svar,131072,1000,3,38,10280,5975580672
1KGP,svar,131072,316,3,90,27105,4862361600
1KGP,svar,131072,32,3,33,7150,2132934656
1KGP,svar,131072,10,3,90,23083,1635373056
1KGP,svar,131072,3202,4,53,15963,7160303616
1KGP,svar,131072,100,4,53,15515,3428515840
1KGP,svar,131072,3202,4,53,15963,10902904832
1KGP,svar,131072,1000,4,66,21635,6157295616
1KGP,svar,131072,316,4,5,1257,4836417536
1KGP,svar,131072,32,4,5,1278,2142023680
1KGP,svar,131072,10,4,5,1258,1627860992
1KGP,svar,262144,3202,0,50,31843,10324979712
1KGP,svar,262144,3202,1,15,8928,10352168960
1KGP,svar,262144,3202,2,23,12786,10400432128
1KGP,svar,262144,3202,3,54,34693,10608541696
1KGP,svar,262144,3202,4,52,28379,10745438208
1KGP,svar,524288,3202,0,32,41685,10463617024
1KGP,svar,524288,3202,1,11,15784,10483093504
1KGP,svar,524288,3202,2,32,38996,10567213056
1KGP,svar,524288,3202,3,32,40147,10652426240
1KGP,svar,524288,3202,4,2,3385,10654273536
1KGP,svar,1048576,3202,0,16,35288,10348314624
1KGP,svar,1048576,3202,1,16,38135,10399793152
1KGP,svar,1048576,3202,2,16,42701,10460049408
1KGP,svar,1048576,3202,3,16,37236,10518274048
1KGP,svar,1048576,3202,4,8,19774,10532802560
1KGP,svar,2097152,3202,0,8,31773,10412118016
1KGP,svar,2097152,3202,1,8,33445,10471477248
1KGP,svar,2097152,3202,2,8,38383,10457382912
1KGP,svar,2097152,3202,3,8,39853,10481172480
1KGP,svar,2097152,3202,4,8,42963,10512863232
1KGP,svar,4194304,3202,0,4,34351,10329575424
1KGP,svar,4194304,3202,1,4,37234,10356097024
1KGP,svar,4194304,3202,2,4,33294,10374967296
1KGP,svar,4194304,3202,3,4,34626,10442039296
1KGP,svar,4194304,3202,4,4,33652,10453225472
1KGP,svar,8388608,3202,0,2,36406,10409676800
1KGP,svar,8388608,3202,1,2,35032,10421116928
1KGP,svar,8388608,3202,2,2,37536,10425438208
1KGP,svar,8388608,3202,3,2,41712,10508148736
1KGP,svar,8388608,3202,4,2,37056,10477522944
1KGP,svar,16777216,3202,0,1,32599,10326192128
1KGP,svar,16777216,3202,1,1,32754,10347462656
1KGP,svar,16777216,3202,2,1,19226,10348912640
1KGP,svar,16777216,3202,3,1,32286,10356199424
1KGP,svar,16777216,3202,4,1,34463,10442190848
