dataset,method,query_length,n_samples,replicate,n_pairs,n_calls,elapsed_ns,setup_ns
1KGP,svar,2048,3202,0,65536,298910,1525739,22651475130
1KGP,svar,2048,3202,1,65536,300968,2541668,20961118083
1KGP,svar,2048,3202,2,65536,299136,1441224,19816862737
1KGP,svar,2048,3202,3,65536,300788,1766125,19844511326
1KGP,svar,2048,3202,4,65536,301785,1458351,19952859572
1KGP,svar,4096,3202,0,32768,297981,1027456,12065695369
1KGP,svar,4096,3202,1,32768,299320,1024908,11610952750
1KGP,svar,4096,3202,2,32768,299509,1022968,11634179862
1KGP,svar,4096,3202,3,32768,301206,1010678,11337309895
1KGP,svar,4096,3202,4,32768,298739,1005672,11622506861
1KGP,svar,8192,3202,0,16384,298985,822044,38318870752
1KGP,svar,8192,3202,1,16384,297282,800898,50731769804
1KGP,svar,8192,3202,2,16384,298141,813857,36372273892
1KGP,svar,8192,3202,3,16384,300525,841843,23142094948
1KGP,svar,8192,3202,4,16384,302701,823819,17105747309
1KGP,svar,16384,3202,0,8192,300933,690962,12269644731
1KGP,svar,16384,3202,1,8192,296339,703937,11957189019
1KGP,svar,16384,3202,2,8192,296971,698883,11960101630
1KGP,svar,16384,3202,3,8192,300270,689761,12195126821
1KGP,svar,16384,3202,4,8192,296211,711611,11978098074
1KGP,svar,32768,3202,0,4096,302343,652341,12928885361
1KGP,svar,32768,3202,1,4096,301526,642500,11863739355
1KGP,svar,32768,3202,2,4096,300629,659902,11222981391
1KGP,svar,32768,3202,3,4096,292555,646386,11666653890
1KGP,svar,32768,3202,4,4096,297175,656571,11649909556
1KGP,svar,65536,3202,0,2048,301939,556063,10522219160
1KGP,svar,65536,3202,1,2048,299832,559677,10549835673
1KGP,svar,65536,3202,2,2048,298989,554626,11538516269
1KGP,svar,65536,3202,3,2048,305679,564168,10833150030
1KGP,svar,65536,3202,4,2048,296529,558622,10956655099
1KGP,svar,131072,1000,0,1024,306778,564289,67901056768
1KGP,svar,131072,10,0,1024,260593,544338,4603619701
1KGP,svar,131072,316,0,1024,297986,545967,52046323852
1KGP,svar,131072,100,0,1024,287879,561193,5320920798
1KGP,svar,131072,32,0,1024,274617,557147,3977461543
1KGP,svar,131072,3202,0,1024,303324,556727,12328216269
1KGP,svar,131072,3202,0,1024,303324,562013,12705242177
1KGP,svar,131072,1000,1,1024,298029,560930,54431064957
1KGP,svar,131072,10,1,1024,264870,551269,2875617506
1KGP,svar,131072,316,1,1024,298826,537231,32696434312
1KGP,svar,131072,100,1,1024,296082,554634,5100125388
1KGP,svar,131072,32,1,1024,277278,564487,4106038523
1KGP,svar,131072,3202,1,1024,306465,551707,11768695401
1KGP,svar,131072,3202,1,1024,306465,550045,12300403576
1KGP,svar,131072,1000,2,1024,303178,556269,45513369598
1KGP,svar,131072,10,2,1024,260022,548697,2964603412
1KGP,svar,131072,316,2,1024,304850,552166,22641787012
1KGP,svar,131072,100,2,1024,293408,563363,5471976775
1KGP,svar,131072,32,2,1024,287255,553804,4116720022
1KGP,svar,131072,3202,2,1024,301551,553894,11351221967
1KGP,svar,131072,3202,2,1024,301551,558674,12407865255
1KGP,svar,131072,1000,3,1024,297330,554042,41181003164
1KGP,svar,131072,10,3,1024,255933,569429,2888648629
1KGP,svar,131072,316,3,1024,297928,555049,16673734107
1KGP,svar,131072,100,3,1024,287726,562211,5123178602
1KGP,svar,131072,32,3,1024,282442,555996,3775003425
1KGP,svar,131072,3202,3,1024,299015,552181,10753481298
1KGP,svar,131072,3202,3,1024,299015,555483,12273920969
1KGP,svar,131072,1000,4,1024,300607,556694,34995967092
1KGP,svar,131072,10,4,1024,258751,554872,2943708848
1KGP,svar,131072,316,4,1024,296950,554443,13429354257
1KGP,svar,131072,100,4,1024,303625,563960,5215876476
1KGP,svar,131072,32,4,1024,284973,560964,4047098846
1KGP,svar,131072,3202,4,1024,306578,559293,10771683964
1KGP,svar,131072,3202,4,1024,306578,553559,11679903722
1KGP,svar,262144,3202,0,512,311347,573971,12093383103
1KGP,svar,262144,3202,1,512,298850,702723,12920884427
1KGP,svar,262144,3202,2,512,302510,570933,12604862281
1KGP,svar,262144,3202,3,512,301643,560728,12163355465
1KGP,svar,262144,3202,4,512,303639,553965,11816120629
1KGP,svar,524288,3202,0,256,314127,530805,8248559219
1KGP,svar,524288,3202,1,256,312521,518076,9451146274
1KGP,svar,524288,3202,2,256,303440,525380,8264860918
1KGP,svar,524288,3202,3,256,294115,526464,7954716321
1KGP,svar,524288,3202,4,256,305520,518902,6723758896
1KGP,svar,1048576,3202,0,128,310773,561444,7339386585
1KGP,svar,1048576,3202,1,128,303775,11451128,7682368516
1KGP,svar,1048576,3202,2,128,298996,556886,7627119558
1KGP,svar,1048576,3202,3,128,314924,569047,7352606746
1KGP,svar,1048576,3202,4,128,306376,557874,7790252301
1KGP,svar,2097152,3202,0,64,297519,538297,3272588574
1KGP,svar,2097152,3202,1,64,307218,540912,3613165304
1KGP,svar,2097152,3202,2,64,300057,533391,3070279995
1KGP,svar,2097152,3202,3,64,295818,533945,3015129820
1KGP,svar,2097152,3202,4,64,310970,535607,3315313669
1KGP,svar,4194304,3202,0,32,274671,551082,2054640162
1KGP,svar,4194304,3202,1,32,334402,531411,1953015743
1KGP,svar,4194304,3202,2,32,314041,534430,1870508442
1KGP,svar,4194304,3202,3,32,307097,531927,1937565055
1KGP,svar,4194304,3202,4,32,290231,538828,1697985417
1KGP,svar,8388608,3202,0,16,286792,546847,1125318842
1KGP,svar,8388608,3202,1,16,281925,540390,986458201
1KGP,svar,8388608,3202,2,16,315996,545492,1041087460
1KGP,svar,8388608,3202,3,16,282014,530725,1053381781
1KGP,svar,8388608,3202,4,16,330813,522443,1479353795
1KGP,svar,16777216,3202,0,8,289541,541576,526642153
1KGP,svar,16777216,3202,1,8,314982,542922,454877881
1KGP,svar,16777216,3202,2,8,292652,535646,428250542
1KGP,svar,16777216,3202,3,8,298817,538432,403922213
1KGP,svar,16777216,3202,4,8,283503,539341,422390431
