dataset,method,query_length,n_samples,replicate,n_pairs,n_calls,peak_rss_bytes
1KGP,bcf,2048,3202,0,65536,296814,603746304
1KGP,bcf,2048,3202,1,65536,299115,614985728
1KGP,bcf,2048,3202,2,65536,297298,617099264
1KGP,bcf,2048,3202,3,65536,298844,624242688
1KGP,bcf,2048,3202,4,65536,299890,615378944
1KGP,bcf,4096,3202,0,32768,295930,557924352
1KGP,bcf,4096,3202,1,32768,297210,566079488
1KGP,bcf,4096,3202,2,32768,297822,569208832
1KGP,bcf,4096,3202,3,32768,299343,569942016
1KGP,bcf,4096,3202,4,32768,296961,570744832
1KGP,bcf,8192,3202,0,16384,297266,432852992
1KGP,bcf,8192,3202,1,16384,295060,438456320
1KGP,bcf,8192,3202,2,16384,296289,438665216
1KGP,bcf,8192,3202,3,16384,298183,439533568
1KGP,bcf,8192,3202,4,16384,300992,439693312
1KGP,bcf,16384,3202,0,8192,299237,506933248
1KGP,bcf,16384,3202,1,8192,294531,507396096
1KGP,bcf,16384,3202,2,8192,295050,509661184
1KGP,bcf,16384,3202,3,8192,298106,510484480
1KGP,bcf,16384,3202,4,8192,294386,510816256
1KGP,bcf,32768,3202,0,4096,300272,511098880
1KGP,bcf,32768,3202,1,4096,300283,509612032
1KGP,bcf,32768,3202,2,4096,298471,510439424
1KGP,bcf,32768,3202,3,4096,291122,512540672
1KGP,bcf,32768,3202,4,4096,295545,513929216
1KGP,bcf,65536,3202,0,2048,299761,414007296
1KGP,bcf,65536,3202,1,2048,298435,417550336
1KGP,bcf,65536,3202,2,2048,297383,418705408
1KGP,bcf,65536,3202,3,2048,304706,418967552
1KGP,bcf,65536,3202,4,2048,295535,419229696
1KGP,bcf,131072,32,0,1024,285771,507379712
1KGP,bcf,131072,316,0,1024,296788,508551168
1KGP,bcf,131072,10,0,1024,287260,409755648
1KGP,bcf,131072,3202,0,1024,301223,509325312
1KGP,bcf,131072,1000,0,1024,305033,504303616
1KGP,bcf,131072,100,0,1024,291238,413257728
1KGP,bcf,131072,32,1,1024,289731,505393152
1KGP,bcf,131072,316,1,1024,298303,505798656
1KGP,bcf,131072,10,1,1024,288649,411820032
1KGP,bcf,131072,3202,1,1024,303310,507166720
1KGP,bcf,131072,1000,1,1024,297990,501678080
1KGP,bcf,131072,100,1,1024,297653,415653888
1KGP,bcf,131072,32,2,1024,300105,505937920
1KGP,bcf,131072,316,2,1024,302614,506163200
1KGP,bcf,131072,10,2,1024,288972,413388800
1KGP,bcf,131072,3202,2,1024,300348,507719680
1KGP,bcf,131072,1000,2,1024,301736,502386688
1KGP,bcf,131072,100,2,1024,295736,416919552
1KGP,bcf,131072,32,3,1024,295066,508678144
1KGP,bcf,131072,316,3,1024,297226,507711488
1KGP,bcf,131072,10,3,1024,282052,414093312
1KGP,bcf,131072,3202,3,1024,297945,508608512
1KGP,bcf,131072,1000,3,1024,296443,504750080
1KGP,bcf,131072,100,3,1024,289803,417292288
1KGP,bcf,131072,32,4,1024,298887,509128704
1KGP,bcf,131072,316,4,1024,296966,510046208
1KGP,bcf,131072,10,4,1024,288138,414384128
1KGP,bcf,131072,3202,4,1024,304128,509943808
1KGP,bcf,131072,1000,4,1024,299228,505180160
1KGP,bcf,131072,100,4,1024,306332,417447936
1KGP,bcf,262144,3202,0,512,308388,511541248
1KGP,bcf,262144,3202,1,512,298022,508694528
1KGP,bcf,262144,3202,2,512,300413,512065536
1KGP,bcf,262144,3202,3,512,300377,510918656
1KGP,bcf,262144,3202,4,512,303316,510144512
1KGP,bcf,524288,3202,0,256,311872,508817408
1KGP,bcf,524288,3202,1,256,310248,509276160
1KGP,bcf,524288,3202,2,256,302508,509345792
1KGP,bcf,524288,3202,3,256,289731,512577536
1KGP,bcf,524288,3202,4,256,307770,512491520
1KGP,bcf,1048576,3202,0,128,310107,526258176
1KGP,bcf,1048576,3202,1,128,299832,520511488
1KGP,bcf,1048576,3202,2,128,293610,522604544
1KGP,bcf,1048576,3202,3,128,313977,525283328
1KGP,bcf,1048576,3202,4,128,305789,529756160
1KGP,bcf,2097152,3202,0,64,296425,427868160
1KGP,bcf,2097152,3202,1,64,305593,429125632
1KGP,bcf,2097152,3202,2,64,295468,428150784
1KGP,bcf,2097152,3202,3,64,291907,430465024
1KGP,bcf,2097152,3202,4,64,307824,443662336
1KGP,bcf,4194304,3202,0,32,270686,536203264
1KGP,bcf,4194304,3202,1,32,334402,538329088
1KGP,bcf,4194304,3202,2,32,314041,533721088
1KGP,bcf,4194304,3202,3,32,307097,569950208
1KGP,bcf,4194304,3202,4,32,286420,535621632
1KGP,bcf,8388608,3202,0,16,282601,696905728
1KGP,bcf,8388608,3202,1,16,281925,613908480
1KGP,bcf,8388608,3202,2,16,315996,696524800
1KGP,bcf,8388608,3202,3,16,282014,614600704
1KGP,bcf,8388608,3202,4,16,330813,640770048
1KGP,bcf,16777216,3202,0,8,274176,773455872
1KGP,bcf,16777216,3202,1,8,314982,794456064
1KGP,bcf,16777216,3202,2,8,292652,794738688
1KGP,bcf,16777216,3202,3,8,283172,776974336
1KGP,bcf,16777216,3202,4,8,283503,794931200
