dataset,method,query_length,n_samples,replicate,n_pairs,n_calls,peak_rss_bytes
1KGP,pgen,2048,3202,0,512,2388,21000089600
1KGP,pgen,2048,3202,1,512,2361,20947456000
1KGP,pgen,2048,3202,2,512,2358,21073760256
1KGP,pgen,2048,3202,3,512,2248,22188879872
1KGP,pgen,2048,3202,4,512,2407,22421684224
1KGP,pgen,4096,3202,0,32768,297928,34344263680
1KGP,pgen,4096,3202,1,32768,299284,36227874816
1KGP,pgen,4096,3202,2,32768,299462,34717261824
1KGP,pgen,4096,3202,3,32768,301157,31653232640
1KGP,pgen,4096,3202,4,32768,298693,31710617600
1KGP,pgen,8192,3202,0,16384,298956,21187641344
1KGP,pgen,8192,3202,1,16384,297260,23622144000
1KGP,pgen,8192,3202,2,16384,298118,23688704000
1KGP,pgen,8192,3202,3,16384,300511,23693975552
1KGP,pgen,8192,3202,4,16384,302681,23775506432
1KGP,pgen,16384,3202,0,8192,300923,24423055360
1KGP,pgen,16384,3202,1,8192,296322,24576520192
1KGP,pgen,16384,3202,2,8192,296960,25426661376
1KGP,pgen,16384,3202,3,8192,300257,25506713600
1KGP,pgen,16384,3202,4,8192,296201,25415008256
1KGP,pgen,32768,3202,0,4096,302340,24495247360
1KGP,pgen,32768,3202,1,4096,301520,24467521536
1KGP,pgen,32768,3202,2,4096,300622,24241655808
1KGP,pgen,32768,3202,3,4096,292548,24249884672
1KGP,pgen,32768,3202,4,4096,297165,24255729664
1KGP,pgen,65536,3202,0,2048,301938,20574871552
1KGP,pgen,65536,3202,1,2048,299829,25862524928
1KGP,pgen,65536,3202,2,2048,298987,25951752192
1KGP,pgen,65536,3202,3,2048,305675,26063400960
1KGP,pgen,65536,3202,4,2048,296526,26075664384
1KGP,pgen,131072,100,0,1024,287877,15387721728
1KGP,pgen,131072,1000,0,1024,306778,21144428544
1KGP,pgen,131072,10,0,1024,260592,11620253696
1KGP,pgen,131072,3202,0,1024,303324,24830369792
1KGP,pgen,131072,32,0,1024,274616,12892528640
1KGP,pgen,131072,316,0,1024,297986,17396039680
1KGP,pgen,131072,100,1,1024,296080,15285030912
1KGP,pgen,131072,1000,1,1024,298025,21144526848
1KGP,pgen,131072,10,1,1024,264867,11651526656
1KGP,pgen,131072,3202,1,1024,306465,25689677824
1KGP,pgen,131072,32,1,1024,277273,12917166080
1KGP,pgen,131072,316,1,1024,298823,17264918528
1KGP,pgen,131072,100,2,1024,293407,13866942464
1KGP,pgen,131072,1000,2,1024,303176,21146918912
1KGP,pgen,131072,10,2,1024,260021,11588272128
1KGP,pgen,131072,3202,2,1024,301550,25835888640
1KGP,pgen,131072,32,2,1024,287254,12888231936
1KGP,pgen,131072,316,2,1024,304850,17287643136
1KGP,pgen,131072,100,3,1024,287723,12835274752
1KGP,pgen,131072,1000,3,1024,297328,21147983872
1KGP,pgen,131072,10,3,1024,255933,11604406272
1KGP,pgen,131072,3202,3,1024,299013,25868152832
1KGP,pgen,131072,32,3,1024,282439,12955877376
1KGP,pgen,131072,316,3,1024,297927,16934506496
1KGP,pgen,131072,100,4,1024,303623,12614918144
1KGP,pgen,131072,1000,4,1024,300605,21158453248
1KGP,pgen,131072,10,4,1024,258751,11600449536
1KGP,pgen,131072,3202,4,1024,306577,26176258048
1KGP,pgen,131072,32,4,1024,284969,12961214464
1KGP,pgen,131072,316,4,1024,296950,16947060736
1KGP,pgen,262144,3202,0,512,311347,21261582336
1KGP,pgen,262144,3202,1,512,298850,21438263296
1KGP,pgen,262144,3202,2,512,302510,21437095936
1KGP,pgen,262144,3202,3,512,301642,21453004800
1KGP,pgen,262144,3202,4,512,303638,21920722944
1KGP,pgen,524288,3202,0,256,314127,21918846976
1KGP,pgen,524288,3202,1,256,312521,24412000256
1KGP,pgen,524288,3202,2,256,303440,25861632000
1KGP,pgen,524288,3202,3,256,294115,25944748032
1KGP,pgen,524288,3202,4,256,305519,25942016000
1KGP,pgen,1048576,3202,0,128,310773,19850178560
1KGP,pgen,1048576,3202,1,128,303775,21986533376
1KGP,pgen,1048576,3202,2,128,298996,22923833344
1KGP,pgen,1048576,3202,3,128,314924,22957834240
1KGP,pgen,1048576,3202,4,128,306376,23135916032
1KGP,pgen,2097152,3202,0,64,297519,19861512192
1KGP,pgen,2097152,3202,1,64,307218,20066058240
1KGP,pgen,2097152,3202,2,64,300057,20157026304
1KGP,pgen,2097152,3202,3,64,295818,20180041728
1KGP,pgen,2097152,3202,4,64,310970,20195659776
1KGP,pgen,4194304,3202,0,32,274671,19631169536
1KGP,pgen,4194304,3202,1,32,334402,20111994880
1KGP,pgen,4194304,3202,2,32,314041,20157640704
1KGP,pgen,4194304,3202,3,32,307097,20167340032
1KGP,pgen,4194304,3202,4,32,290231,20236881920
1KGP,pgen,8388608,3202,0,16,286792,19756695552
1KGP,pgen,8388608,3202,1,16,281925,19954835456
1KGP,pgen,8388608,3202,2,16,315996,20113948672
1KGP,pgen,8388608,3202,3,16,282014,20309389312
1KGP,pgen,8388608,3202,4,16,330813,20397330432
1KGP,pgen,16777216,3202,0,8,289541,19789000704
1KGP,pgen,16777216,3202,1,8,314982,20235558912
1KGP,pgen,16777216,3202,2,8,292652,20352610304
1KGP,pgen,16777216,3202,3,8,298817,20619173888
1KGP,pgen,16777216,3202,4,8,283503,20713455616
