dataset,method,query_length,n_samples,replicate,n_pairs,n_calls,peak_rss_bytes
1KGP,presubset_bcf,2048,3202,0,65536,296814,280485888
1KGP,presubset_bcf,2048,3202,1,65536,299115,296595456
1KGP,presubset_bcf,2048,3202,2,65536,297298,300093440
1KGP,presubset_bcf,2048,3202,3,65536,298844,304918528
1KGP,presubset_bcf,2048,3202,4,65536,299890,309112832
1KGP,presubset_bcf,4096,3202,0,32768,295930,235028480
1KGP,presubset_bcf,4096,3202,1,32768,297210,248647680
1KGP,presubset_bcf,4096,3202,2,32768,297822,254500864
1KGP,presubset_bcf,4096,3202,3,32768,299343,255279104
1KGP,presubset_bcf,4096,3202,4,32768,296961,255610880
1KGP,presubset_bcf,8192,3202,0,16384,297266,193482752
1KGP,presubset_bcf,8192,3202,1,16384,295060,203927552
1KGP,presubset_bcf,8192,3202,2,16384,296289,204275712
1KGP,presubset_bcf,8192,3202,3,16384,298183,204689408
1KGP,presubset_bcf,8192,3202,4,16384,300992,204926976
1KGP,presubset_bcf,16384,3202,0,8192,299237,197107712
1KGP,presubset_bcf,16384,3202,1,8192,294531,197660672
1KGP,presubset_bcf,16384,3202,2,8192,295050,198291456
1KGP,presubset_bcf,16384,3202,3,8192,298106,199000064
1KGP,presubset_bcf,16384,3202,4,8192,294386,199380992
1KGP,presubset_bcf,32768,3202,0,4096,300272,187199488
1KGP,presubset_bcf,32768,3202,1,4096,300283,190521344
1KGP,presubset_bcf,32768,3202,2,4096,298471,191143936
1KGP,presubset_bcf,32768,3202,3,4096,291122,190074880
1KGP,presubset_bcf,32768,3202,4,4096,295545,190717952
1KGP,presubset_bcf,65536,3202,0,2048,299761,148602880
1KGP,presubset_bcf,65536,3202,1,2048,298435,150601728
1KGP,presubset_bcf,65536,3202,2,2048,297383,150925312
1KGP,presubset_bcf,65536,3202,3,2048,304706,151375872
1KGP,presubset_bcf,65536,3202,4,2048,295535,151265280
1KGP,presubset_bcf,131072,32,0,1024,285771,96649216
1KGP,presubset_bcf,131072,10,0,1024,287260,97304576
1KGP,presubset_bcf,131072,3202,0,1024,301223,174833664
1KGP,presubset_bcf,131072,1000,0,1024,305033,182566912
1KGP,presubset_bcf,131072,316,0,1024,296788,183152640
1KGP,presubset_bcf,131072,100,0,1024,291238,152748032
1KGP,presubset_bcf,131072,32,1,1024,289731,97955840
1KGP,presubset_bcf,131072,10,1,1024,288649,99762176
1KGP,presubset_bcf,131072,3202,1,1024,303310,177246208
1KGP,presubset_bcf,131072,1000,1,1024,297990,183484416
1KGP,presubset_bcf,131072,316,1,1024,298303,179085312
1KGP,presubset_bcf,131072,100,1,1024,297653,154988544
1KGP,presubset_bcf,131072,32,2,1024,300105,97726464
1KGP,presubset_bcf,131072,10,2,1024,288972,100122624
1KGP,presubset_bcf,131072,3202,2,1024,300348,177852416
1KGP,presubset_bcf,131072,1000,2,1024,301736,183361536
1KGP,presubset_bcf,131072,316,2,1024,302614,174587904
1KGP,presubset_bcf,131072,100,2,1024,295736,154402816
1KGP,presubset_bcf,131072,32,3,1024,295066,97865728
1KGP,presubset_bcf,131072,10,3,1024,282052,100380672
1KGP,presubset_bcf,131072,3202,3,1024,297945,177848320
1KGP,presubset_bcf,131072,1000,3,1024,296443,184590336
1KGP,presubset_bcf,131072,316,3,1024,297226,173932544
1KGP,presubset_bcf,131072,100,3,1024,289803,154660864
1KGP,presubset_bcf,131072,32,4,1024,298887,98480128
1KGP,presubset_bcf,131072,10,4,1024,288138,100528128
1KGP,presubset_bcf,131072,3202,4,1024,304128,178667520
1KGP,presubset_bcf,131072,1000,4,1024,299228,184434688
1KGP,presubset_bcf,131072,316,4,1024,296966,172941312
1KGP,presubset_bcf,131072,100,4,1024,306332,155869184
1KGP,presubset_bcf,262144,3202,0,512,308388,98779136
1KGP,presubset_bcf,262144,3202,1,512,298022,99110912
1KGP,presubset_bcf,262144,3202,2,512,300413,99471360
1KGP,presubset_bcf,262144,3202,3,512,300377,100040704
1KGP,presubset_bcf,262144,3202,4,512,303316,100315136
1KGP,presubset_bcf,524288,3202,0,256,311872,188440576
1KGP,presubset_bcf,524288,3202,1,256,310248,187133952
1KGP,presubset_bcf,524288,3202,2,256,302508,187838464
1KGP,presubset_bcf,524288,3202,3,256,289731,187912192
1KGP,presubset_bcf,524288,3202,4,256,307770,188350464
1KGP,presubset_bcf,1048576,3202,0,128,310107,92340224
1KGP,presubset_bcf,1048576,3202,1,128,299832,94896128
1KGP,presubset_bcf,1048576,3202,2,128,293610,95203328
1KGP,presubset_bcf,1048576,3202,3,128,313977,96444416
1KGP,presubset_bcf,1048576,3202,4,128,305789,96731136
1KGP,presubset_bcf,2097152,3202,0,64,296425,185503744
1KGP,presubset_bcf,2097152,3202,1,64,305593,183574528
1KGP,presubset_bcf,2097152,3202,2,64,295468,184160256
1KGP,presubset_bcf,2097152,3202,3,64,291907,184360960
1KGP,presubset_bcf,2097152,3202,4,64,307824,185225216
1KGP,presubset_bcf,4194304,3202,0,32,270686,94384128
1KGP,presubset_bcf,4194304,3202,1,32,334402,97918976
1KGP,presubset_bcf,4194304,3202,2,32,314041,98430976
1KGP,presubset_bcf,4194304,3202,3,32,307097,98582528
1KGP,presubset_bcf,4194304,3202,4,32,286420,98664448
1KGP,presubset_bcf,8388608,3202,0,16,282601,97751040
1KGP,presubset_bcf,8388608,3202,1,16,281925,97320960
1KGP,presubset_bcf,8388608,3202,2,16,315996,98856960
1KGP,presubset_bcf,8388608,3202,3,16,282014,98152448
1KGP,presubset_bcf,8388608,3202,4,16,330813,99614720
1KGP,presubset_bcf,16777216,3202,0,8,274176,191315968
1KGP,presubset_bcf,16777216,3202,1,8,314982,191619072
1KGP,presubset_bcf,16777216,3202,2,8,292652,192364544
1KGP,presubset_bcf,16777216,3202,3,8,283172,191037440
1KGP,presubset_bcf,16777216,3202,4,8,283503,192430080
