dataset,method,query_length,n_samples,replicate,n_pairs,n_calls,peak_rss_bytes
1KGP,svar,2048,3202,0,65536,298910,91214237696
1KGP,svar,2048,3202,1,65536,300968,93473378304
1KGP,svar,2048,3202,2,65536,299136,93804167168
1KGP,svar,2048,3202,3,65536,300788,93879582720
1KGP,svar,2048,3202,4,65536,301785,93896347648
1KGP,svar,4096,3202,0,32768,297981,81564635136
1KGP,svar,4096,3202,1,32768,299320,90694975488
1KGP,svar,4096,3202,2,32768,299509,92627709952
1KGP,svar,4096,3202,3,32768,301206,93245575168
1KGP,svar,4096,3202,4,32768,298739,93519249408
1KGP,svar,8192,3202,0,16384,298985,63217975296
1KGP,svar,8192,3202,1,16384,297282,80497987584
1KGP,svar,8192,3202,2,16384,298141,87432806400
1KGP,svar,8192,3202,3,16384,300525,90461708288
1KGP,svar,8192,3202,4,16384,302701,91941056512
1KGP,svar,16384,3202,0,8192,300933,43415269376
1KGP,svar,16384,3202,1,8192,296339,62152310784
1KGP,svar,16384,3202,2,8192,296971,73076047872
1KGP,svar,16384,3202,3,8192,300270,79774220288
1KGP,svar,16384,3202,4,8192,296211,84037513216
1KGP,svar,32768,3202,0,4096,302343,28351045632
1KGP,svar,32768,3202,1,4096,301526,41886425088
1KGP,svar,32768,3202,2,4096,300629,52215951360
1KGP,svar,32768,3202,3,4096,292555,60157149184
1KGP,svar,32768,3202,4,4096,297175,66280550400
1KGP,svar,65536,3202,0,2048,301939,19501998080
1KGP,svar,65536,3202,1,2048,299832,27364548608
1KGP,svar,65536,3202,2,2048,298989,34284662784
1KGP,svar,65536,3202,3,2048,305679,40203268096
1KGP,svar,65536,3202,4,2048,296529,45343539200
1KGP,svar,131072,316,0,1024,297986,6802829312
1KGP,svar,131072,10,0,1024,260593,1518116864
1KGP,svar,131072,1000,0,1024,306778,9224044544
1KGP,svar,131072,32,0,1024,274617,2556624896
1KGP,svar,131072,3202,0,1024,303324,10235719680
1KGP,svar,131072,100,0,1024,287879,4852273152
1KGP,svar,131072,316,1,1024,298826,8536137728
1KGP,svar,131072,10,1,1024,264870,1530843136
1KGP,svar,131072,1000,1,1024,298029,12175552512
1KGP,svar,131072,32,1,1024,277278,2585714688
1KGP,svar,131072,3202,1,1024,306465,13843656704
1KGP,svar,131072,100,1,1024,296082,5279211520
1KGP,svar,131072,316,2,1024,304850,9586135040
1KGP,svar,131072,10,2,1024,260022,1531260928
1KGP,svar,131072,1000,2,1024,303178,14575099904
1KGP,svar,131072,32,2,1024,287255,2586046464
1KGP,svar,131072,3202,2,1024,301551,17066819584
1KGP,svar,131072,100,2,1024,293408,5406400512
1KGP,svar,131072,316,3,1024,297928,10306314240
1KGP,svar,131072,10,3,1024,255933,1530671104
1KGP,svar,131072,1000,3,1024,297330,16631238656
1KGP,svar,131072,32,3,1024,282442,2592399360
1KGP,svar,131072,3202,3,1024,299015,20307177472
1KGP,svar,131072,100,3,1024,287726,5455368192
1KGP,svar,131072,316,4,1024,296950,10730205184
1KGP,svar,131072,10,4,1024,258751,1530839040
1KGP,svar,131072,1000,4,1024,300607,18290003968
1KGP,svar,131072,32,4,1024,284973,2595266560
1KGP,svar,131072,3202,4,1024,306578,23069450240
1KGP,svar,131072,100,4,1024,303625,5465456640
1KGP,svar,262144,3202,0,512,311347,11654823936
1KGP,svar,262144,3202,1,512,298850,13176139776
1KGP,svar,262144,3202,2,512,302510,14733815808
1KGP,svar,262144,3202,3,512,301643,16303710208
1KGP,svar,262144,3202,4,512,303639,17789276160
1KGP,svar,524288,3202,0,256,314127,11187744768
1KGP,svar,524288,3202,1,256,312521,11843248128
1KGP,svar,524288,3202,2,256,303440,12469776384
1KGP,svar,524288,3202,3,256,294115,13082660864
1KGP,svar,524288,3202,4,256,305520,13729583104
1KGP,svar,1048576,3202,0,128,310773,10520211456
1KGP,svar,1048576,3202,1,128,303775,10849038336
1KGP,svar,1048576,3202,2,128,298996,11127562240
1KGP,svar,1048576,3202,3,128,314924,11375427584
1KGP,svar,1048576,3202,4,128,306376,11623800832
1KGP,svar,2097152,3202,0,64,297519,10443612160
1KGP,svar,2097152,3202,1,64,307218,10572369920
1KGP,svar,2097152,3202,2,64,300057,10684203008
1KGP,svar,2097152,3202,3,64,295818,10872918016
1KGP,svar,2097152,3202,4,64,310970,10981347328
1KGP,svar,4194304,3202,0,32,274671,10368233472
1KGP,svar,4194304,3202,1,32,334402,10476883968
1KGP,svar,4194304,3202,2,32,314041,10538582016
1KGP,svar,4194304,3202,3,32,307097,10593599488
1KGP,svar,4194304,3202,4,32,290231,10654093312
1KGP,svar,8388608,3202,0,16,286792,10176929792
1KGP,svar,8388608,3202,1,16,281925,10256048128
1KGP,svar,8388608,3202,2,16,315996,10287927296
1KGP,svar,8388608,3202,3,16,282014,10306990080
1KGP,svar,8388608,3202,4,16,330813,10330083328
1KGP,svar,16777216,3202,0,8,289541,10409619456
1KGP,svar,16777216,3202,1,8,314982,10403577856
1KGP,svar,16777216,3202,2,8,292652,10521939968
1KGP,svar,16777216,3202,3,8,298817,10535112704
1KGP,svar,16777216,3202,4,8,283503,10557206528
